interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"77-20-39-35","Firewood",4,"Bunches","","Yes",2,"Bunches","","Yes",20,"Yes",600,"Massive decrease","Massive decrease","","People are alot and most of them depend on firewood."
"71-78-53-70","Firewood",1,"Bunches","","No",,,"",,,"Yes",150,"Massive decrease","Massive decrease","","A lot of people are harvesting"
"46-91-82-56","Firewood",50,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increase in population"
"46-91-82-56","Sand, stone, mud",30,"Wheelbarrow","","No",,,"",,,"No",,"The same","The same","",""
"20-85-85-47","Firewood",50,"Kilograms","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","the population of people has increased"
"20-85-85-47","Wood for charcoal production",7,"Kilograms","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","the population increase"
"20-85-85-47","Sand, stone, mud",2,"50 kg bag","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increased population"
"20-85-85-47","Wild fruits",70,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","the population increased and wildlife elephants"
"20-85-85-47","Medicinal plants",3,"Numbers","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","the population increased"
"20-85-85-47","Ornamental flowers",6,"Numbers","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","environmental problems"
"34-53-75-33","Wood for charcoal production",10,"50 kg bag","","No",,,"",,,"Yes",2000,"Massive decrease","Massive decrease","","Deforestation"
"34-53-75-33","Sand, stone, mud",3,"Other (please specify)","oxcart","No",,,"",,,"Yes",600,"The same","The same","",""
"56-13-50-35","Firewood",300,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","increase in population"
"58-38-99-88","Firewood",50,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Increased human population"
"58-38-99-88","Timber or poles",30,"Numbers","","No",,,"",,,"Yes",450,"Massive decrease","Massive decrease","","The near forest have been cleared and now one has to walk kilometres to get to the forest where timber is found."
"58-38-99-88","Sand, stone, mud",60,"Wheelbarrow","","No",,,"",,,"Yes",500,"Slight decrease","Massive decrease","","People are becoming more and almost every male above the age of 20 wants to have their own room outside the parents house."
