interview__key,lvexp01_11,lvexp02_12,lvexp03_13,lvexp04_14,lvexp05_15,lvexp06_16
"77-20-39-35",0,0,1000,1000,8400,"0"
"71-78-53-70",0,0,0,0,0,"0"
"46-91-82-56",,,,,,""
"20-85-85-47",,,,,,""
"34-53-75-33",,,,,,""
"56-13-50-35",,,,,,""
"58-38-99-88",,,,,,""
"81-26-40-75",,,,,,""
"39-76-70-00",,,,,,""
"84-11-99-46",,,,,,""
"07-72-86-35",0,0,0,0,0,""
"76-67-31-58",,,,,,""
"37-57-47-28",0,0,7000,0,24000,"3600"
"01-40-66-32",0,0,0,0,0,"0"
"13-26-58-11",,,,,,""
"53-48-83-71",,,,,,""
"27-13-62-90",,,,,,""
"85-22-01-46",0,0,0,0,0,"0"
"69-98-12-23",0,0,1200,0,9600,""
"13-16-89-71",0,0,0,0,8000,"0"
"56-66-41-20",,,,,,""
"81-47-86-65",,,,,,""
"93-67-97-18",,,,,,""
"38-26-42-37",,,,,,""
"05-99-34-61",,,,,,""
"82-77-34-88",,,,,,""
"58-42-23-81",,,,,,""
"41-08-83-81",,,,,,""
"37-72-45-16",,,,,,""
"86-82-46-77",,,,,,""
"35-59-75-62",0,0,0,0,0,"0"
"31-89-28-30",,,,,,""
"61-82-08-02",,,,,,""
"67-96-75-77",,,,,,""
"19-03-14-53",,,,,,""
"12-01-31-29",400,0,4000,0,1200,"0"
"16-72-17-16",0,0,1600,0,12000,"1200"
"38-21-18-12",,,,,,""
"75-80-02-90",,,,,,""
"43-41-21-85",,,,,,""
"66-22-88-29",0,0,250,0,5000,"0"
"42-66-53-78",,,,,,""
"19-23-31-06",,,,,,""
"62-33-60-14",0,0,0,0,0,"0"
"89-36-04-43",500,0,30,0,0,"0"
"87-86-68-37",,,,,,""
"12-94-76-31",,,,,,""
"25-74-03-84",,,,,,""
"98-23-98-25",0,0,700,0,9600,"1500"
"01-01-07-49",360,0,0,0,0,""
"05-21-83-90",0,0,2000,0,1300,"500"
"77-16-48-10",0,0,0,120,0,"0"
"75-23-18-05",0,0,212,0,0,"0"
"83-84-60-99",0,0,5000,0,7600,"0"
"56-18-51-85",0,0,600,200,0,"0"
"26-38-66-11",,,,,,""
"46-68-27-34",500,0,0,0,0,""
"78-16-14-09",,,,,,""
"01-32-09-43",,,,,,""
"11-29-18-58",,,,,,""
"53-42-47-52",0,0,0,0,0,""
"01-17-72-49",0,0,0,0,0,"0"
"40-86-48-02",0,0,600,1200,21600,"0"
"67-11-34-32",,,,,,""
"47-85-49-06",0,0,3000,0,9600,"0"
"68-03-09-51",0,0,500,0,12000,"0"
"14-68-63-82",0,0,2000,0,10800,"400"
"80-91-19-12",0,0,0,0,800,"0"
"25-98-38-14",,,,,,""
"50-33-61-65",,,,,,""
"88-90-25-85",0,0,500,0,7200,""
"04-83-20-68",0,0,2000,0,7200,"0"
"09-59-67-21",0,0,1500,0,12000,"0"
"35-03-03-59",0,0,1000,0,6000,""
"10-50-64-24",0,0,500,0,12000,"500"
"13-56-95-25",0,0,500,0,12000,"0"
"36-88-00-01",,,,,,""
