interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"77-20-39-35",500,0,0,0,1000,0,0,0
"71-78-53-70",,,,,,,,
"46-91-82-56",0,0,0,0,0,0,0,2000
"20-85-85-47",,,,,,,,
"34-53-75-33",,,,,,,,
"56-13-50-35",,,,,,,,
"58-38-99-88",,,,,,,,
"81-26-40-75",0,0,0,0,0,0,0,0
"39-76-70-00",,,,,,,,
"84-11-99-46",,,,,,,,
"07-72-86-35",,,,,,,,
"76-67-31-58",,,,,,,,
"37-57-47-28",1200,0,0,1200,1000,0,500,0
"01-40-66-32",,,,,,,,
"13-26-58-11",,,,,,,,
"53-48-83-71",,,,,,,,
"27-13-62-90",,,,,,,,
"85-22-01-46",,,,,,,,
"69-98-12-23",,,,,,,,
"13-16-89-71",,,,,,,,
"56-66-41-20",60,100,80,0,0,0,0,0
"81-47-86-65",,,,,,,,
"93-67-97-18",600,0,0,0,0,0,0,500
"38-26-42-37",,,,,,,,
"05-99-34-61",,,,,,,,
"82-77-34-88",,,,,,,,
"58-42-23-81",,,,,,,,
"41-08-83-81",0,60,100,0,0,0,0,0
"37-72-45-16",0,0,0,0,0,0,0,0
"86-82-46-77",,,,,,,,
"35-59-75-62",,,,,,,,
"31-89-28-30",,,,,,,,
"61-82-08-02",,,,,,,,
"67-96-75-77",,,,,,,,
"19-03-14-53",,,,,,,,
"12-01-31-29",,,,,,,,
"16-72-17-16",800,0,0,0,0,0,80,0
"38-21-18-12",,,,,,,,
"75-80-02-90",,,,,,,,
"43-41-21-85",,,,,,,,
"66-22-88-29",,,,,,,,
"42-66-53-78",,,,,,,,
"19-23-31-06",400,0,40,0,0,0,40,500
"62-33-60-14",,,,,,,,
"89-36-04-43",,,,,,,,
"87-86-68-37",,,,,,,,
"12-94-76-31",,,,,,,,
"25-74-03-84",,,,,,,,
"98-23-98-25",1500,0,0,0,15000,0,1710,1100
"01-01-07-49",,,,,,,,
"05-21-83-90",2000,0,0,5500,500,0,2000,0
"77-16-48-10",,,,,,,,
"75-23-18-05",,,,,,,,
"83-84-60-99",,,,,,,,
"56-18-51-85",,,,,,,,
"26-38-66-11",,,,,,,,
"46-68-27-34",200,0,0,0,1000,0,0,0
"78-16-14-09",250,0,0,0,1600,0,0,0
"01-32-09-43",900,0,0,2000,1500,0,600,0
"11-29-18-58",,,,,,,,
"53-42-47-52",,,,,,,,
"01-17-72-49",540,0,0,0,0,0,0,0
"40-86-48-02",1500,0,0,0,0,0,0,0
"67-11-34-32",0,0,0,0,0,0,0,0
"47-85-49-06",,,,,,,,
"68-03-09-51",,,,,,,,
"14-68-63-82",250,0,0,0,600,0,0,0
"80-91-19-12",0,0,0,0,1100,0,0,0
"25-98-38-14",600,0,0,0,2000,0,0,0
"50-33-61-65",,,,,,,,
"88-90-25-85",0,0,0,0,5000,0,0,0
"04-83-20-68",,,,,,,,
"09-59-67-21",,,,,,,,
"35-03-03-59",0,0,0,0,0,0,0,0
"10-50-64-24",,,,,,,,
"13-56-95-25",,,,,,,,
"36-88-00-01",,,,,,,,
"63-25-21-02",250,0,0,0,500,0,0,0
"08-07-30-74",450,0,0,0,2800,0,0,0
"18-39-69-08",,,,,,,,
"97-46-11-48",1800,0,0,2400,4000,0,300,0
"12-85-99-43",,,,,,,,
"55-14-49-61",0,0,0,0,0,0,0,0
"94-26-98-86",,,,,,,,
"32-96-01-37",2460,0,0,0,0,0,0,0
"41-92-38-71",2000,0,0,0,2700,0,1120,0
"43-40-50-14",1000,0,0,0,1500,0,400,0
"33-52-73-44",1100,0,0,0,500,0,0,0
"17-65-44-15",730,1,0,0,900,0,120,0
"77-00-14-73",1200,0,0,0,0,0,120,0
"78-98-94-60",60,60,0,0,0,0,300,0
"50-51-12-24",,,,,,,,
"45-72-98-81",478,0,0,0,0,0,0,0
"98-20-22-18",,,,,,,,
"12-87-62-64",,,,,,,,
"02-24-60-64",0,0,0,0,2000,0,0,0
"35-93-85-84",,,,,,,,
"25-08-98-52",0,0,0,0,600,0,0,0
"46-54-30-66",600,2400,0,2800,4000,0,0,0
"19-66-62-79",0,0,0,0,0,0,0,0
"38-52-59-99",130,0,0,0,4000,0,0,0
"18-01-52-21",0,0,0,0,0,0,0,0
"52-91-87-71",0,0,0,0,2000,0,0,0
"86-58-98-12",,,,,,,,
"18-53-78-30",250,0,0,0,0,0,0,0
"21-70-10-93",1200,0,0,0,0,0,0,0
"51-51-64-02",1000,0,0,0,0,0,0,0
"65-04-27-87",0,0,0,0,2000,0,800,0
"26-67-17-34",,,,,,,,
"12-55-61-25",300,0,0,0,2000,0,80,0
"70-21-00-12",,,,,,,,
"09-96-00-56",0,0,0,0,5000,0,0,0
"93-46-32-90",5000,0,0,0,6000,0,2500,0
"39-76-52-63",0,0,0,0,0,0,0,0
"44-39-76-83",,,,,,,,
"57-92-68-31",1750,0,0,0,0,0,0,0
"70-75-80-97",,,,,,,,
"37-91-43-52",,,,,,,,
"93-94-95-33",,,,,,,,
"50-37-72-10",0,0,0,0,0,0,0,0
"29-63-76-51",,,,,,,,
"71-36-35-44",0,0,0,0,0,0,0,0
"20-65-14-78",,,,,,,,
"60-95-57-22",4000,0,1000,0,10000,0,50,2000
"17-61-49-75",1200,0,0,0,0,0,0,0
"02-95-98-52",,,,,,,,
"77-54-37-57",500,0,0,0,600,0,0,0
"49-81-42-49",45,0,0,0,0,0,0,0
"07-97-99-00",,,,,,,,
"61-38-38-57",900,0,0,0,3300,0,200,200
"80-45-81-35",,,,,,,,
"47-70-03-35",,,,,,,,
"73-01-72-24",2400,0,0,0,4000,0,0,0
"70-18-85-80",250,0,0,0,900,0,0,0
"59-96-51-48",1030,0,0,0,0,0,0,0
"47-24-68-80",156,0,0,0,400,0,0,0
"98-95-69-34",10000,0,0,0,12000,0,50,1000
"94-61-58-26",160,1000,1200,0,800,0,1050,0
"84-70-48-38",,,,,,,,
"46-07-52-30",,,,,,,,
"65-50-88-07",120,0,0,0,0,0,0,0
"05-43-02-62",1380,0,0,0,5000,0,0,0
"83-84-84-67",,,,,,,,
"16-35-19-29",,,,,,,,
"83-90-14-37",0,0,0,0,900,0,0,0
"56-16-94-47",50,0,0,0,500,0,0,0
"16-24-71-47",,,,,,,,
"22-33-09-47",,,,,,,,
"89-17-95-50",500,0,0,0,2800,0,0,0
"71-12-87-82",,,,,,,,
"93-78-86-25",,,,,,,,
"34-03-26-96",10000,0,400,0,5000,0,100,100
"83-62-75-30",0,0,0,0,0,0,0,0
"39-30-68-16",,,,,,,,
"25-67-10-82",500,0,0,0,0,0,0,0
"87-90-13-56",0,0,0,0,0,0,0,0
"38-81-07-74",1600,0,0,0,2000,0,0,0
"29-17-63-12",300,0,0,0,300,0,0,0
"09-87-36-18",1350,0,0,0,0,0,0,0
"37-47-43-04",0,0,0,0,3500,0,0,0
"19-94-92-45",3870,0,0,0,1750,0,0,0
"01-51-77-20",0,0,0,0,1200,0,0,0
"14-21-66-73",0,0,0,3000,1000,0,0,0
"10-12-38-23",,,,,,,,
"06-71-23-79",0,0,0,0,0,0,0,0
"09-86-92-43",0,0,0,0,0,0,0,0
"65-52-71-81",1710,0,0,4500,0,0,0,0
"88-09-14-40",291,0,0,0,1500,0,300,0
"51-32-55-02",0,0,0,0,0,0,0,0
"25-85-18-57",0,0,0,0,2000,0,0,0
"08-01-73-79",440,0,0,0,0,0,0,0
"30-31-42-54",150,0,0,0,0,0,0,0
"59-41-41-82",0,0,0,0,0,0,0,0
"86-80-66-75",0,0,0,0,0,0,0,0
"36-82-19-46",0,0,0,0,0,0,0,0
"87-16-84-48",0,0,0,0,0,0,0,0
"85-15-56-74",0,0,0,0,1200,0,0,0
"99-52-45-97",600,0,1800,0,16800,0,210,500
"22-42-05-31",600,0,1500,0,0,0,2500,0
"17-88-76-49",,,,,,,,
"95-93-26-61",550,0,0,0,3000,0,0,0
"66-25-20-13",0,0,0,1800,2500,0,80,200
"56-49-46-49",500,0,0,0,1200,0,0,0
"00-63-35-41",,,,,,,,
"35-73-88-21",,,,,,,,
"90-22-40-74",,,,,,,,
"71-58-33-81",,,,,,,,
"85-67-71-58",0,0,0,0,2500,0,80,300
"01-61-71-69",1800,0,0,0,800,0,0,0
"75-50-19-75",0,0,0,0,0,0,0,0
"89-26-96-48",150,0,0,0,0,0,0,0
"73-20-13-57",,,,,,,,
"55-53-09-17",,,,,,,,
"16-20-70-88",0,0,0,0,400,0,0,0
"14-74-46-71",,,,,,,,
"15-43-32-03",990,0,0,0,4020,0,0,0
"62-79-94-11",0,0,0,1000,400,0,0,0
"74-11-35-62",0,0,0,0,5200,0,0,0
"07-05-49-00",500,0,0,1600,2000,0,0,0
"12-21-07-33",5200,0,0,8000,8000,0,500,0
"23-59-76-04",,,,,,,,
"93-87-90-66",80,0,300,0,0,0,40,400
"16-34-09-13",150,0,0,0,0,0,0,0
"85-82-50-77",400,0,0,0,0,0,0,0
"89-27-41-66",0,0,20,0,0,0,0,0
"22-81-16-32",0,0,0,0,0,0,0,0
"54-44-06-88",,,,,,,,
"47-49-80-52",,,,,,,,
"93-73-35-44",600,0,0,0,0,0,0,0
"08-77-46-38",500,0,0,0,3200,0,0,0
"85-57-73-17",,,,,,,,
"48-05-99-35",,,,,,,,
"67-13-56-73",3000,0,0,0,2000,0,90,0
"97-33-85-90",3000,0,0,1100,1400,0,0,0
"10-54-97-94",500,0,0,0,0,0,80,0
"50-35-50-04",0,0,0,0,0,0,0,0
"62-96-39-45",,,,,,,,
"44-55-26-98",,,,,,,,
"93-47-96-78",,,,,,,,
"18-43-28-32",1000,0,0,0,1900,0,0,0
"37-21-15-22",,,,,,,,
"87-15-89-67",,,,,,,,
"79-26-09-22",100,0,250,0,0,0,60,200
"75-05-90-14",,,,,,,,
"24-85-21-24",,,,,,,,
"91-48-78-65",,,,,,,,
"32-52-77-66",500,0,0,0,0,0,0,0
"26-89-84-58",,,,,,,,
"59-38-71-66",250,0,0,0,0,0,0,0
"02-07-52-84",,,,,,,,
"77-80-39-86",,,,,,,,
"72-51-39-42",,,,,,,,
"87-64-80-93",0,0,0,0,2000,0,1900,0
"36-99-07-56",,,,,,,,
"75-89-92-79",,,,,,,,
"44-34-32-32",20,0,0,0,0,0,0,0
"53-52-93-15",,,,,,,,
"58-35-74-86",350,0,0,0,0,0,0,0
"23-82-30-50",600,0,0,0,0,0,360,0
"76-76-95-07",2000,0,0,4400,500,0,0,0
"69-18-54-45",,,,,,,,
"99-14-10-16",,,,,,,,
"55-02-31-58",0,0,0,0,0,0,0,0
"55-65-32-92",1800,0,0,0,0,0,0,0
"66-00-67-40",0,0,0,0,0,0,0,0
"41-51-06-54",,,,,,,,
"07-18-54-62",,,,,,,,
"73-70-79-76",,,,,,,,
"40-83-72-17",,,,,,,,
"23-74-18-51",2500,0,0,0,1500,0,0,0
"18-88-43-52",,,,,,,,
"72-37-85-07",,,,,,,,
"84-90-52-18",,,,,,,,
"94-23-16-05",,,,,,,,
"52-32-19-59",1000,0,0,2200,0,0,0,0
"99-83-95-63",0,0,0,0,0,0,0,0
"46-29-66-50",2400,0,0,0,3000,0,120,240
"82-09-67-93",0,0,0,0,800,0,0,0
"53-00-44-01",0,0,0,0,0,0,0,0
"34-98-47-22",,,,,,,,
"78-72-01-35",980,0,0,0,0,0,0,0
"04-97-48-20",0,0,0,0,0,0,0,0
"99-10-52-87",4700,0,0,0,7000,0,0,0
"92-62-56-72",500,5000,400,3000,15000,0,2000,0
"39-32-10-47",0,0,0,0,0,0,0,0
"25-20-66-75",250,0,0,0,3500,0,750,5000
"98-95-69-84",,,,,,,,
"18-35-44-26",1000,0,0,0,0,0,0,0
"59-94-58-22",0,0,0,0,200,0,0,0
"40-32-33-96",0,0,0,0,0,0,0,0
"18-30-46-42",0,0,0,0,1000,0,0,0
"42-15-88-64",280,0,0,0,0,0,0,0
"19-83-07-46",,,,,,,,
"16-76-24-92",,,,,,,,
"16-98-25-56",,,,,,,,
"08-81-97-68",800,0,0,1000,0,0,0,0
"90-75-59-18",0,0,0,0,0,0,20,20
"01-70-02-35",1350,0,0,0,0,0,140,0
"23-94-09-23",,,,,,,,
"08-72-61-50",500,0,0,1000,300,0,0,0
"83-59-21-47",200,0,0,0,1000,0,0,0
"78-07-95-11",0,0,0,0,0,0,0,0
"70-58-67-82",,,,,,,,
"47-04-86-67",,,,,,,,
"92-02-45-21",400,0,0,0,200,0,200,180
"88-75-68-17",,,,,,,,
"24-82-46-82",0,0,0,0,0,0,0,0
"21-42-97-88",0,0,0,0,0,0,0,0
"87-09-20-52",0,0,0,0,1000,0,0,0
"68-10-75-89",0,0,0,0,0,0,0,0
"43-52-85-97",0,0,0,0,5000,0,0,0
"00-31-45-58",,,,,,,,
"89-47-55-13",0,0,0,0,0,0,0,0
"86-75-09-05",,,,,,,,
"70-15-38-18",,,,,,,,
"13-43-56-11",1600,0,0,0,200,0,140,60
"41-78-59-34",0,0,0,0,0,0,0,0
"76-42-64-83",0,0,0,0,700,0,0,0
"60-08-55-10",0,0,0,0,0,0,0,0
"09-76-96-87",,,,,,,,
"24-13-90-91",,,,,,,,
"79-64-90-22",0,0,0,0,600,0,0,300
"88-15-47-53",0,0,0,0,250,0,0,0
"74-17-56-50",4500,0,0,0,14400,0,0,0
"65-73-74-13",0,0,0,0,0,0,0,0
"78-26-64-75",,,,,,,,
"57-56-64-78",0,0,0,0,0,0,0,0
"79-27-11-92",,,,,,,,
"01-06-16-47",0,0,0,0,1000,0,0,0
"80-39-36-38",3000,60,0,0,700,0,400,400
"96-17-52-94",,,,,,,,
"67-51-54-29",0,0,0,0,1000,0,0,0
"94-25-30-28",,,,,,,,
"99-05-99-45",0,0,0,0,2800,0,0,0
"55-49-77-29",0,0,0,0,2000,0,400,0
"59-94-70-54",0,0,0,0,0,0,0,0
"18-48-78-90",,,,,,,,
"91-78-23-71",,,,,,,,
"79-02-43-99",,,,,,,,
"05-99-22-70",0,0,0,0,400,0,0,0
"19-70-78-40",,,,,,,,
"24-76-11-61",1000,0,0,0,300,0,0,0
"01-56-68-49",1230,0,0,0,0,0,200,2000
"48-81-58-75",,,,,,,,
"88-17-46-63",,,,,,,,
"64-24-89-62",,,,,,,,
"79-97-16-20",0,0,0,0,0,0,0,0
"22-78-59-76",,,,,,,,
"68-66-94-81",0,0,0,0,0,0,0,0
"55-05-77-24",,,,,,,,
"96-11-62-92",,,,,,,,
"78-34-55-08",,,,,,,,
"62-52-92-33",0,0,0,0,600,0,0,0
"11-84-22-34",0,0,0,0,200,0,0,0
"75-25-19-33",0,0,0,0,1500,0,0,1700
"25-28-42-89",,,,,,,,
"17-22-63-49",,,,,,,,
"75-11-04-39",0,0,0,0,1200,0,0,0
"42-13-72-77",0,0,0,0,0,0,0,0
"22-71-31-86",500,0,0,0,0,0,0,0
"72-79-67-76",0,0,0,0,0,0,0,0
"55-61-00-58",,,,,,,,
"83-84-11-33",0,0,0,0,0,0,200,0
"57-06-39-78",500,0,0,0,0,0,0,0
"28-44-47-60",500,0,0,0,0,0,300,0
"99-83-86-30",240,0,0,0,0,0,0,0
"95-87-87-82",,,,,,,,
"51-10-14-61",,,,,,,,
"38-80-77-22",0,0,0,0,0,0,0,0
"32-85-49-35",,,,,,,,
"67-57-93-16",1500,0,0,0,0,0,800,0
"66-09-29-33",0,0,0,0,0,0,0,0
"88-76-61-78",,,,,,,,
"45-30-93-43",0,0,0,0,0,0,0,0
"39-72-47-05",0,0,0,0,0,0,0,0
"91-78-19-91",500,0,0,0,0,0,0,0
"80-88-34-81",,,,,,,,
"00-93-28-41",,,,,,,,
"15-34-12-49",0,0,0,0,0,0,0,0
