interview__key,s9_respondent,food_security__1,food_security__2,food_security__3,food_security__4,food_security__5,food_security__6,food_security__7,food_security__8,food_sufficent,food_sufficent2,food_sufficent3,food_sufficent4__1,food_sufficent4__2,food_sufficent4__3,food_sufficent4__4,food_sufficent4__5,food_sufficent4__6,food_sufficent4__7,food_sufficent4__8,food_sufficent4__9,food_sufficent4__10,food_sufficent4__11,food_sufficent4__12
"77-20-39-35",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",0,2,12,1,2,3,4,5,12,11,10,9,8,7,6
"71-78-53-70",1,"Yes","No","Yes","No","No","No","No","No",3,3,1,0,0,0,0,0,0,0,0,0,1,0,0
"46-91-82-56",1,"Yes","No","No","Yes","No","No","No","No",8,8,3,1,0,0,0,0,0,0,0,0,0,0,0
"20-85-85-47",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,4,2,3,5,6,7,8,9,11,10,12
"34-53-75-33",2,"Yes","Yes","Yes","No","Yes","No","No","No",0,1,2,1,2,0,0,0,0,0,0,0,0,0,0
"56-13-50-35",1,"Yes",,"No","No",,"Yes","No","No",10,8,2,1,2,0,0,0,0,0,0,0,0,0,0
"58-38-99-88",3,"Yes","No","Yes","Yes","Yes","Yes","No","No",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"81-26-40-75",1,"No","Yes","No","Yes","Yes","Yes","Yes","No",3,3,4,1,2,3,4,0,0,0,0,0,0,0,0
"39-76-70-00",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,3,7,1,2,0,0,0,0,7,3,5,0,4,6
"84-11-99-46",2,"No","No","Yes","Yes","No","No","No","No",6,2,2,1,2,0,0,0,0,0,0,0,0,0,0
"07-72-86-35",2,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",0,2,2,0,1,0,0,0,0,0,0,0,2,0,0
"76-67-31-58",1,"Yes","No","No","Yes","Yes","Yes","No","Yes",1,1,6,1,2,0,0,0,0,0,0,3,4,0,0
"37-57-47-28",2,"Yes","No","Yes","Yes","Yes","No","No","No",12,12,12,1,3,4,5,6,7,8,9,10,11,12,2
