interview__key,contact_ref_1_rel,contact_ref_2_rel
"77-20-39-35","Sister","Brother"
"71-78-53-70","Aunty","Cousin"
"46-91-82-56","Elder Brother","Son"
"20-85-85-47","Neighbor","Neighbor"
"34-53-75-33","Friend","Sister"
"56-13-50-35","Daughter","Sister In-Law"
"58-38-99-88","Big Sister","Younger Brother"
"81-26-40-75","Wife","Head"
"39-76-70-00","Sister","Sister"
"84-11-99-46","Relative","Son"
"07-72-86-35","Mother Inlaw","Sister"
"76-67-31-58","Brother","Friend"
"37-57-47-28","Inlaw","Inlaw"
"01-40-66-32","Neighbour","Village Guide"
"13-26-58-11","Neighbor","Neighbor"
"53-48-83-71","Sister","Friend"
"27-13-62-90","Brother","Sister"
"85-22-01-46","Sister","Uncle"
"69-98-12-23","Brother","Inlaw"
"13-16-89-71","Father","Cousin"
"56-66-41-20","Friend","Cousins"
"81-47-86-65","Son","Sister"
"93-67-97-18","Mother","Sister"
"38-26-42-37","Sister","Sister"
"05-99-34-61","##N/A##","##N/A##"
"82-77-34-88","Daughter","Daughter"
"58-42-23-81","Sister","Brother"
"41-08-83-81","Grandson","Son"
"37-72-45-16","Sister","Daughter"
"86-82-46-77","Neighbour","Neighbour"
"35-59-75-62","Young Brother","Young Brother"
"31-89-28-30","Neighbour","Sister"
"61-82-08-02","Neighbor","Neighbor"
"67-96-75-77","Sister","Sister"
"19-03-14-53","Cousin","Brother"
"12-01-31-29","Daughter","Son"
"16-72-17-16","Sister","Brother"
"38-21-18-12","Sister In-Law","Close Friend"
"75-80-02-90","Daughter","Grandson"
"43-41-21-85","Mother","Sister"
"66-22-88-29","Daughter","Daughter"
"42-66-53-78","Friend","Friend"
"19-23-31-06","Brother","Brother"
"62-33-60-14","Wife","Daughter"
"89-36-04-43","Sister","Sister"
"87-86-68-37","Uncle","Uncle"
"12-94-76-31","Brother","Cousin"
"25-74-03-84","Neighbor","In-Law"
"98-23-98-25","Brother","Relative"
"01-01-07-49","Cousin","Little Sister"
"05-21-83-90","##N/A##","##N/A##"
"77-16-48-10","Daughter","Son"
"75-23-18-05","Relative","Neighbor"
"83-84-60-99","Daughter","Sister"
"56-18-51-85","Daughter","Daughter"
"26-38-66-11","Sister","Nephew"
"46-68-27-34","Mother","Sister"
"78-16-14-09","Son","Daughter Inlaw"
"01-32-09-43","Brother","Daughter"
"11-29-18-58","Uncle","Brother"
"53-42-47-52","Daughter","Sister"
"01-17-72-49","Friend","Brother"
"40-86-48-02","Relative","Relative"
"67-11-34-32","Son","Sister"
"47-85-49-06","Niece","Niece"
"68-03-09-51","Brother","Cousin"
"14-68-63-82","Son","Young Sister"
"80-91-19-12","Daughter","Niece"
"25-98-38-14","Daughter","Daughter"
"50-33-61-65","Mother","Sister"
"88-90-25-85","Brother","Brother"
"04-83-20-68","Daughter","Sister"
"09-59-67-21","Son","Grandson"
"35-03-03-59","Cousin","Aunty"
"10-50-64-24","Niece","Brother Inlaw"
"13-56-95-25","Niece","Niece"
"36-88-00-01","Brother","Sister"
"63-25-21-02","Neighbor","Daughter"
"08-07-30-74","Cousin","Brother"
"18-39-69-08","Brother","Brother"
"97-46-11-48","Mother","Aunty"
"12-85-99-43","Sister","Father"
"55-14-49-61","In-Law","Nephew"
"94-26-98-86","Sister","Brother"
"32-96-01-37","Niece","Son In Law"
"41-92-38-71","Mother","Uncle"
"43-40-50-14","Brother","Mother"
"33-52-73-44","Daughter","Son"
"17-65-44-15","Sister","Daughter"
"77-00-14-73","Daughter","Daughter"
"78-98-94-60","Husband Second Wife","Husband"
"50-51-12-24","Servant","Nephew"
"45-72-98-81","Daughter","Daughter"
"98-20-22-18","Daughter","Daughter"
"12-87-62-64","Brother","Brother"
"02-24-60-64","Sister","Nephew"
"35-93-85-84","Daughter","Son"
"25-08-98-52","Sibling","Brother"
"46-54-30-66","Daughter","Son"
"19-66-62-79","Brother","Brothers"
"38-52-59-99","Nephew","Daughter"
"18-01-52-21","Mother","Sister"
"52-91-87-71","Son","Son"
"86-58-98-12","Daughter","Daughter"
"18-53-78-30","Relative","Relative"
"21-70-10-93","Daughter","Daughter"
"51-51-64-02","Siste","Aunty"
"65-04-27-87","Aunty","Brother"
"26-67-17-34","Sister","Brother"
"12-55-61-25","Cousin","Cousin"
