interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,ha07_other,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"77-20-39-35",1,6,"New arrivals - Education","","Female","Self/Head",28,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Other educational training","Yes",,"",,"","","","No",,
"77-20-39-35",2,12,,"","Female","Sister/Brother",30,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Too expensive","",,"","","","No",,
"71-78-53-70",1,12,,"","Male","Self/Head",32,"Never Married","Other, Specify","Mbalangwe","Other➡️ Please specify","New Apostolic","University level",,,"",,"University of Namibia","2018","Diploma in Junior Primary","No",,
"46-91-82-56",1,12,,"","Female","Self/Head",64,"Widow/ Widower","Subia","","Catholic","","Primary 6","No","Parents did not want","",,"","","","Yes","No","Yes"
"46-91-82-56",2,12,,"","Female","Child/Adopted Child",25,"Never Married","Subia","","Catholic","","University level",,,"",,"Zambezi vocational training centre","2023","secretary","No",,
"46-91-82-56",3,12,,"","Female","Grandchild",15,"Never Married","Subia","","Catholic","","Secondary school Year 1","Yes",,"",,"","","","Yes","No","Yes"
"46-91-82-56",4,12,,"","Female","Grandchild",3,,,"",,"",,"No","Other","too young",,"","","",,,
"46-91-82-56",5,12,,"","Male","Grandchild",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"46-91-82-56",6,12,,"","Female","Grandchild",16,"Never Married","Subia","","Catholic","","Secondary school Year 2","Yes",,"",,"","","","No",,
"20-85-85-47",2,12,,"","Female","Self/Head",35,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Had to help with family","",,"","","","No",,
"20-85-85-47",3,12,,"","Female","Child/Adopted Child",12,"Never Married","Subia","","Catholic","","Primary 6","Yes",,"",,"","","","No",,
"20-85-85-47",4,12,,"","Male","Child/Adopted Child",9,,,"",,"","Primary 3","Yes",,"",,"","","",,,
"20-85-85-47",5,12,,"","Female","Child/Adopted Child",4,,,"",,"",,"Yes",,"",4000,"","","",,,
"20-85-85-47",6,12,,"","Female","Niece/Nephew",10,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"34-53-75-33",1,12,,"","Male","Self/Head",47,"Married monogamously","Lozi","","Other➡️ Please specify","New Apostle","Secondary school Year 1","No","Other","Over age",,"","","","Yes","No","Yes"
"34-53-75-33",2,12,,"","Female","Wife/Husband",43,"Married monogamously","Subia","","Other➡️ Please specify","New apostle","Post secondary tertiary college","No","Completed desired schooling","",,"","","","No",,
"34-53-75-33",3,12,,"","Female","Child/Adopted Child",19,"Never Married","Lozi","","Other➡️ Please specify","New apostle","Secondary school Year 4","Yes",,"",,"","","","No",,
"34-53-75-33",4,12,,"","Female","Child/Adopted Child",12,"Never Married","Lozi","","Other➡️ Please specify","New apostle","Primary 5","Yes",,"",,"","","","No",,
"34-53-75-33",5,12,,"","Male","Child/Adopted Child",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"56-13-50-35",1,12,,"","Male","Self/Head",75,"Married monogamously","Subia","","Other➡️ Please specify","New Apostolic Church","Primary 6","No","Had to help with family","",,"","","","No",,
"56-13-50-35",2,12,,"","Female","Wife/Husband",52,"Married monogamously","Other, Specify","Totela","Other➡️ Please specify","Seventh Adventist Church","Primary 7","No","Other","Lack of support and life struggles",,"","","","No",,
"56-13-50-35",3,12,,"","Female","Child/Adopted Child",23,"Never Married","Subia","","Other➡️ Please specify","Seventh Adventist Church","Secondary school Year 2","No","Pregnancy","",,"","","","No",,
"56-13-50-35",4,12,,"","Female","Grandchild",3,,,"",,"",,"No","Other","Too young to attend school",,"","","",,,
"56-13-50-35",5,12,,"","Male","Child/Adopted Child",10,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"56-13-50-35",6,12,,"","Female","Grandchild",15,"Never Married","Subia","","Other➡️ Please specify","Seventh Adventist Church","Primary 6","Yes",,"",,"","","","No",,
"58-38-99-88",1,12,,"","Female","Self/Head",61,"Widow/ Widower","Lozi","","Other➡️ Please specify","New Apostolic","Primary 6","Yes",,"",,"","","","No",,
"58-38-99-88",2,12,,"","Male","Child/Adopted Child",32,"Never Married","Lozi","","Non-religious","","Secondary school Year 4","No","Refused to answer","",,"","","","No",,
"58-38-99-88",3,1,"New arrivals - To look for work","","Male","Child/Adopted Child",28,"Never Married","Subia","","Other➡️ Please specify","New Apostolic","Primary 7","No","Not willing to attend further","",,"","","","No",,
"58-38-99-88",4,12,,"","Female","Grandchild",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"58-38-99-88",5,12,,"","Female","Grandchild",1,,,"",,"",,"No","Other","Still young",,"","","",,,
"81-26-40-75",1,12,,"","Male","Self/Head",36,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","Yes","Yes","No"
"81-26-40-75",2,12,,"","Female","Wife/Husband",23,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"81-26-40-75",3,12,,"","Male","Child/Adopted Child",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"81-26-40-75",4,2,"New arrivals - New born","","Female","Child/Adopted Child",2,,,"",,"",,"No","Other","2 months old baby",,"","","",,,
"39-76-70-00",1,12,,"","Female","Self/Head",34,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Pregnancy","",,"","","","No",,
"39-76-70-00",2,12,,"","Male","Child/Adopted Child",18,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"39-76-70-00",3,12,,"","Male","Child/Adopted Child",15,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"39-76-70-00",4,12,,"","Male","Child/Adopted Child",13,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"39-76-70-00",5,12,,"","Female","Child/Adopted Child",12,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","Yes",,"",,"","","","No",,
"39-76-70-00",6,12,,"","Male","Child/Adopted Child",5,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",480,"","","",,,
"39-76-70-00",7,9,"New arrivals - New born","","Male","Child/Adopted Child",9,,,"",,"","No formal education","No","Other","he is still a toddler",,"","","",,,
"84-11-99-46",1,12,,"","Male","Self/Head",66,"Married monogamously","Other, Specify","Totela","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","No","Completed desired schooling","",,"","","","No",,
"84-11-99-46",2,12,,"","Female","Wife/Husband",49,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","No","Completed desired schooling","",,"","","","No",,
"84-11-99-46",3,12,,"","Male","Child/Adopted Child",19,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Poor academic progress","",,"","","","No",,
"84-11-99-46",4,12,,"","Male","Child/Adopted Child",14,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"84-11-99-46",5,12,,"","Male","Child/Adopted Child",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"84-11-99-46",6,12,,"","Female","Child/Adopted Child",25,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 1","No","Poor academic progress","",,"","","","No",,
"84-11-99-46",7,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","still young",,"","","",,,
"84-11-99-46",8,12,,"","Male","Child/Adopted Child",22,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","No","Completed desired schooling","",,"","","","No",,
"84-11-99-46",9,12,,"","Male","Child/Adopted Child",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"84-11-99-46",10,0,"Members that left - Looking for work elsewhere","","Female","Child/Adopted Child",21,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Poor academic progress","",,"","","","No",,
"07-72-86-35",1,12,,"","Male","Self/Head",31,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"07-72-86-35",2,12,,"","Female","Wife/Husband",25,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Pregnancy","",,"","","","Yes","Yes","No"
"07-72-86-35",3,12,,"","Female","Child/Adopted Child",8,,,"",,"","Primary 3","Yes",,"",,"","","",,,
"07-72-86-35",4,12,,"","Male","Child/Adopted Child",6,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"07-72-86-35",5,12,,"","Female","Child/Adopted Child",2,,,"",,"",,"No","Other","minor",,"","","",,,
"76-67-31-58",1,12,,"","Male","Self/Head",45,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Had to help with family","",,"","","","No",,
"76-67-31-58",2,6,"Members that left - Looking for work elsewhere","","Male","Wife/Husband",37,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","No","Had to help with family","",,"","","","No",,
"76-67-31-58",3,2,"Members that left - Looking for work elsewhere","","Female","Child/Adopted Child",22,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","No","Too expensive","",,"","","","No",,
"76-67-31-58",4,12,,"","Female","Child/Adopted Child",14,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"76-67-31-58",5,12,,"","Female","Grandchild",10,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"76-67-31-58",6,12,,"","Female","Grandchild",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"37-57-47-28",1,12,,"","Male","Self/Head",55,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Completed desired schooling","",,"","","","Yes","Yes","Yes"
"37-57-47-28",2,12,,"","Female","Wife/Husband",35,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Too expensive","",,"","","","Yes","No","Yes"
"37-57-47-28",3,12,,"","Female","Child/Adopted Child",15,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"37-57-47-28",4,12,,"","Female","Child/Adopted Child",12,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"37-57-47-28",5,12,,"","Female","Child/Adopted Child",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"37-57-47-28",6,12,,"","Male","Child/Adopted Child",3,,,"",,"",,"No","Too expensive","",,"","","",,,
"37-57-47-28",7,12,,"","Male","Child/Adopted Child",1,,,"",,"",,"No","Other","minor",,"","","",,,
"01-40-66-32",1,12,,"","Male","Self/Head",34,"Married monogamously","Lozi","","Other➡️ Please specify","New Apostolic Church","Primary 8","No","Too expensive","",,"","","","Yes","Yes","No"
"01-40-66-32",2,12,,"","Female","Wife/Husband",34,"Married monogamously","Lozi","","Other➡️ Please specify","Full Gospel Church","Secondary school Year 1","No","Parents did not want","",,"","","","No",,
"13-26-58-11",1,12,,"","Male","Self/Head",53,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"53-48-83-71",1,12,,"","Male","Self/Head",50,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"53-48-83-71",2,12,,"","Female","Wife/Husband",30,"Married monogamously","Subia","","Catholic","","Secondary school Year 1","No","Pregnancy","",,"","","","No",,
"53-48-83-71",3,12,,"","Male","Child/Adopted Child",13,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
