interview__key,r_members__id,memeber_isphone
"77-20-39-35",1,"Yes"
"77-20-39-35",2,"Yes"
"71-78-53-70",1,"Yes"
"46-91-82-56",1,"Yes"
"46-91-82-56",2,"Yes"
"46-91-82-56",6,"Yes"
"34-53-75-33",1,"Yes"
"34-53-75-33",2,"Yes"
"34-53-75-33",3,"Yes"
"56-13-50-35",2,"Yes"
"58-38-99-88",1,"Yes"
"58-38-99-88",2,"Yes"
"58-38-99-88",3,"Yes"
"81-26-40-75",1,"Yes"
"39-76-70-00",1,"Yes"
"84-11-99-46",2,"Yes"
"84-11-99-46",8,"Yes"
"84-11-99-46",10,"Yes"
"07-72-86-35",1,"Yes"
"07-72-86-35",2,"Yes"
"76-67-31-58",2,"Yes"
"76-67-31-58",3,"Yes"
"37-57-47-28",1,"Yes"
"37-57-47-28",2,"Yes"
"13-26-58-11",1,"Yes"
"53-48-83-71",1,"Yes"
"53-48-83-71",2,"Yes"
"27-13-62-90",2,"Yes"
"85-22-01-46",1,"Yes"
"85-22-01-46",2,"Yes"
"69-98-12-23",1,"Yes"
"69-98-12-23",2,"Yes"
"13-16-89-71",1,"Yes"
"56-66-41-20",1,"Yes"
"56-66-41-20",2,"Yes"
"81-47-86-65",4,"Yes"
"93-67-97-18",1,"Yes"
"38-26-42-37",1,"Yes"
"38-26-42-37",2,"Yes"
"05-99-34-61",1,"Yes"
"05-99-34-61",2,"Yes"
"82-77-34-88",1,"Yes"
"82-77-34-88",3,"Yes"
"58-42-23-81",1,"Yes"
"41-08-83-81",1,"Yes"
"37-72-45-16",1,"Yes"
"37-72-45-16",4,"Yes"
"86-82-46-77",2,"Yes"
"86-82-46-77",3,"Yes"
"86-82-46-77",4,"Yes"
"86-82-46-77",5,"Yes"
"35-59-75-62",1,"Yes"
"35-59-75-62",2,"Yes"
"31-89-28-30",1,"Yes"
"31-89-28-30",2,"Yes"
"31-89-28-30",3,"Yes"
"31-89-28-30",6,"Yes"
"61-82-08-02",2,"Yes"
"67-96-75-77",1,"Yes"
"67-96-75-77",4,"Yes"
"19-03-14-53",1,"Yes"
"19-03-14-53",2,"Yes"
"12-01-31-29",1,"Yes"
"12-01-31-29",2,"Yes"
"12-01-31-29",3,"Yes"
"12-01-31-29",4,"Yes"
"16-72-17-16",1,"Yes"
"38-21-18-12",1,"Yes"
"38-21-18-12",2,"Yes"
"75-80-02-90",2,"Yes"
"75-80-02-90",7,"Yes"
"43-41-21-85",1,"Yes"
"43-41-21-85",4,"Yes"
"66-22-88-29",1,"Yes"
"66-22-88-29",2,"Yes"
"66-22-88-29",3,"Yes"
"42-66-53-78",2,"Yes"
"19-23-31-06",1,"Yes"
"19-23-31-06",2,"Yes"
"62-33-60-14",1,"Yes"
"62-33-60-14",2,"Yes"
"62-33-60-14",3,"Yes"
"62-33-60-14",6,"Yes"
"89-36-04-43",1,"Yes"
"89-36-04-43",2,"Yes"
"87-86-68-37",1,"Yes"
"87-86-68-37",2,"Yes"
"87-86-68-37",3,"Yes"
"12-94-76-31",1,"Yes"
"12-94-76-31",2,"Yes"
"25-74-03-84",1,"Yes"
"25-74-03-84",2,"Yes"
"98-23-98-25",1,"Yes"
"98-23-98-25",2,"Yes"
"01-01-07-49",1,"Yes"
"01-01-07-49",2,"Yes"
"77-16-48-10",1,"Yes"
"83-84-60-99",1,"Yes"
"83-84-60-99",2,"Yes"
"56-18-51-85",1,"Yes"
"26-38-66-11",1,"Yes"
"26-38-66-11",2,"Yes"
"46-68-27-34",1,"Yes"
"78-16-14-09",2,"Yes"
"78-16-14-09",4,"Yes"
"01-32-09-43",1,"Yes"
"11-29-18-58",1,"Yes"
"11-29-18-58",4,"Yes"
"53-42-47-52",1,"Yes"
"53-42-47-52",2,"Yes"
"01-17-72-49",1,"Yes"
"01-17-72-49",3,"Yes"
"40-86-48-02",1,"Yes"
"40-86-48-02",3,"Yes"
"47-85-49-06",2,"Yes"
"68-03-09-51",1,"Yes"
"68-03-09-51",2,"Yes"
"68-03-09-51",3,"Yes"
"68-03-09-51",4,"Yes"
"14-68-63-82",1,"Yes"
"80-91-19-12",1,"Yes"
"25-98-38-14",1,"Yes"
