interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"77-20-39-35",2,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"71-78-53-70",2,"Iron sheets","","Mud with poles","","Ceramic or other tiles","","Piped water (house or public)","","No facility/Bush/polythene",""
"46-91-82-56",2,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"20-85-85-47",1,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"34-53-75-33",2,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"56-13-50-35",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"58-38-99-88",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"81-26-40-75",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"39-76-70-00",3,"Iron sheets","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"84-11-99-46",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"07-72-86-35",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"76-67-31-58",1,"Iron sheets","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"37-57-47-28",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"01-40-66-32",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Other, Specify","No water, they pays neighbours from households with piped water from the same vicinities","No facility/Bush/polythene",""
"13-26-58-11",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"53-48-83-71",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"27-13-62-90",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"85-22-01-46",2,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
