interview__key,ctry,region,consti,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"77-20-39-35","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010203","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"71-78-53-70","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010208","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"46-91-82-56","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010204","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"20-85-85-47","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010310","Yes",,,"",,"No",1,"Representative of the head","Sister","Yes"
"34-53-75-33","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010313","No","Yes","Other (Specify)","Available","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"56-13-50-35","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010305","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"58-38-99-88","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010212","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"81-26-40-75","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010213","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"39-76-70-00","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010308","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"84-11-99-46","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010207","Yes",,,"",,"No",1,"Representative of the head","Father","Yes"
"07-72-86-35","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010306","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"76-67-31-58","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010202","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"37-57-47-28","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010315","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"01-40-66-32","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011015","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"13-26-58-11","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011025","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"53-48-83-71","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011003","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"27-13-62-90","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010211","Yes",,,"",,"No",1,"Representative of the head","Mother","Yes"
"85-22-01-46","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010309","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"69-98-12-23","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011018","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"13-16-89-71","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010210","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"56-66-41-20","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011004","No","Yes","None at home for extended amount of time","","Yes","Yes",1,"Head of the household",,"Yes"
"81-47-86-65","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010314","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"93-67-97-18","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011021","Yes",,,"",,"No",1,"Representative of the head","Son","Yes"
"38-26-42-37","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011011","No","Yes","Household not found","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"05-99-34-61","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011005","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"82-77-34-88","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011009","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"58-42-23-81","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011019","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"41-08-83-81","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011013","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"37-72-45-16","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011012","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"86-82-46-77","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011001","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"35-59-75-62","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011016","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"31-89-28-30","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011002","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"61-82-08-02","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011014","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"67-96-75-77","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010205","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"19-03-14-53","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011022","No","Yes","Household not found","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"12-01-31-29","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011017","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"16-72-17-16","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010301","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"38-21-18-12","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010304","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"75-80-02-90","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010215","Yes",,,"",,"No",1,"Representative of the head","Mother","Yes"
"43-41-21-85","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010206","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"66-22-88-29","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011006","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"42-66-53-78","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011024","Yes",,,"",,"No",1,"Representative of the head","Other female relative","Yes"
"19-23-31-06","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010302","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"62-33-60-14","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 3","300011011010","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"89-36-04-43","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 2","300011010312","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"87-86-68-37","Namibia","Zambezi","Linyanti","Sitanta","300017054409","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"12-94-76-31","Namibia","Zambezi","Kabbe North","Namyundu","300012021710","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"25-74-03-84","Namibia","Zambezi","Kabbe South","Impalila North","300016043606","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"98-23-98-25","Namibia","Zambezi","Sibbinda","Bito","300013032104","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"01-01-07-49","Namibia","Zambezi","Kabbe South","Impalila North","300016043607","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"05-21-83-90","Namibia","Zambezi","Katima Mulilo Rural","Mafuta 1","300011010214","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"77-16-48-10","Namibia","Zambezi","Kabbe South","Impalila North","300016043612","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"75-23-18-05","Namibia","Zambezi","Kabbe South","Impalila North","300016043613","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"83-84-60-99","Namibia","Zambezi","Kabbe South","Kasika","300016054204","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"56-18-51-85","Namibia","Zambezi","Kabbe South","Impalila North","300016043604","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"26-38-66-11","Namibia","Zambezi","Kabbe South","Impalila North","300016043609","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"46-68-27-34","Namibia","Zambezi","Kabbe North","Ntonda","300012021602","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"78-16-14-09","Namibia","Zambezi","Linyanti","Sitanta","300017054402","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"01-32-09-43","Namibia","Zambezi","Sibbinda","Lusu","300013032314","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"11-29-18-58","Namibia","Zambezi","Kabbe South","Kasika","300016054207","No","Yes","Household not found","","Yes","Yes",1,"Head of the household",,"Yes"
"53-42-47-52","Namibia","Zambezi","Kabbe South","Impalila North","300016043602","No","No",,"","Yes","Yes",1,"Representative of the head","Daughter","Yes"
"01-17-72-49","Namibia","Zambezi","Linyanti","Sitanta","300017054415","No","Yes","Household not found","","Yes","Yes",1,"Head of the household",,"Yes"
"40-86-48-02","Namibia","Zambezi","Kabbe South","Impalila North","300016043611","No","Yes","Other (Specify)","Household head's young brother passed on","Yes","Yes",1,"Head of the household",,"Yes"
"67-11-34-32","Namibia","Zambezi","Linyanti","Sitanta","300017054410","No","Yes","Other (Specify)","Deceased","Yes","Yes",1,"Head of the household",,"Yes"
"47-85-49-06","Namibia","Zambezi","Kabbe South","Impalila North","300016043608","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"68-03-09-51","Namibia","Zambezi","Kabbe South","Impalila South","300016043702","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"14-68-63-82","Namibia","Zambezi","Kabbe South","Impalila South","300016043708","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"80-91-19-12","Namibia","Zambezi","Linyanti","Sitanta","300017054411","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"25-98-38-14","Namibia","Zambezi","Linyanti","Sitanta","300017054414","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"50-33-61-65","Namibia","Zambezi","Linyanti","Sitanta","300017054406","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"88-90-25-85","Namibia","Zambezi","Linyanti","Sitanta","300017054412","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Head of the household",,"Yes"
"04-83-20-68","Namibia","Zambezi","Kabbe South","Impalila South","300016043714","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"09-59-67-21","Namibia","Zambezi","Kabbe South","Impalila South","300016043709","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"35-03-03-59","Namibia","Zambezi","Sibbinda","Sachinga","300013032501","Yes",,,"",,"No",1,"Head of the household",,"Yes"
