interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"77-20-39-35","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,250,"No"
"71-78-53-70","No",,,,,,,,,,,"",,75,,"No"
"46-91-82-56",,,,,,,,,,,,"",,,,
"20-85-85-47",,,,,,,,,,,,"",,,,
"34-53-75-33",,,,,,,,,,,,"",,,,
"56-13-50-35",,,,,,,,,,,,"",,,,
"58-38-99-88",,,,,,,,,,,,"",,,,
"81-26-40-75",,,,,,,,,,,,"",,,,
"39-76-70-00",,,,,,,,,,,,"",,,,
"84-11-99-46",,,,,,,,,,,,"",,,,
"07-72-86-35","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,600,"No"
"76-67-31-58",,,,,,,,,,,,"",,,,
"37-57-47-28","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Urban market (town) in this region",4,20000,"No"
"01-40-66-32","No",,,,,,,,,,,"",,.8,,"No"
"13-26-58-11",,,,,,,,,,,,"",,,,
"53-48-83-71",,,,,,,,,,,,"",,,,
"27-13-62-90",,,,,,,,,,,,"",,,,
"85-22-01-46","No",,,,,,,,,,,"",,1.5,,"No"
"69-98-12-23","No",,,,,,,,,,,"",,2,,"No"
"13-16-89-71","No",,,,,,,,,,,"",,1,,"No"
"56-66-41-20",,,,,,,,,,,,"",,,,
"81-47-86-65",,,,,,,,,,,,"",,,,
"93-67-97-18",,,,,,,,,,,,"",,,,
"38-26-42-37",,,,,,,,,,,,"",,,,
"05-99-34-61",,,,,,,,,,,,"",,,,
"82-77-34-88",,,,,,,,,,,,"",,,,
"58-42-23-81",,,,,,,,,,,,"",,,,
"41-08-83-81",,,,,,,,,,,,"",,,,
"37-72-45-16",,,,,,,,,,,,"",,,,
"86-82-46-77",,,,,,,,,,,,"",,,,
"35-59-75-62","No",,,,,,,,,,,"",,1,,"No"
"31-89-28-30",,,,,,,,,,,,"",,,,
"61-82-08-02",,,,,,,,,,,,"",,,,
"67-96-75-77",,,,,,,,,,,,"",,,,
"19-03-14-53",,,,,,,,,,,,"",,,,
"12-01-31-29","No",,,,,,,,,,,"",,2,,"No"
"16-72-17-16","No",,,,,,,,,,,"",,2,,"No"
"38-21-18-12",,,,,,,,,,,,"",,,,
"75-80-02-90",,,,,,,,,,,,"",,,,
"43-41-21-85",,,,,,,,,,,,"",,,,
"66-22-88-29","No",,,,,,,,,,,"",,80,,"No"
"42-66-53-78",,,,,,,,,,,,"",,,,
"19-23-31-06",,,,,,,,,,,,"",,,,
"62-33-60-14","No",,,,,,,,,,,"",,35,,"No"
"89-36-04-43","No",,,,,,,,,,,"",,.8,,"No"
"87-86-68-37",,,,,,,,,,,,"",,,,
"12-94-76-31",,,,,,,,,,,,"",,,,
"25-74-03-84",,,,,,,,,,,,"",,,,
"98-23-98-25","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",30,600,"No"
"01-01-07-49","No",,,,,,,,,,,"",,1,,"No"
"05-21-83-90","No",,,,,,,,,,,"",,7,,"No"
"77-16-48-10","No",,,,,,,,,,,"",,1,,"No"
"75-23-18-05","No",,,,,,,,,,,"",,2,,"No"
"83-84-60-99","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",2,500,"No"
"56-18-51-85","No",,,,,,,,,,,"",,1,,"No"
"26-38-66-11",,,,,,,,,,,,"",,,,
"46-68-27-34","No",,,,,,,,,,,"",,2,,"No"
"78-16-14-09",,,,,,,,,,,,"",,,,
"01-32-09-43",,,,,,,,,,,,"",,,,
"11-29-18-58",,,,,,,,,,,,"",,,,
"53-42-47-52","No",,,,,,,,,,,"",,2,,"No"
"01-17-72-49","No",,,,,,,,,,,"",,50,,"No"
"40-86-48-02","No",,,,,,,,,,,"",,2,,"No"
"67-11-34-32",,,,,,,,,,,,"",,,,
"47-85-49-06","No",,,,,,,,,,,"",,20,,"No"
"68-03-09-51","No",,,,,,,,,,,"",,80,,"No"
"14-68-63-82","No",,,,,,,,,,,"",,1,,"No"
"80-91-19-12","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",3,5000,"No"
"25-98-38-14",,,,,,,,,,,,"",,,,
"50-33-61-65",,,,,,,,,,,,"",,,,
"88-90-25-85","No",,,,,,,,,,,"",,1,,"No"
"04-83-20-68","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",10,1500,"No"
"09-59-67-21","No",,,,,,,,,,,"",,1,,"No"
"35-03-03-59","No",,,,,,,,,,,"",,.1,,"No"
"10-50-64-24","No",,,,,,,,,,,"",,1,,"No"
"13-56-95-25","No",,,,,,,,,,,"",,10,,"No"
"36-88-00-01",,,,,,,,,,,,"",,,,
"63-25-21-02","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",10,1600,"No"
"08-07-30-74",,,,,,,,,,,,"",,,,
"18-39-69-08","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",.5,900,"No"
"97-46-11-48","No",,,,,,,,,,,"",,5,,"No"
"12-85-99-43",,,,,,,,,,,,"",,,,
"55-14-49-61","No",,,,,,,,,,,"",,120,,"No"
"94-26-98-86",,,,,,,,,,,,"",,,,
"32-96-01-37","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",5,12000,"No"
"41-92-38-71","No",,,,,,,,,,,"",,80,,"No"
"43-40-50-14","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",.01,500,"No"
"33-52-73-44","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",.02,50,"No"
"17-65-44-15",,,,,,,,,,,,"",,,,
"77-00-14-73",,,,,,,,,,,,"",,,,
"78-98-94-60","No",,,,,,,,,,,"",,5,,"No"
"50-51-12-24",,,,,,,,,,,,"",,,,
"45-72-98-81","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",.4,500,"No"
"98-20-22-18","No",,,,,,,,,,,"",,180,,"No"
"12-87-62-64","No",,,,,,,,,,,"",,5,,"No"
"02-24-60-64",,,,,,,,,,,,"",,,,
"35-93-85-84","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",120,120,"No"
"25-08-98-52","No",,,,,,,,,,,"",,180,,"No"
"46-54-30-66","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",.02,600,"No"
"19-66-62-79",,,,,,,,,,,,"",,,,
"38-52-59-99",,,,,,,,,,,,"",,,,
"18-01-52-21",,,,,,,,,,,,"",,,,
"52-91-87-71",,,,,,,,,,,,"",,,,
"86-58-98-12","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",10,25000,"No"
"18-53-78-30","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",2,12000,"No"
"21-70-10-93","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",.5,200,"No"
"51-51-64-02","No",,,,,,,,,,,"",,5,,"No"
"65-04-27-87",,,,,,,,,,,,"",,,,
"26-67-17-34",,,,,,,,,,,,"",,,,
"12-55-61-25",,,,,,,,,,,,"",,,,
"70-21-00-12","Yes","Yes","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Market in this village",1,4200,"No"
"09-96-00-56",,,,,,,,,,,,"",,,,
"93-46-32-90","Yes","Yes","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",.1,600,"No"
"39-76-52-63",,,,,,,,,,,,"",,,,
"44-39-76-83","No",,,,,,,,,,,"",,.1,,"No"
"57-92-68-31",,,,,,,,,,,,"",,,,
"70-75-80-97",,,,,,,,,,,,"",,,,
"37-91-43-52",,,,,,,,,,,,"",,,,
"93-94-95-33",,,,,,,,,,,,"",,,,
"50-37-72-10","No",,,,,,,,,,,"",,27,,"No"
"29-63-76-51",,,,,,,,,,,,"",,,,
"71-36-35-44",,,,,,,,,,,,"",,,,
"20-65-14-78",,,,,,,,,,,,"",,,,
"60-95-57-22",,,,,,,,,,,,"",,,,
"17-61-49-75","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,8000,"No"
"02-95-98-52",,,,,,,,,,,,"",,,,
"77-54-37-57",,,,,,,,,,,,"",,,,
"49-81-42-49",,,,,,,,,,,,"",,,,
"07-97-99-00",,,,,,,,,,,,"",,,,
"61-38-38-57",,,,,,,,,,,,"",,,,
"80-45-81-35","No",,,,,,,,,,,"",,2,,"No"
"47-70-03-35","No",,,,,,,,,,,"",,120,,"No"
"73-01-72-24",,,,,,,,,,,,"",,,,
"70-18-85-80",,,,,,,,,,,,"",,,,
"59-96-51-48","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",2,18000,"No"
"47-24-68-80",,,,,,,,,,,,"",,,,
"98-95-69-34","No",,,,,,,,,,,"",,1,,"No"
"94-61-58-26",,,,,,,,,,,,"",,,,
"84-70-48-38",,,,,,,,,,,,"",,,,
"46-07-52-30","No",,,,,,,,,,,"",,15,,"No"
"65-50-88-07","No",,,,,,,,,,,"",,40,,"No"
"05-43-02-62","No",,,,,,,,,,,"",,3,,"No"
"83-84-84-67",,,,,,,,,,,,"",,,,
"16-35-19-29","No",,,,,,,,,,,"",,5,,"No"
"83-90-14-37",,,,,,,,,,,,"",,,,
"56-16-94-47",,,,,,,,,,,,"",,,,
"16-24-71-47","No",,,,,,,,,,,"",,7,,"No"
"22-33-09-47","No",,,,,,,,,,,"",,6,,"No"
"89-17-95-50",,,,,,,,,,,,"",,,,
"71-12-87-82","No",,,,,,,,,,,"",,1,,"No"
"93-78-86-25","No",,,,,,,,,,,"",,5,,"No"
"34-03-26-96","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",10,7500,"No"
"83-62-75-30","No",,,,,,,,,,,"",,.1,,"No"
"39-30-68-16","No",,,,,,,,,,,"",,888,,"No"
"25-67-10-82","No",,,,,,,,,,,"",,5,,"No"
"87-90-13-56",,,,,,,,,,,,"",,,,
"38-81-07-74",,,,,,,,,,,,"",,,,
"29-17-63-12","No",,,,,,,,,,,"",,1,,"No"
"09-87-36-18","No",,,,,,,,,,,"",,.1,,"No"
"37-47-43-04","No",,,,,,,,,,,"",,5,,"No"
"19-94-92-45","No",,,,,,,,,,,"",,1,,"No"
"01-51-77-20",,,,,,,,,,,,"",,,,
"14-21-66-73",,,,,,,,,,,,"",,,,
"10-12-38-23",,,,,,,,,,,,"",,,,
"06-71-23-79",,,,,,,,,,,,"",,,,
"09-86-92-43",,,,,,,,,,,,"",,,,
"65-52-71-81","No",,,,,,,,,,,"",,1,,"No"
"88-09-14-40","No",,,,,,,,,,,"",,2,,"No"
"51-32-55-02","No",,,,,,,,,,,"",,20,,"No"
"25-85-18-57",,,,,,,,,,,,"",,,,
"08-01-73-79",,,,,,,,,,,,"",,,,
"30-31-42-54","No",,,,,,,,,,,"",,.8,,"No"
"59-41-41-82","No",,,,,,,,,,,"",,60,,"No"
"86-80-66-75",,,,,,,,,,,,"",,,,
"36-82-19-46",,,,,,,,,,,,"",,,,
"87-16-84-48",,,,,,,,,,,,"",,,,
"85-15-56-74","No",,,,,,,,,,,"",,1,,"No"
