interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"77-20-39-35",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Lozi","","In their 50s",5,3
"77-20-39-35",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Subia","","In their 60s",7,6
"77-20-39-35",3,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 50s",3,2
"71-78-53-70",1,"No","No","No","No","No","No","No","No","No","No","Yes","No",,"Men","Lozi","","In their 50s",0,0
"71-78-53-70",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 50s",0,0
"71-78-53-70",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Lozi","","In their 50s",0,0
"46-91-82-56",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 50s",3,3
"46-91-82-56",2,"No","No","No","No","No","No","No","Yes","No","No","No","No",,"Men","Mafwe","","In their 30s",25,5
"46-91-82-56",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 40s",3,3
"20-85-85-47",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Subia","","In their 30s",3,0
"20-85-85-47",2,"No","No","No","No","No","Yes","No","No","Yes","No","No","No",,"Women","Lozi","","In their 40s",20,5
"20-85-85-47",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Women","Other","English","In their 40s",4,0
"34-53-75-33",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 40s",0,30
"34-53-75-33",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Lozi","","In their 50s",0,30
"34-53-75-33",3,"Yes","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Subia","","In their 30s",0,14
"81-26-40-75",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Subia","","In their 30s",0,1
"81-26-40-75",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Mafwe","","In their 40s",6,5
"81-26-40-75",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Subia","","In their 40s",4,2
"39-76-70-00",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Other","Totela","In their 20s",28,1
"39-76-70-00",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 30s",2,0
"39-76-70-00",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Other","Totela","In their 30s",3,1
"84-11-99-46",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Other","totela","In their 30s",25,25
"07-72-86-35",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Lozi","","In their 50s",1,6
"07-72-86-35",2,"No","No","No","No","No","No","No","Yes","No","No","No","No",,"Men","Lozi","","In their 50s",3,6
"07-72-86-35",3,"No","No","No","No","No","No","No","No","No","Yes","Yes","No",,"Men","Mafwe","","In their 40s",2,6
"76-67-31-58",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Lozi","","In their 30s",3,1
"76-67-31-58",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Lozi","","In their 30s",1,2
"76-67-31-58",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Lozi","","In their 30s",3,3
"37-57-47-28",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 50s",4,2
"37-57-47-28",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 60s",5,2
"37-57-47-28",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Subia","","In their 30s",7,2
"01-40-66-32",1,"No","No","No","No","Yes","No","No","No","No","Yes","No","No",,"Men","Lozi","","In their 40s",3,0
"01-40-66-32",2,"No","No","No","No","No","Yes","No","No","No","Yes","No","No",,"Men","Lozi","","In their 40s",20,0
"13-26-58-11",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Women","Subia","","In their 60s",5,2
"53-48-83-71",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Subia","","In their 40s",20,2
"53-48-83-71",2,"No","No","No","No","No","Yes","Yes","No","Yes","No","No","No",,"Women","Lozi","","In their 20s",10,1
"53-48-83-71",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 30s",1,1
"27-13-62-90",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 30s",20,5
"27-13-62-90",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Mafwe","","In their 20s",6,2
"85-22-01-46",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 50s",0,0
"85-22-01-46",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Lozi","","In their 50s",0,0
"85-22-01-46",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 60s",0,0
"69-98-12-23",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 40s",5,2
"13-16-89-71",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 40s",0,0
"13-16-89-71",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 50s",1,0
"13-16-89-71",3,"No","No","No","No","No","No","No","Yes","No","No","No","No",,"Men","Subia","","In their 50s",1,0
"56-66-41-20",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 40s",2,1
"56-66-41-20",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Subia","","In their 60s",3,0
"56-66-41-20",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Other","Totela","In their 40s",28,4
"81-47-86-65",1,"Yes","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Other","totela","In their 30s",0,3
"81-47-86-65",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 30s",0,3
"81-47-86-65",3,"Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Other","Totela","In their 40s",0,6
"93-67-97-18",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other","Totela","In their 50s",29,5
"93-67-97-18",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other","Totela","In their 40s",2,2
"93-67-97-18",3,"No","Yes","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other","Totela","In their 40s",29,2
"38-26-42-37",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Other","Totela","In their 50s",8,2
"38-26-42-37",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Lozi","","In their 50s",9,0
"38-26-42-37",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 50s",1,0
"82-77-34-88",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 50s",4,2
"82-77-34-88",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Lozi","","In their 40s",2,0
"82-77-34-88",3,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 40s",0,1
"58-42-23-81",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Subia","","In their 60s",8,6
"58-42-23-81",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Lozi","","In their 40s",1,0
"58-42-23-81",3,"No","No","No","No","Yes","No","No","No","No","Yes","No","No",,"Men","Lozi","","&gt;70",2,0
"41-08-83-81",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Lozi","","In their 30s",1,3
"37-72-45-16",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 20s",2,3
"86-82-46-77",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Other","Mbalangwe","In their 40s",2,3
"86-82-46-77",2,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Women","Lozi","","In their 50s",4,2
"86-82-46-77",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Other","Mbalangwe","In their 30s",4,3
"35-59-75-62",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 40s",1,4
