interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"77-20-39-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-78-53-70","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,250,,,,,,,,,,
"46-91-82-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"20-85-85-47","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-53-75-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-13-50-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-38-99-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"81-26-40-75","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"39-76-70-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"84-11-99-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-72-86-35","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No",,120,"No","No","Yes","No","No","No","No","No","No",
"76-67-31-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-57-47-28","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-40-66-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-26-58-11","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-48-83-71","Yes","Yes",,"No","No","No","Yes","No","No","No","No","No","No","No","No","No",,50,,,,,,,,,,
"27-13-62-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-22-01-46","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,33,,,,,,,,,,
"69-98-12-23","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-16-89-71","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,300,,,,,,,,,,
"56-66-41-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"81-47-86-65","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-67-97-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"38-26-42-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-99-34-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"82-77-34-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-23-81","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"41-08-83-81","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,240,,,,,,,,,,
"37-72-45-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-82-46-77","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,260,,,,,,,,,,
"35-59-75-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-89-28-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"61-82-08-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"67-96-75-77","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-03-14-53","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-01-31-29","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-72-17-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"38-21-18-12","Yes","Yes",,"Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No",,130,,,,,,,,,,
"75-80-02-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"43-41-21-85","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,160,,,,,,,,,,
"66-22-88-29","Yes","No","1001-1500 m","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,0,,,,,,,,,,
"42-66-53-78","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-23-31-06","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"62-33-60-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"89-36-04-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-86-68-37","Yes","Yes",,"Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No",,260,,,,,,,,,,
"12-94-76-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-74-03-84","Yes","Yes",,"Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No",,250,,,,,,,,,,
"98-23-98-25","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,196,,,,,,,,,,
"01-01-07-49","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,120,,,,,,,,,,
"05-21-83-90","Yes","Yes",,"Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No",,200,,,,,,,,,,
"77-16-48-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-23-18-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-84-60-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-18-51-85","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-38-66-11","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-68-27-34","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-16-14-09","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","No","No","No","No",,120,,,,,,,,,,
"01-32-09-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-29-18-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-42-47-52","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,160,,,,,,,,,,
"01-17-72-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-86-48-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"67-11-34-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"47-85-49-06","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"68-03-09-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-68-63-82","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"80-91-19-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
