interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"77-20-39-35","Hectares","",1,1,3,10,1,0,0,"Private owned with land title","Private owned with land title","Communally owned","Communally owned","Communally owned",,,"Yes","Other individuals","","Neighbours","","Yes","Very unlikely","Yes","No","No","No","No","No","No","No","No","Yes","No","No",,"Yes",2,"Yes","No","No","No",,4,"Slight decrease","Massive decrease","No",,,"",1,"Yes","To increase the harvest that I get every year."
"71-78-53-70","Hectares","",0,0,0,0,.3,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,1,"Massive decrease","Massive decrease","No",,,"",0,"No","Business development"
"46-91-82-56","Hectares","",4,0,0,0,1,0,0,"Communally owned",,,,"Co-share/ co-farming",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No",,"No",,,,,,,20,"The same","The same","No",,,"",2,"No","too old"
"20-85-85-47","Hectares","",0,0,0,0,.5,0,0,,,,,"Communally owned",,,"Yes","Within family","","Village headman / chairperson","","No","Very likely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",0,"No","lost hope since she is not working no money"
"34-53-75-33","Hectares","",0,0,0,0,.01,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,17,"Massive decrease","Massive decrease","No",,,"",0,"No","No money to buy another plot"
"56-13-50-35","Other➡️ Please specify","1 Square Metrers= 0.0001 ha",0,0,600,600,600,0,0,,,"Private owned with land title","Private owned with land title","Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,10,"Massive decrease","Massive decrease","No",,,"",0,"No","Plot are now very expensive"
"58-38-99-88","Hectares","",0,0,0,0,.5,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","No","No","No","No","No","No","Yes","No","No",,"No",,,,,,,35,"Slight decrease","Massive decrease","No",,,"",0,"Yes","For the children"
"81-26-40-75","Hectares","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"Likely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,5,"Slight decrease","Slight increase","No",,,"",0,"Yes","to be closer to town"
"39-76-70-00","Hectares","",0,0,0,0,.2,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,5,"The same","The same","No",,,"",0,"No","she is comfortable with 1 plot where she currently stays now"
"84-11-99-46","Hectares","",0,0,0,0,.1,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,15,"Slight increase","Slight increase","No",,,"",2,"No","He thinks he has enough"
