interview__key,r_livestock__id,lv01,lv02,lv03,lv04,lv_inkind_pay,lv05,lv06,lv07,lv08
"77-20-39-35","Bulls/Oxen/Steers",3,3,0,0,0,0,0,0,
"77-20-39-35","Cows/Heifers",7,7,0,0,0,0,0,0,
"77-20-39-35","Chicken - Hens/Layers",25,25,0,0,0,0,0,0,
"71-78-53-70","Bulls/Oxen/Steers",2,2,0,0,0,0,0,0,
"07-72-86-35","Chicken - Hens/Layers",12,15,6,4,0,0,3,0,150
"37-57-47-28","Bulls/Oxen/Steers",0,2,0,0,0,0,0,0,
"37-57-47-28","Cows/Heifers",40,30,10,0,0,0,0,1,4000
"37-57-47-28","Calves - Males/Females",15,17,0,0,0,0,1,1,
"01-40-66-32","Chicken - Cocks/Broilers",12,1,2,2,0,0,0,0,60
"85-22-01-46","Chicken - Cocks/Broilers",6,1,0,0,0,0,5,0,
"69-98-12-23","Bulls/Oxen/Steers",3,1,2,0,0,0,0,0,3500
"13-16-89-71","Bulls/Oxen/Steers",2,2,0,0,0,0,0,0,
"35-59-75-62","Chicken - Cocks/Broilers",4,2,2,0,0,0,0,0,150
"35-59-75-62","Chicken - Hens/Layers",8,8,0,0,0,0,0,0,
"12-01-31-29","Cows/Heifers",32,21,11,11,0,0,0,0,6000
"16-72-17-16","Cows/Heifers",10,10,0,0,0,0,0,0,
"66-22-88-29","Bulls/Oxen/Steers",8,6,0,0,0,0,2,0,
"62-33-60-14","Bulls/Oxen/Steers",5,4,1,0,0,0,0,0,6000
"62-33-60-14","Cows/Heifers",10,10,0,0,0,0,0,0,
"62-33-60-14","Chicken - Cocks/Broilers",34,24,10,0,0,0,0,0,150
"62-33-60-14","Chicken - Hens/Layers",20,10,10,0,0,0,0,0,100
"89-36-04-43","Chicken - Cocks/Broilers",30,12,2,2,0,0,4,3,130
"98-23-98-25","Bulls/Oxen/Steers",9,5,4,0,0,0,0,0,5000
"98-23-98-25","Cows/Heifers",11,8,3,0,0,0,0,0,3800
"98-23-98-25","Calves - Males/Females",6,4,0,0,0,0,0,0,
"98-23-98-25","Goats - He/She/Kids",4,1,3,0,0,0,0,0,800
"98-23-98-25","Chicken - Cocks/Broilers",10,2,0,4,0,0,0,0,
"98-23-98-25","Chicken - Hens/Layers",11,7,0,2,0,0,0,2,
"98-23-98-25","Guinea Fowls",5,2,0,1,0,0,0,0,
"01-01-07-49","Chicken - Hens/Layers",36,10,6,3,0,0,0,8,100
"05-21-83-90","Cows/Heifers",31,21,10,0,0,0,0,0,5000
"77-16-48-10","Chicken - Cocks/Broilers",22,7,0,6,0,0,7,2,
"75-23-18-05","Goats - He/She/Kids",6,2,0,0,0,0,4,0,
"83-84-60-99","Bulls/Oxen/Steers",3,3,0,0,0,0,0,0,
"83-84-60-99","Cows/Heifers",8,7,0,0,0,0,0,1,
"83-84-60-99","Calves - Males/Females",2,2,0,0,0,0,0,0,
"56-18-51-85","Goats - He/She/Kids",20,15,0,0,0,0,5,4,
"46-68-27-34","Chicken - Cocks/Broilers",26,15,2,5,0,0,0,0,50
"53-42-47-52","Chicken - Cocks/Broilers",1,5,0,4,0,0,0,0,
"53-42-47-52","Chicken - Hens/Layers",2,8,0,3,0,0,0,3,
"01-17-72-49","Cows/Heifers",2,2,0,0,0,0,0,0,
"40-86-48-02","Cows/Heifers",23,24,0,0,0,0,1,0,
"47-85-49-06","Cows/Heifers",11,10,1,0,0,0,0,0,3000
"47-85-49-06","Goats - He/She/Kids",6,10,2,0,0,0,2,0,500
"68-03-09-51","Bulls/Oxen/Steers",3,2,0,0,0,0,0,1,
"68-03-09-51","Cows/Heifers",6,4,1,0,0,0,0,1,4000
"68-03-09-51","Chicken - Cocks/Broilers",2,1,0,1,0,0,0,0,
"68-03-09-51","Chicken - Hens/Layers",10,4,0,2,0,0,0,4,
"14-68-63-82","Cows/Heifers",9,6,0,0,0,0,0,3,
"80-91-19-12","Cows/Heifers",7,3,4,0,0,0,0,0,5000
"88-90-25-85","Bulls/Oxen/Steers",4,8,0,0,0,1,0,0,
"88-90-25-85","Cows/Heifers",6,6,0,0,0,0,0,0,
"88-90-25-85","Calves - Males/Females",4,6,0,0,0,0,0,0,
"04-83-20-68","Bulls/Oxen/Steers",3,3,0,0,0,0,0,0,
"04-83-20-68","Cows/Heifers",22,22,0,0,0,0,0,0,
"04-83-20-68","Calves - Males/Females",5,5,0,0,0,0,0,0,
"09-59-67-21","Cows/Heifers",27,19,1,0,0,0,3,0,5000
"35-03-03-59","Bulls/Oxen/Steers",4,4,0,0,0,0,0,0,
"35-03-03-59","Cows/Heifers",4,2,0,0,0,0,2,0,
"35-03-03-59","Calves - Males/Females",0,2,0,0,0,0,0,0,
"10-50-64-24","Cows/Heifers",10,11,0,0,0,0,0,0,
"13-56-95-25","Cows/Heifers",6,10,0,0,0,0,0,0,
"63-25-21-02","Bulls/Oxen/Steers",8,8,0,0,0,0,0,0,
"63-25-21-02","Cows/Heifers",20,17,1,0,0,0,0,1,6000
"63-25-21-02","Calves - Males/Females",7,7,0,0,0,0,0,0,
"18-39-69-08","Cows/Heifers",44,30,2,0,0,0,0,4,7000
"18-39-69-08","Chicken - Hens/Layers",40,50,0,10,0,0,4,6,
"97-46-11-48","Cows/Heifers",3,4,0,0,0,0,0,0,
"97-46-11-48","Calves - Males/Females",0,1,0,0,0,0,0,0,
"55-14-49-61","Bulls/Oxen/Steers",5,4,1,0,0,0,0,0,4500
"55-14-49-61","Cows/Heifers",2,2,0,0,0,0,0,0,
"32-96-01-37","Cows/Heifers",21,18,0,3,0,0,0,0,
"32-96-01-37","Goats - He/She/Kids",16,14,0,2,0,0,0,0,
"41-92-38-71","Bulls/Oxen/Steers",6,5,1,0,0,0,0,0,6000
"41-92-38-71","Cows/Heifers",12,12,0,0,0,0,0,0,
"41-92-38-71","Calves - Males/Females",5,8,0,0,0,0,0,0,
"41-92-38-71","Chicken - Cocks/Broilers",14,12,2,2,0,0,0,0,100
"43-40-50-14","Bulls/Oxen/Steers",4,3,0,0,0,0,0,0,
"43-40-50-14","Cows/Heifers",14,14,0,0,0,0,0,0,
"43-40-50-14","Chicken - Cocks/Broilers",83,15,20,15,1,2,30,0,100
"33-52-73-44","Bulls/Oxen/Steers",8,10,2,1,0,0,0,0,7000
"33-52-73-44","Cows/Heifers",40,10,1,0,0,0,0,0,4000
"33-52-73-44","Calves - Males/Females",14,12,2,0,0,0,0,0,2000
"33-52-73-44","Chicken - Cocks/Broilers",35,30,0,5,0,0,0,0,
"78-98-94-60","Bulls/Oxen/Steers",9,13,0,0,0,0,0,0,
"78-98-94-60","Cows/Heifers",40,50,0,0,0,0,3,0,
"45-72-98-81","Cows/Heifers",9,12,0,0,0,0,0,0,
"45-72-98-81","Chicken - Hens/Layers",5,3,0,2,0,0,0,0,
"98-20-22-18","Bulls/Oxen/Steers",15,17,0,0,0,0,0,0,
"98-20-22-18","Cows/Heifers",20,25,2,0,0,0,0,0,4500
"12-87-62-64","Cows/Heifers",5,3,0,0,0,0,2,0,
"35-93-85-84","Cows/Heifers",1,1,0,0,0,0,0,0,
