interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"77-20-39-35",7,7,"Urban market (town) in this region","","Yes","MILLET/MAIWA","No",,,,,,,,,,,
"71-78-53-70",,,,"",,"",,,,,,,,,,,,
"46-91-82-56",1,1,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"20-85-85-47",,,,"",,"",,,,,,,,,,,,
"34-53-75-33",,,,"",,"",,,,,,,,,,,,
"56-13-50-35",,,,"",,"",,,,,,,,,,,,
"58-38-99-88",,,,"",,"",,,,,,,,,,,,
"81-26-40-75",7,0,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"39-76-70-00",,,,"",,"",,,,,,,,,,,,
"84-11-99-46",,,,"",,"",,,,,,,,,,,,
"07-72-86-35",,,,"",,"",,,,,,,,,,,,
"76-67-31-58",,,,"",,"",,,,,,,,,,,,
"37-57-47-28",5,5,"Others ➡️ Specify","not yet sold","No","","No",,,,,,,,,,,
"01-40-66-32",,,,"",,"",,,,,,,,,,,,
"13-26-58-11",,,,"",,"",,,,,,,,,,,,
"53-48-83-71",,,,"",,"",,,,,,,,,,,,
"27-13-62-90",,,,"",,"",,,,,,,,,,,,
"85-22-01-46",,,,"",,"",,,,,,,,,,,,
"69-98-12-23",,,,"",,"",,,,,,,,,,,,
"13-16-89-71",,,,"",,"",,,,,,,,,,,,
"56-66-41-20",1,7,"Others ➡️ Specify","they do not sell","No","","No",,,,,,,,,,,
"81-47-86-65",,,,"",,"",,,,,,,,,,,,
"93-67-97-18",8,10,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"38-26-42-37",,,,"",,"",,,,,,,,,,,,
"05-99-34-61",,,,"",,"",,,,,,,,,,,,
"82-77-34-88",,,,"",,"",,,,,,,,,,,,
"58-42-23-81",,,,"",,"",,,,,,,,,,,,
"41-08-83-81",2,5,"Others ➡️ Specify","no selling","No","","No",,,,,,,,,,,
"37-72-45-16",5,5,"Others ➡️ Specify","no selling","No","","No",,,,,,,,,,,
"86-82-46-77",,,,"",,"",,,,,,,,,,,,
"35-59-75-62",,,,"",,"",,,,,,,,,,,,
"31-89-28-30",,,,"",,"",,,,,,,,,,,,
"61-82-08-02",,,,"",,"",,,,,,,,,,,,
"67-96-75-77",,,,"",,"",,,,,,,,,,,,
"19-03-14-53",,,,"",,"",,,,,,,,,,,,
"12-01-31-29",,,,"",,"",,,,,,,,,,,,
"16-72-17-16",7,7,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"38-21-18-12",,,,"",,"",,,,,,,,,,,,
"75-80-02-90",,,,"",,"",,,,,,,,,,,,
