interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"77-20-39-35",1,"No",,"No","No intention to migrate",,"",,,,,,
"77-20-39-35",2,"No",,"No","No intention to migrate",,"",,,,,,
"71-78-53-70",1,"No",,"Yes","Yes temporarily migrate","Town in region","",2019,2019,,,,
"46-91-82-56",1,"No",,"No","No intention to migrate",,"",,,,,,
"46-91-82-56",2,"No",,"No","No intention to migrate",,"",,,,,,
"46-91-82-56",3,"No",,"No","No intention to migrate",,"",,,,,,
"46-91-82-56",6,"No",,"No","No intention to migrate",,"",,,,,,
"20-85-85-47",2,"No",,"No","No intention to migrate",,"",,,,,,
"20-85-85-47",3,"No",,"No","Don’t know",,"",,,,,,
"34-53-75-33",1,"No",,"No","No intention to migrate",,"",,,,,,
"34-53-75-33",2,"No",,"No","No intention to migrate",,"",,,,,,
"34-53-75-33",3,"No",,"No","No intention to migrate",,"",,,,,,
"34-53-75-33",4,"No",,"No","No intention to migrate",,"",,,,,,
"56-13-50-35",1,"No",,"No","No intention to migrate",,"",,,,,,
"56-13-50-35",2,"Yes","No","No",,,"",2013,2023,,,,
"56-13-50-35",3,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"56-13-50-35",6,"No",,"No","No intention to migrate",,"",,,,,,
"58-38-99-88",1,"No",,"No","No intention to migrate",,"",,,,,,
"58-38-99-88",2,"No",,"No","Don’t know",,"",,,,,,
"58-38-99-88",3,"Yes","No","Yes",,,"",2016,2022,,,,
"81-26-40-75",1,"No",,"No","No intention to migrate",,"",,,,,,
"81-26-40-75",2,"No",,"No","No intention to migrate",,"",,,,,,
"39-76-70-00",1,"No",,"No","No intention to migrate",,"",,,,,,
"39-76-70-00",2,"No",,"No","No intention to migrate",,"",,,,,,
"39-76-70-00",3,"No",,"No","No intention to migrate",,"",,,,,,
"39-76-70-00",4,"No",,"No","No intention to migrate",,"",,,,,,
"39-76-70-00",5,"No",,"No","No intention to migrate",,"",,,,,,
"84-11-99-46",1,"No",,"No","Yes permanently migrate","Village in region","",,,,,,
"84-11-99-46",2,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"84-11-99-46",3,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"84-11-99-46",4,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"84-11-99-46",6,"No",,"No","No intention to migrate",,"",,,,,,
"84-11-99-46",8,"No",,"No","No intention to migrate",,"",,,,,,
"84-11-99-46",10,"Yes","No","No",,,"",2021,2022,,,,
"07-72-86-35",1,"No",,"No","No intention to migrate",,"",,,,,,
"07-72-86-35",2,"No",,"No","No intention to migrate",,"",,,,,,
"76-67-31-58",1,"No",,"No","No intention to migrate",,"",,,,,,
"76-67-31-58",2,"Yes","No","Yes",,,"",2015,2021,,,,
"76-67-31-58",3,"No",,"No","No intention to migrate",,"",,,,,,
"76-67-31-58",4,"No",,"No","No intention to migrate",,"",,,,,,
"37-57-47-28",1,"No",,"No","No intention to migrate",,"",,,,,,
"37-57-47-28",2,"No",,"No","No intention to migrate",,"",,,,,,
"37-57-47-28",3,"No",,"No","No intention to migrate",,"",,,,,,
"37-57-47-28",4,"No",,"No","No intention to migrate",,"",,,,,,
"01-40-66-32",1,"No",,"No","No intention to migrate",,"",,,,,,
"01-40-66-32",2,"No",,"No","No intention to migrate",,"",,,,,,
"13-26-58-11",1,"No",,"No","No intention to migrate",,"",,,,,,
"53-48-83-71",1,"No",,"No","Don’t know",,"",,,,,,
"53-48-83-71",2,"No",,"No","Don’t know",,"",,,,,,
"53-48-83-71",3,"No",,"No","Don’t know",,"",,,,,,
"53-48-83-71",4,"No",,"No","Don’t know",,"",,,,,,
"27-13-62-90",1,"No",,"No","No intention to migrate",,"",,,,,,
"27-13-62-90",2,"No",,"No","No intention to migrate",,"",,,,,,
"85-22-01-46",1,"No",,"No","Don’t know",,"",,,,,,
"85-22-01-46",2,"No",,"No","Don’t know",,"",,,,,,
"69-98-12-23",1,"No",,"No","No intention to migrate",,"",,,,,,
"69-98-12-23",2,"No",,"No","No intention to migrate",,"",,,,,,
"13-16-89-71",1,"No",,"No","No intention to migrate",,"",,,,,,
"13-16-89-71",2,"No",,"No","Don’t know",,"",,,,,,
"56-66-41-20",1,"No",,"No","No intention to migrate",,"",,,,,,
"56-66-41-20",2,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"81-47-86-65",1,"No",,"Yes","Yes temporarily migrate","Village in region","",2021,2021,,,,
"81-47-86-65",2,"No",,"No","No intention to migrate",,"",,,,,,
"81-47-86-65",3,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"81-47-86-65",4,"Yes","No","No",,,"",2021,2021,,,,
"93-67-97-18",1,"Yes","No","No",,,"",2022,2022,,,,
"38-26-42-37",1,"No",,"No","No intention to migrate",,"",,,,,,
"38-26-42-37",2,"No",,"No","No intention to migrate",,"",,,,,,
"05-99-34-61",1,"No",,"No","Yes permanently migrate","Village in region","",,,,,,
