interview__key,r_members__id,lbr3_1,lbr3_1_oth,emp_form,bus_yr,bus_dry,bus_rain,bus_days_wk,bus_hrs,bus_sales,bus_main_use__1,bus_main_use__2,bus_main_use__3,bus_main_use__4,bus_main_use__5,bus_main_use__6,bus_main_use__7,bus_main_use__96,bus_main_use__n888,bus_main_use_others,bus_input,bus_labor,bus_capital,bus_reg,bus_loc,bus_employe,tourism_motivate__1,tourism_motivate__2,tourism_motivate__3,tourism_motivate__4,tourism_motivate__5,tourism_motivate__6,tourism_motivate__7,tourism_motivate__8,tourism_motivate__96,tourism_motivate_oth,years_exp_agri,business_obstacle__1,business_obstacle__2,business_obstacle__3,business_obstacle__4,business_obstacle__5,business_obstacle__6,business_obstacle__7,business_obstacle__8,business_obstacle__9,business_obstacle__10,business_obstacle__11,business_obstacle__96,business_obstacle__n888,business_obstacle__n999,business_obs_oth,business_financing__1,business_financing__2,business_financing__3,business_financing__4,business_financing__5,business_financing__6,business_financing__7,business_financing__8,business_financing__9,business_financing__10,business_financing__11,business_financing__12,business_financing__96,business_financing__n888,business_financing__n999,business_financing_oth,business_finance__1,business_finance__2,business_finance__3,business_finance__4,business_finance__5,business_finance__6,business_finance__7,business_finance__8,business_finance__96,business_finance__n888,business_finance__n999,business_finance_oth,business_legal__1,business_legal__2,business_legal__3,business_legal__4,business_legal__5,business_legal__96,business_legal__n888,business_legal__n999,business_legal_oth,support_local_gov,support_local_kind__1,support_local_kind__2,support_local_kind__3,support_local_kind__4,support_local_kind__5,support_local_kind__6,support_local_kind__7,support_local_kind__8,support_local_kind__96,support_local_kind__n888,support_local_kind__n999,support_local_gov_oth,lbr3_2,lbr3_3,lbr3_4,lbr3_5,lbr3_5_1__1,lbr3_5_1__2,lbr3_5_1__3,lbr3_5_1__4,lbr3_5_1__5,lbr3_5_1__6,lbr3_5_1__7,lbr3_5_1__96,lbr3_5_1__n888,lbr3_5_1__n999,lbr3_5_1_oth,lbr3_6,lbr3_7,lbr3_8,lbr3_9,lbr3_9_1__1,lbr3_9_1__2,lbr3_9_1__3,lbr3_9_1__4,lbr3_9_1__5,lbr3_9_1__6,lbr3_9_1__7,lbr3_9_1__96,lbr3_9_1__n888,lbr3_9_1__n999,lbr3_9_1_oth,lbr3_10,lbr3_11,lbr3_12,lbr3_13,Ibr3_14__1,Ibr3_14__2,Ibr3_14__3,Ibr3_15,Ibr3_16,Ibr3_17,Ibr3_18,Ibr3_19,leave,sick_leave,lbr10,lbr10_1,job_search,job_search_oth,lbr09,emp_years,lbr11
"81-26-40-75",1,"Retail trade","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Zambezi build it","Town or city within this district/region","Permanent",2800,0,1,0,0,2,0,0,3,0,0,"water bills",6,8,,,,,,,,,,,,,"",,,,,"No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Fixed term permanent contract","","Online postings","","Yes",9,"Satisfied"
"07-72-86-35",1,"Other public sector","Tailing","Self-employed/own business",84,3,8,7,10,3000,0,3,1,0,2,0,0,0,0,"",0,1000,0,"No","Village in region",2,"No","No","Yes","No","No","No","No","Yes","No",,"7","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","too many people doing the same business",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","No","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",7,"Satisfied"
"07-72-86-35",2,"Retail trade","","Self-employed/own business",60,3,9,7,18,6000,1,2,0,0,0,0,0,0,0,"",1300,0,0,"No","Village in region",0,"No","No","Yes","Yes","No","No","No","No","No",,"5","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","Yes","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","Yes",5,"Neither"
"37-57-47-28",1,"Transport","","Self-employed/own business",156,4,6,6,9,900,2,1,3,0,0,0,0,0,0,"",300,0,0,"No","Village in region",0,"No","Yes","No","Yes","No","No","No","No","No",,"13","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","","No",,"Yes","No","No","No","No","No","No",,"No","No","No","No","No",,"No","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","No","Yes","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",13,"Very satisfied"
"01-40-66-32",1,"Others, specify","Fisherman/Artman","Self-employed/own business",60,5,1,7,6,800,0,1,0,0,0,0,0,0,0,"",0,0,0,"No","Village in region",0,"No","No","No","Yes","No","No","No","No","No",,"5","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Transportation",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","No","No","Yes","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",5,"Very dissatisfied"
"13-16-89-71",1,"Security services","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","katima security","Town or city within this district/region","Seasonal",,,,,,,,,,,,"",,,"Per month",2400,0,1,0,0,2,0,0,0,0,0,"",6,6,7,12,"No","No","Yes","No","No","Yes","No","No","Yes","Yes","Fixed term permanent contract","","Private employment/recruitment agency","","No",1,"Satisfied"
"81-47-86-65",1,"Others, specify","Building Houses","Self-employed/own business",5,0,2,3,7,0,,,,,,,,,,"",0,0,0,"No","Village in region",0,"No","No","No","Yes","No","No","No","No","No",,"3","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","",,"No",,"No","No","No","No","No","No","No","Yes","No","No","No","No",,"No","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","No","No","Yes","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",3,"Neither"
"41-08-83-81",1,"Others, specify","Traditional Practitioner","Self-employed/own business",120,4,3,1,1,2000,0,1,3,2,0,0,0,0,0,"",0,0,0,"Yes","Town outside region",2,"No","No","No","No","No","No","No","Yes","No",,"10","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Competition",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"Yes","No","No","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","Yes",1,"Very satisfied"
"41-08-83-81",5,"Others, specify","Police Officer","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Namibian Police Force","In other rural area within or outside this district","Permanent",2000,0,1,0,2,3,4,0,0,0,0,"",5,9,,,,,,,,,,,,,"",,,,,"Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","Long term permanent contract","","Public employment/recruitment agency","","Yes",8,"Very satisfied"
"37-72-45-16",1,"Retail trade","","Self-employed/own business",5,0,0,,,2400,1,2,0,0,0,0,0,0,0,"",1600,0,0,"No","Village in region",0,"No","Yes","Yes","No","No","No","No","No","No",,"1","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","No","No","No","Yes","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",.5,"Very dissatisfied"
"37-72-45-16",4,"Food industry","","Self-employed/own business",32,3,3,7,9,400,1,2,0,0,0,0,0,0,0,"",200,0,0,"No","Village in region",0,"No","No","No","Yes","No","No","No","No","No",,"I don't know","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","No","No","No","Yes","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",3,"dissatisfied"
"86-82-46-77",2,"Others, specify","Selling Meat In The Community","Self-employed/own business",10,6,6,4,13,1200,0,1,0,0,2,0,0,0,0,"",450,0,0,"No","Village in region",0,"No","No","No","Yes","No","No","No","No","Yes",,"10","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","No","Yes","No",,"No","No","Yes","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",10,"Satisfied"
"35-59-75-62",1,"Others, specify","Traditional Healer","Self-employed/own business",444,6,6,4,10,12000,0,1,2,0,0,0,0,0,0,"",0,0,0,"Yes","Village in region",0,"No","No","No","Yes","No","No","No","No","No",,"37","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","No","Yes","No",,"No","Yes","No","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",37,"Very satisfied"
