interview__key,r_members__id,lbr13,Ibr13_1,Ibr13_2,Ibr13_3,Ibr13_4,Ibr13_5,Ibr13_6,Ibr13_8,Ibr13_9,years_exp_crp,Ibr13_10,Ibr13_11,Ibr13_12,Ibr13_13,years_exp_liv,onfarm_main_use__1,onfarm_main_use__2,onfarm_main_use__3,onfarm_main_use__4,onfarm_main_use__5,onfarm_main_use__6,onfarm_main_use__7,onfarm_main_use__96,onfarm_main_use_oth
"46-91-82-56",1,"Yes",6,3,7,6,3,3,7,6,50,0,0,,,30,0,2,1,0,3,0,0,0,""
"46-91-82-56",3,"Yes",6,3,2,3,6,3,2,6,3,0,0,,,0,0,1,0,0,0,0,0,0,""
"34-53-75-33",1,"Yes",0,0,,,0,0,,,0,0,0,,,0,0,1,2,0,3,0,0,0,""
"81-26-40-75",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"07-72-86-35",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"07-72-86-35",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"37-57-47-28",1,"Yes",2,2,2,9,2,2,2,9,2,3,4,2,4,12,0,1,2,0,0,0,0,0,""
"37-57-47-28",2,"Yes",3,2,2,9,3,2,2,9,2,4,3,2,3,12,0,1,2,0,3,0,0,0,""
"01-40-66-32",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"13-16-89-71",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"81-47-86-65",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"93-67-97-18",1,"Yes",3,3,1,4,3,0,0,,15,0,0,,,0,0,1,2,3,4,5,0,0,""
"41-08-83-81",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"41-08-83-81",5,"No",,,,,,,,,,,,,,,,,,,,,,,""
"37-72-45-16",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"37-72-45-16",4,"No",,,,,,,,,,,,,,,,,,,,,,,""
"86-82-46-77",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"35-59-75-62",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"35-59-75-62",4,"No",,,,,,,,,,,,,,,,,,,,,,,""
"31-89-28-30",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"61-82-08-02",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
