interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"77-20-39-35","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"71-78-53-70","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"46-91-82-56","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"20-85-85-47","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"34-53-75-33","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"56-13-50-35","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"58-38-99-88","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"81-26-40-75","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"39-76-70-00","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"84-11-99-46","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"07-72-86-35","No","Yes","Yes","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"76-67-31-58","No","No","Yes","No","Yes",5000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"37-57-47-28","No","No","No","No","Yes",3000,"Yes","No","No","No","No","No","No","Yes","No","No",,"No","No",,,,,,,,,,,,
"01-40-66-32","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"13-26-58-11","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"53-48-83-71","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"27-13-62-90","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"85-22-01-46","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"69-98-12-23","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"13-16-89-71","No","No","Yes","No","Yes",1000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"56-66-41-20","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"81-47-86-65","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"93-67-97-18","No","Yes","Yes","No","Yes",800,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"38-26-42-37","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"05-99-34-61","No","No","Yes","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"82-77-34-88","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"58-42-23-81","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"41-08-83-81","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"37-72-45-16","Yes","No","No","No","Yes",1000,"Yes","No","No","Yes","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"86-82-46-77","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"35-59-75-62","No","No","No","No","Yes",12000,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"31-89-28-30","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"61-82-08-02","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"67-96-75-77","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"19-03-14-53","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"12-01-31-29","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"16-72-17-16","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"38-21-18-12","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"75-80-02-90","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"43-41-21-85","Yes","No","Yes","No","Yes",700,"No","No","No","No","No","No","No","Yes","No","No",,"No","No",,,,,,,,,,,,
"66-22-88-29","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"42-66-53-78","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"19-23-31-06","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"62-33-60-14","Yes","Yes","Yes","No","Yes",1700,"No","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"89-36-04-43","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"87-86-68-37","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"12-94-76-31","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"25-74-03-84","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"98-23-98-25","No","Yes","No","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"01-01-07-49","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"05-21-83-90","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"77-16-48-10","Yes","No","Yes","No","No",,,,,,,,,,,,,"No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"75-23-18-05","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"83-84-60-99","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"56-18-51-85","No","No","Yes","No","No",,,,,,,,,,,,,"No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"26-38-66-11","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"46-68-27-34","Yes","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"78-16-14-09","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"01-32-09-43","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"11-29-18-58","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"53-42-47-52","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"01-17-72-49","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"40-86-48-02","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"67-11-34-32","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"47-85-49-06","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"68-03-09-51","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
