interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,who_other_income__2,who_other_income__3,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"20-85-85-47","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",500,"Monthly",2,.a,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"34-53-75-33","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",750,"12",3,4,.a,.a,"Education subsidy","","National government","","Cash","",0,2,1,3,0,0,0,0,""
"56-13-50-35","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1300,"30",1,.a,.a,.a,"Pension","","National government","","Cash","",0,1,3,2,0,0,0,0,""
"58-38-99-88","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1300,"1300",1,.a,.a,.a,"Pension","","National government","","Cash","",0,1,0,0,2,0,0,0,""
"85-22-01-46","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",250,"Monthly",1,.a,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"69-98-12-23","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",250,"Monthly",2,.a,.a,.a,"Education subsidy","","National government","","Cash","",0,1,2,3,0,0,0,0,""
"13-16-89-71","Savings, interest or other investment income",1000,"1000",1,.a,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"81-47-86-65","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",500,"12",2,3,.a,.a,"Education subsidy","","National government","","Cash","",0,2,1,0,0,0,0,0,""
"93-67-97-18","Other➡️specify:",2000,"100",1,.a,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"05-99-34-61","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2500,"2500",1,2,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"05-99-34-61","Other➡️specify:",1300,"13000",1,.a,.a,.a,,"",,"",,"",0,1,0,0,0,2,0,3,"Water and Electricity"
"37-72-45-16","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",3000,"Every 6 months",1,.a,.a,.a,,"",,"",,"",0,1,0,2,3,0,0,0,""
"38-21-18-12","Rental income, commercial (shop, store)",2200,"30",1,.a,.a,.a,,"",,"",,"",0,1,2,0,3,0,0,0,""
"43-41-21-85","Other➡️specify:",250,"250",1,.a,.a,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"62-33-60-14","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500,"500",2,.a,.a,.a,,"",,"",,"",0,0,0,1,0,0,0,0,""
"89-36-04-43","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1500,"12",2,.a,.a,.a,,"",,"",,"",0,1,2,0,3,0,0,0,""
"87-86-68-37","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",12000,"Monthly",1,.a,.a,.a,"Pension","","National government","","Cash","",0,1,2,3,4,5,0,0,""
"87-86-68-37","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1300,"Monthly",3,.a,.a,.a,"Healthcare benefits","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"12-94-76-31","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500,"Monthly",2,.a,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"98-23-98-25","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",750,"Monthly",3,4,5,.a,"Education subsidy","","National government","","Cash","",0,0,1,0,0,0,0,0,""
"01-01-07-49","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",500,"Monthly",1,.a,.a,.a,"Poverty reduction program","","National government","","Cash","",0,0,1,0,0,0,0,0,""
"05-21-83-90","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2000,,.a,.a,.a,.a,,"",,"",,"",.a,.a,.a,.a,.a,.a,.a,.a,""
"05-21-83-90","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",.a,,.a,.a,.a,.a,,"",,"",,"",,,,,,,,,""
"77-16-48-10","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1300,"Monthly",1,.a,.a,.a,"Older persons cash transfer","","National government","","Cash","",0,1,2,3,0,0,0,0,""
"75-23-18-05","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1300,"Monthly",1,.a,.a,.a,"Older persons cash transfer","","NGO","","Cash","",0,1,2,0,0,0,0,0,""
