interview__key,r_purpose_tr__id,road_4__1,road_4__2,road_4__3,road_4__4,road_4__5,road_4__6,road_4__7,road_4__8,road_4__96,road_5
"77-20-39-35","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"77-20-39-35","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"71-78-53-70","Go to the market","Yes","No","No","No","No","No","No","No","No","A few times a year"
"71-78-53-70","Access medical treatment","No","No","Yes","No","No","No","No","No","No","Once or twice a month"
"71-78-53-70","Visit recreational places","No","No","Yes","No","No","No","No","No","No","Once a week or more often"
"46-91-82-56","Go to the market","Yes","No","No","No","No","No","No","No","No","Varies/don’t know"
"46-91-82-56","Go to school","No","No","Yes","No","No","No","No","No","No","Almost every week"
"46-91-82-56","Access medical treatment","No","No","Yes","No","No","No","No","No","No","Varies/don’t know"
"46-91-82-56","Got to workplace","No","No","Yes","No","No","No","No","No","No","Less often"
"20-85-85-47","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"34-53-75-33","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"34-53-75-33","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"34-53-75-33","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"34-53-75-33","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"56-13-50-35","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"56-13-50-35","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"56-13-50-35","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Varies/don’t know"
"58-38-99-88","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"58-38-99-88","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"58-38-99-88","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"58-38-99-88","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Almost every week"
"58-38-99-88","Go to the field","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"81-26-40-75","Got to workplace","Yes","No","Yes","No","No","No","No","No","No","Almost every week"
"39-76-70-00","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"39-76-70-00","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"39-76-70-00","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"39-76-70-00","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"84-11-99-46","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"84-11-99-46","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"84-11-99-46","Got to workplace","Yes","No","No","No","No","No","No","No","No","Almost every week"
"84-11-99-46","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Almost every week"
"07-72-86-35","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"07-72-86-35","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"07-72-86-35","Got to workplace","Yes","No","No","No","No","No","No","Yes","No","Once a week or more often"
"76-67-31-58","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"76-67-31-58","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"76-67-31-58","Got to workplace","Yes","No","No","No","No","No","No","No","No","Almost every week"
"76-67-31-58","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Almost every week"
"37-57-47-28","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"37-57-47-28","Got to workplace","No","No","Yes","No","No","No","No","No","No","Once a week or more often"
"37-57-47-28","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
