interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"77-20-39-35","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"71-78-53-70","Murram/ gravel road","Well passable","Yes","No","Yes","No","No","Yes","No","No",,6,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"46-91-82-56","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","No","No","No","No",,1,"Yes","No",,"No",,,,,,"No","No","No","No","No","No","Yes","No",,,"No","No","No","No","Yes","No",
"20-85-85-47","Murram/ gravel road","Well passable","No","Yes","No","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"34-53-75-33","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"56-13-50-35","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,1,"Yes","No",,"No",,,,,,"Yes","Yes","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No",
"58-38-99-88","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","Yes","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"81-26-40-75","Murram/ gravel road","Well passable","No","No","No","Yes","No","No","No","No",,2,"Yes","No",,"No",,,,,,"No","No","Yes","No","No","No","No","No",,"Yes","No","No","No","No","No","Yes",
"39-76-70-00","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","Yes","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"84-11-99-46","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","Yes","Yes","No","No","No",,30,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"07-72-86-35","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","No","Yes","No","No","No","No",,1,"Yes","No",,"No",,,,,,"No","Yes","Yes","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No",
"76-67-31-58","Murram/ gravel road","Well passable","Yes","Yes","No","Yes","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"37-57-47-28","Murram/ gravel road","Very well passable, in both rainy and dry season","No","Yes","No","Yes","Yes","No","No","No",,2,"Yes","No",,"No",,,,,,"No","Yes","No","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"01-40-66-32","Murram/ gravel road","Well passable","No","No","Yes","No","No","No","No","Yes",,10,"Yes","Yes","Yes","Yes","Yes","No","No","No",,"No","Yes","Yes","No","No","No","No","No",,"No","Yes","No","No","No","No","No",
"13-26-58-11","Tarmac road","Well passable","Yes","No","No","No","No","No","No","No",,1,"Yes","No",,"No",,,,,,"No","No","Yes","No","No","No","No","No",,"No","Yes","No","No","No","No","No",
"53-48-83-71","Dirt road/ bush road","Well passable","Yes","Yes","Yes","Yes","Yes","Yes","No","No",,4,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"27-13-62-90","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","Yes","Yes","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"85-22-01-46","Dirt road/ bush road","Well passable","Yes","Yes","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"69-98-12-23","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"13-16-89-71","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","No","Yes","Yes","No","No","No",,15,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"56-66-41-20","Murram/ gravel road","Well passable","Yes","No","No","No","Yes","No","No","No",,6,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"81-47-86-65","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"93-67-97-18","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","Yes","Yes","No","No",,7,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"38-26-42-37","Murram/ gravel road","Well passable","No","No","Yes","No","No","Yes","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
