interview__key,r_shocks__id,r_shocks,sh_1,sh_2,sh_3__1,sh_3__2,sh_3__3,sh_3__4,sh_3__5,sh_3__6,sh_3__7,sh_3__8,sh_3__9,sh_3__10,sh_3__11,sh_3__12,sh_3__13,sh_3__14,sh_3__96,sh_3_oth,sh_4,sh_5,sh_6,sh_7
"77-20-39-35",1,"Chronicor Severe Illnessor Accident of a Household Member",2,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Very  likely","Very  likely",0
"77-20-39-35",9,"Crop Failure",1,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Very  likely","Very  likely",0
"77-20-39-35",12,"Household Business Failure(Non-Agricultural)",1,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"77-20-39-35",15,"Large Rise in Prices of Food",1,"Very severe",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Very  likely",0
"46-91-82-56",2,"Death of a Household Member",2,"Very severe",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Very  likely","Not at all likely","Not at all likely",0
"46-91-82-56",18,"End of Regular Assistance(E.g.Pension,CashTransfer,Remittances)from Outside the Household",1,"Very severe",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"20-85-85-47",5,"Robbery/Burglary",6,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not at all likely","Not at all likely","Very  likely",0
"20-85-85-47",12,"Household Business Failure(Non-Agricultural)",3,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Very  likely",0
"20-85-85-47",13,"Loss of Employment",1,"Very severe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"peace work like washing people s clothes and sweeping People s yard.","Not at all likely","Not at all likely","Very  likely",0
"20-85-85-47",15,"Large Rise in Prices of Food",50,"Very severe",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,"","Not at all likely","Not at all likely","Extremely likely",0
"34-53-75-33",1,"Chronicor Severe Illnessor Accident of a Household Member",2,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Extremely likely","Not very likely","Extremely likely",0
"34-53-75-33",5,"Robbery/Burglary",1,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Extremely likely","Not very likely","Very  likely",0
"34-53-75-33",7,"Drought or Extended Period of No Rain",2,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Very  likely","Not very likely",0
"34-53-75-33",15,"Large Rise in Prices of Food",12,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not at all likely","Not at all likely","Not very likely",0
"56-13-50-35",1,"Chronicor Severe Illnessor Accident of a Household Member",2,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Not very likely",1
"56-13-50-35",3,"Household Member Jailed",1,"Very severe",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"","Not very likely","Very  likely","Not very likely",0
"58-38-99-88",13,"Loss of Employment",1,"Mild",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Very  likely","Not very likely",0
"58-38-99-88",15,"Large Rise in Prices of Food",3,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Not very likely",0
"81-26-40-75",6,"Dwelling Damaged",1,"Mild",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Salary","Extremely likely","Not very likely","Very  likely",0
"81-26-40-75",15,"Large Rise in Prices of Food",3,"Very severe",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"","Not at all likely","Not at all likely","Extremely likely",0
"84-11-99-46",1,"Chronicor Severe Illnessor Accident of a Household Member",1,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Very  likely","Very  likely","Very  likely",0
"84-11-99-46",2,"Death of a Household Member",1,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"84-11-99-46",5,"Robbery/Burglary",1,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Very  likely","Very  likely","Very  likely",0
"84-11-99-46",7,"Drought or Extended Period of No Rain",1,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"84-11-99-46",15,"Large Rise in Prices of Food",1,"Severe",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"07-72-86-35",3,"Household Member Jailed",2,"Mild",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Not very likely","Very  likely","Very  likely",0
"07-72-86-35",11,"Livestock Theft(IncludingRaids)",3,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not at all likely","Not very likely",0
"07-72-86-35",15,"Large Rise in Prices of Food",12,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not at all likely","Not at all likely","Not at all likely",0
"76-67-31-58",1,"Chronicor Severe Illnessor Accident of a Household Member",10,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Very  likely","Very  likely","Very  likely",0
