interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"77-20-39-35","Agree","Agree","Indifferent (neither nor)","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","distrust","distrust","distrust","distrust","distrust","Not at all worried","Worried","Worried","Very worried","Worried","Worried","Worried","Not at all worried","Very worried","Worried"
"71-78-53-70","Strongly agree","Strongly agree","Indifferent (neither nor)","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","distrust","indifferent","distrust","distrust","strongly distrust","Worried","Worried","Worried","Worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Worried","Not at all worried"
"46-91-82-56","Strongly agree","Strongly agree","Agree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Disagree","Agree","Agree","Strongly agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","trust","strongly trust","trust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Not at all worried","Extremely worried","Worried"
"20-85-85-47","Strongly disagree","Strongly disagree","Strongly disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Indifferent (neither nor)","Strongly disagree","distrust","strongly trust","distrust","trust","strongly distrust","Extremely worried","Not at all worried","Very worried","Extremely worried","Very worried","Slightly worried","Worried","Very worried","Worried","Worried"
"34-53-75-33","Agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly agree","Strongly agree","Disagree","Strongly disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","trust","trust","trust","trust","distrust","Worried","Extremely worried","Very worried","Very worried","Very worried","Very worried","Very worried","Worried","Very worried","Worried"
"56-13-50-35","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Strongly agree","Strongly agree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","strongly trust","trust","trust","strongly trust","trust","Extremely worried","Very worried","Extremely worried","Very worried","Very worried","Not at all worried","Very worried","Worried","Very worried","Not at all worried"
"58-38-99-88","Strongly agree","Agree","Agree","Strongly agree","Indifferent (neither nor)","Agree","Agree","Indifferent (neither nor)","Strongly agree","Disagree","Strongly agree","Agree","Agree","Agree","Indifferent (neither nor)","Disagree","trust","indifferent","trust","indifferent","trust","Very worried","Extremely worried","Very worried","Slightly worried","Slightly worried","Worried","Slightly worried","Worried","Slightly worried","Slightly worried"
"81-26-40-75","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Strongly agree","Disagree","Disagree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","trust","trust","indifferent","trust","indifferent","Worried","Very worried","Worried","Extremely worried","Worried","Worried","Worried","Slightly worried","Worried","Very worried"
"39-76-70-00","Agree","Strongly agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Worried","Worried","Very worried","Very worried","Worried","Worried","Worried","Worried","Worried","Worried"
"84-11-99-46","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Disagree","trust","trust","trust","trust","trust","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Slightly worried","Worried","Worried"
