interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"77-20-39-35",6.513499999999998,8.52,1.62,11.03,4.647519083969466,3.155511363636363,6.359096153846154,3.138138195777351,37.65899999999996,5.91683908045977,.78,31.35,1.506819923371647,6.283499999999997,5.17,133.6499238010607,"00.03:32:11",212.1833333333333,"2023-05-15","07:34:56"
"71-78-53-70",4.21,14.54561538461538,2.134499999999999,8.907999999999999,4.647519083969466,5.22,6.58,3.138138195777351,23.11,7.41,.63,9.59,2.14,3.9,2.58,98.7437726643622,"00.01:35:28",95.46666666666667,"2023-05-15","10:19:46"
"46-91-82-56",3.01767754318618,25.65199999999999,1.89,8.907999999999999,4.647519083969466,.75,6.359096153846154,3.138138195777351,32.43,8.854499999999998,.89,10.8,1.506819923371647,5.74,6.594999999999994,121.1787509001508,"00.03:18:59",198.9833333333333,"2023-05-15","07:21:55"
"20-85-85-47",4.25,14.54561538461538,1.72,6.65,4.647519083969466,3.155511363636363,6.359096153846154,3.138138195777351,24.0425,5.91683908045977,1.004721689059501,40.86349999999995,1.506819923371647,3.82007662835249,2.11,123.7303375030881,"00.05:40:15",340.25,"2023-05-15","11:01:28"
"34-53-75-33",3.01767754318618,15.51,2.134499999999999,4.7,5.31,.45,6.359096153846154,3.138138195777351,28.02,8.050000000000001,1.004721689059501,15.22,1.506819923371647,5.92,6.09,106.4309535052408,"00.02:55:33",175.55,"2023-05-15","07:53:07"
"56-13-50-35",6.5,24.36,1.122230769230769,16.38349999999997,1.1,1.29,6.359096153846154,3.138138195777351,24.0425,5.91683908045977,1.004721689059501,16.70479768786127,1.506819923371647,5.71,2.23,117.3686434996064,"00.05:46:59",346.9833333333333,"2023-05-15","07:00:07"
"58-38-99-88",4.18,14.54561538461538,1.01,5.97,4.647519083969466,.39,7.83,3.138138195777351,24.0425,5.91683908045977,1.004721689059501,29.4,1.506819923371647,3.82007662835249,2.26,109.6622299856056,"00.02:50:48",170.8,"2023-05-15","07:20:45"
"81-26-40-75",4.4,14.94,1.122230769230769,5.92,9.91,.29,6.359096153846154,3.138138195777351,24.0425,8.854499999999998,1.22,11.79,1.506819923371647,6.283499999999997,2.2,101.9767850422259,"00.03:57:59",237.9833333333333,"2023-05-15","07:24:35"
"39-76-70-00",4.59,17.45,1.03,10.77,.55,.08,6.359096153846154,1.55,37.65899999999996,8.18,.89,20.34,1.506819923371647,6.283499999999997,3.806928982725528,121.0453450599433,"00.02:50:53",170.8833333333333,"2023-05-15","07:07:15"
"84-11-99-46",3.47,14.54561538461538,1.122230769230769,6.94,.7,.31,6.359096153846154,3.138138195777351,27.25,8.854499999999998,.62,26.5,1.506819923371647,4.36,6.27,111.9464004268413,"00.03:19:17",199.2833333333333,"2023-05-15","10:25:10"
"07-72-86-35",3.01767754318618,14.54561538461538,.82,6.77,4.647519083969466,5.87,6.359096153846154,3.138138195777351,24.0425,7.5,1.86,19.85,2.24,6.12,4.05,110.8305463613945,"00.03:35:34",215.5666666666667,"2023-05-15","08:11:01"
"76-67-31-58",4.74,14.54561538461538,1.122230769230769,7.65,4.647519083969466,3.38,6.359096153846154,3.138138195777351,36.28,8.854499999999998,.83,15.58,1.506819923371647,6.283499999999997,6.55,121.4674195108108,"00.03:16:05",196.0833333333333,"2023-05-15","07:36:23"
"37-57-47-28",6.513499999999998,14.54561538461538,1.04,16.38349999999997,7.39,3.155511363636363,9.901499999999995,4.85,30.99,6.91,.36,14.92,1.89,3.82007662835249,2.2,124.8697033766042,"00.03:43:50",223.8333333333333,"2023-05-15","11:40:46"
"01-40-66-32",2.84,20.67,.93,5.8,2.87,9.470000000000001,8.65,3.138138195777351,24.0425,5.91683908045977,1.004721689059501,16.70479768786127,1.506819923371647,3.82007662835249,2.091,109.454893204882,"00.04:53:21",293.35,"2023-05-16","10:48:03"
"13-26-58-11",6.513499999999998,14.54561538461538,1.68,7.45,1.17,.29,9.901499999999995,3.138138195777351,37.65899999999996,8.854499999999998,.63,11.14,1.506819923371647,6.283499999999997,4.77,115.5325735037643,"00.02:02:49",122.8166666666667,"2023-05-16","07:31:36"
"53-48-83-71",4.35,13.79,1.122230769230769,8.907999999999999,1.14,.27,6.359096153846154,2.69,24.0425,8.854499999999998,1.004721689059501,33.11,1.506819923371647,6.283499999999997,3.806928982725528,117.2382975182336,"00.02:19:37",139.6166666666667,"2023-05-16","11:02:42"
"27-13-62-90",5.91,6.82,1.55,6.39,.88,.1,5.23,3.138138195777351,30.71,4.66,.4,12.33,2.13,4.21,2.38,86.83813819577735,"00.01:44:20",104.3333333333333,"2023-05-15","13:51:39"
"85-22-01-46",3.01767754318618,7.87,.75,8.907999999999999,1.23,3.95,9.699999999999999,2.4,24.0425,8.49,1.004721689059501,16.70479768786127,1.506819923371647,3.82007662835249,3.806928982725528,97.20152245455662,"00.03:35:09",215.15,"2023-05-16","07:08:25"
"69-98-12-23",3.05,10.2,.68,5.45,.5,8.66,8.08,5.416999999999996,37.65899999999996,8.119999999999999,1.004721689059501,24.77,2.15,4.24,3.53,123.5107216890595,"00.02:18:23",138.3833333333333,"2023-05-16","11:47:55"
"13-16-89-71",1.44,15.24,1.3,7.12,1.62,9.7545,7.81,2.72,24.04,7.48,1.7,34.78,1.506819923371647,3.36,2.49,122.3613199233717,"00.01:50:35",110.5833333333333,"2023-05-16","10:35:10"
"56-66-41-20",3.01767754318618,6.791,1.13,4.98,4.647519083969466,.21,5.97,3.138138195777351,37.65899999999996,5.91683908045977,1.22,16.70479768786127,.85,2.4,2.091,96.72597159125401,"00.02:46:06",166.1,"2023-05-16","07:56:54"
"81-47-86-65",4.45,19.64,1.122230769230769,4.97,1.54,.59,6.359096153846154,4.4,21.18,5.17,1.73,11.19,1.11,3.36,4.65,91.46132692307692,"00.01:41:06",101.1,"2023-05-16","07:52:47"
"93-67-97-18",1.65,8.859999999999999,.86,8.369999999999999,10.08,.1,4.91,5.416999999999996,26.06,5.42,1.54,13.03,1.506819923371647,3.82007662835249,6.594999999999994,98.21889655172413,"00.01:58:27",118.45,"2023-05-16","08:19:49"
"38-26-42-37",6.513499999999998,10.87,.7,4.59,.45,.21,7.58,5.416999999999996,37.65899999999996,5.91683908045977,1.004721689059501,24.58,1.91,2.7,2.18,112.2810607695192,"00.02:22:55",142.9166666666667,"2023-05-16","12:28:22"
"05-99-34-61",3.01767754318618,19.54,1.122230769230769,7.65,.85,.5600000000000001,6.359096153846154,3.138138195777351,16.86,5.91683908045977,1.004721689059501,16.70479768786127,1.506819923371647,3.82007662835249,3.806928982725528,91.85732665387066,"00.02:23:27",143.45,"2023-05-16","10:47:25"
"82-77-34-88",1.83,20.38,1.32,5.15,.53,.32,8.73,3.138138195777351,29.77,6.08,1.54,34.3,2.323499999999998,4.83,3.25,123.4916381957773,"00.02:13:19",133.3166666666667,"2023-05-16","06:56:38"
"58-42-23-81",1.88,6.791,.95,4.12,.45,.75,9.49,3.138138195777351,27.92,7.11,.44,10.56,1.506819923371647,3.11,2.59,80.805958119149,"00.02:13:16",133.2666666666667,"2023-05-16","10:29:35"
"41-08-83-81",3.02,14.54561538461538,1.122230769230769,5.51,10.55,2.57,6.359096153846154,3.89,26.14,6.07,.64,13.88,1.64,6.01,3.69,105.6369423076923,"00.03:06:05",186.0833333333333,"2023-05-16","09:56:44"
"37-72-45-16",2.28,12.26,1.54,6.02,7.34,2.08,6.359096153846154,3.25,20.02,5.91683908045977,1.86,11.27,1.54,2.1,2.66,86.49593523430592,"00.02:20:28",140.4666666666667,"2023-05-16","12:55:48"
"86-82-46-77",2.92,24.76,1.96,5.37,.55,.31,6.359096153846154,3.2,29.32,5.91683908045977,.4,11.95,1.91,3.14,3.87,101.9359352343059,"00.02:14:29",134.4833333333333,"2023-05-16","11:15:22"
"35-59-75-62",2.67,25.65199999999999,1.122230769230769,4.05,.67,5.36,6.359096153846154,4.16,24.61,5.91683908045977,.52,16.70479768786127,2.11,5.16,3.73,108.794963691398,"00.02:47:45",167.75,"2023-05-16","12:57:28"
"31-89-28-30",2.9,24.66,1.62,4.68,.61,.08,6.359096153846154,2.94,29.37,5.91683908045977,.68,16.70479768786127,1.45,2.99,3.95,104.9107329221672,"00.02:43:13",163.2166666666667,"2023-05-16","07:58:26"
"61-82-08-02",6.513499999999998,14.49,1.48,3.7375,.67,.23,4.85,2.31,15.89,5.63,1.86,10.75,1.03,4.16,6.594999999999994,80.196,"00.00:36:11",36.18333333333333,"2023-05-16","11:24:44"
"67-96-75-77",3.49,25.65199999999999,1.122230769230769,4.13,.89,.52,8.789999999999999,3.138138195777351,23.94,6.51,.73,11.73,1.506819923371647,3.31,5,100.4591888883798,"00.02:34:10",154.1666666666667,"2023-05-15","13:52:55"
"19-03-14-53",5.69,9.94,1.23,3.7375,.53,.12,6.359096153846154,1.73,20.51,3.7665,.4,13.19,1.02,1.88,3.1,73.20309615384616,"00.02:13:39",133.65,"2023-05-16","13:37:29"
"12-01-31-29",3.03,15.6,2.134499999999999,6.37,.68,8.49,6.359096153846154,2.78,22.17,4,.39,16.70479768786127,1.39,3.82007662835249,4.23,98.14847047005992,"00.03:18:27",198.45,"2023-05-16","13:25:00"
"16-72-17-16",3.15,7.66,1.58,15.83,4.647519083969466,3.155511363636363,6.359096153846154,1.55,30.66,8.84,.55,38.74,1.506819923371647,5.03,3.95,133.2089465248236,"00.03:32:56",212.9333333333333,"2023-05-15","09:47:17"
"38-21-18-12",4.76,19.28,1.3,8.82,4.647519083969466,.19,6.359096153846154,3.138138195777351,35.28,8.854499999999998,1.22,21.74,1.506819923371647,4.59,5.4,127.0860733569646,"00.03:22:10",202.1666666666667,"2023-05-15","11:31:34"
"75-80-02-90",3.9,14.54561538461538,1.122230769230769,4.84,1.47,.43,6.359096153846154,3.11,24.0425,6.84,.88,16.70479768786127,1.506819923371647,2.76,4.28,92.79105991892523,"00.02:52:28",172.4666666666667,"2023-05-15","13:28:35"
"43-41-21-85",1.96,12.96,.91,7.4,1.76,.21,6.359096153846154,3.138138195777351,24.65,8.710000000000001,1.004721689059501,15.59,2.323499999999998,5.38,3.85,96.20545603868301,"00.02:19:01",139.0166666666667,"2023-05-15","11:47:03"
"66-22-88-29",3.01767754318618,20.68,2.09,8.907999999999999,.5600000000000001,5.86,6.359096153846154,1.99,24.0425,5.09,.57,18.53,1.32,6.18,5.05,110.2472736970323,"00.02:51:58",171.9666666666667,"2023-05-16","06:32:34"
"42-66-53-78",3.85,13.28,1.122230769230769,4.13,.45,.42,4.78,3.33,24.69,5.53,.43,16.70479768786127,1.506819923371647,2.71,5.09,88.02384838046369,"00.02:16:52",136.8666666666667,"2023-05-16","07:43:11"
"19-23-31-06",2.37,9.93,1.71,6.63,9.1,.34,6.359096153846154,3.138138195777351,34.93,5.91683908045977,1.004721689059501,35.72,1.506819923371647,3.82007662835249,2.11,124.5856916708669,"00.02:28:51",148.85,"2023-05-15","13:38:13"
"62-33-60-14",3.31,14.54561538461538,1.122230769230769,12.29,.66,3.155511363636363,6.359096153846154,5.31,32.91,5.91683908045977,1.004721689059501,13.16,1.506819923371647,3.82007662835249,6.594999999999994,111.6659109925721,"00.03:26:45",206.75,"2023-05-16","07:05:02"
"89-36-04-43",4.25,21.78,1.122230769230769,8.26,2.44,9.7545,6.359096153846154,3.138138195777351,37.65899999999996,8.854499999999998,1.6,11.14,1.506819923371647,1.88,3.806928982725528,123.5512140249514,"00.03:17:19",197.3166666666667,"2023-05-16","06:17:52"
"87-86-68-37",3.01767754318618,9.33,1.56,8.907999999999999,.5600000000000001,.14,9.901499999999995,2.81,24.0425,5.91683908045977,1.004721689059501,40.86349999999995,2.31,5.46,2.6,118.4247383127054,"00.01:42:51",102.85,"2023-06-14","10:38:09"
"12-94-76-31",1.38,13.6,1.122230769230769,8.907999999999999,.45,.08,6.359096153846154,3.61,24.0425,5.91683908045977,.41,16.70479768786127,1.506819923371647,3.16,3.63,90.88028361476961,"00.01:41:55",101.9166666666667,"2023-06-14","08:06:44"
