interview__key,r_members__id,f_time__id,f_prim,f_prim_o,f_sec,f_seca
"77-20-39-35",1,"3:00 - 3:30am","Sleeping and resting","","No",
"77-20-39-35",1,"3:31 - 4:00am","Sleeping and resting","","No",
"77-20-39-35",1,"4:01 - 4:30am","Sleeping and resting","","No",
"77-20-39-35",1,"4:31 - 5:00am","Sleeping and resting","","No",
"77-20-39-35",1,"5:01 - 5:30am","Sleeping and resting","","No",
"77-20-39-35",1,"5:31 - 6:00am","Personal care","","No",
"77-20-39-35",1,"6:01 - 6:30am","Personal care","","No",
"77-20-39-35",1,"6:31 - 7:00am","Personal care","","No",
"77-20-39-35",1,"7:01 - 7:30am","Personal care","","No",
"77-20-39-35",1,"7:31 - 8:00am","Personal care","","No",
"77-20-39-35",1,"8:01 - 8:30am","Personal care","","No",
"77-20-39-35",1,"8:31 - 9:00am","Personal care","","No",
"77-20-39-35",1,"9:01 - 9:30am","Cooking","","No",
"77-20-39-35",1,"9:31 - 10:00am","Cooking","","No",
"77-20-39-35",1,"10:01 -10:30am","Care for children","","No",
"77-20-39-35",1,"10:31 - 11:00am","Care for children","","No",
"77-20-39-35",1,"11:01 - 11:30am","Sleeping and resting","","No",
"77-20-39-35",1,"11:31 - 12:00pm","Sleeping and resting","","No",
"77-20-39-35",1,"12:01 - 12:30pm","Sleeping and resting","","No",
"77-20-39-35",1,"12:31 - 1:00pm","Sleeping and resting","","No",
"77-20-39-35",1,"1:01 - 1:30pm","Cooking","","No",
"77-20-39-35",1,"1:31 - 2:00pm","Cooking","","No",
"77-20-39-35",1,"2:01 - 2:30pm","Sleeping and resting","","No",
"77-20-39-35",1,"2:31 - 3:00pm","Care for children","","No",
"77-20-39-35",1,"3:00 - 3:30pm","Own business work","","No",
"77-20-39-35",1,"3:31 - 4:00pm","Own business work","","No",
"77-20-39-35",1,"4:01 - 4:30pm","Own business work","","No",
"77-20-39-35",1,"4:31 - 5:00pm","Own business work","","No",
"77-20-39-35",1,"5:01 - 5:30pm","Own business work","","No",
"77-20-39-35",1,"5:31 - 6:00pm","Own business work","","No",
"77-20-39-35",1,"6:01 - 6:30pm","Own business work","","No",
"77-20-39-35",1,"6:31 - 7:00pm","Own business work","","No",
"77-20-39-35",1,"7:01 - 7:30pm","Own business work","","No",
"77-20-39-35",1,"7:31 - 8:00pm","Own business work","","No",
"77-20-39-35",1,"8:01 - 8:30pm","Own business work","","No",
"77-20-39-35",1,"8:31 - 9:00pm","Own business work","","No",
"77-20-39-35",1,"9:01 - 9:30pm","Own business work","","No",
"77-20-39-35",1,"9:31 - 10:00pm","Own business work","","No",
"77-20-39-35",1,"10:01 - 10:30pm","Sleeping and resting","","No",
"77-20-39-35",1,"10:31 - 11:00pm","Sleeping and resting","","No",
"77-20-39-35",1,"11:01 - 11:30pm","Sleeping and resting","","No",
"77-20-39-35",1,"11:31 - 12:00am","Sleeping and resting","","No",
"77-20-39-35",1,"12:01 - 12:30pm","Sleeping and resting","","No",
"77-20-39-35",1,"12:31 - 1:00am","Sleeping and resting","","No",
"77-20-39-35",1,"1:01 - 1:30am","Sleeping and resting","","No",
"77-20-39-35",1,"1:31 - 2:00am","Sleeping and resting","","No",
"77-20-39-35",1,"2:01 - 2:30am","Sleeping and resting","","No",
"77-20-39-35",1,"2:31 - 3:00am","Sleeping and resting","","No",
"77-20-39-35",2,"3:00 - 3:30am","Sleeping and resting","","No",
"77-20-39-35",2,"3:31 - 4:00am","Sleeping and resting","","No",
"77-20-39-35",2,"4:01 - 4:30am","Sleeping and resting","","No",
"77-20-39-35",2,"4:31 - 5:00am","Sleeping and resting","","No",
"77-20-39-35",2,"5:01 - 5:30am","Sleeping and resting","","No",
"77-20-39-35",2,"5:31 - 6:00am","Personal care","","No",
"77-20-39-35",2,"6:01 - 6:30am","Personal care","","No",
"77-20-39-35",2,"6:31 - 7:00am","Personal care","","No",
"77-20-39-35",2,"7:01 - 7:30am","Personal care","","No",
"77-20-39-35",2,"7:31 - 8:00am","Personal care","","No",
"77-20-39-35",2,"8:01 - 8:30am","Personal care","","No",
"77-20-39-35",2,"8:31 - 9:00am","Cooking","","No",
"77-20-39-35",2,"9:01 - 9:30am","Cooking","","No",
"77-20-39-35",2,"9:31 - 10:00am","Cooking","","No",
"77-20-39-35",2,"10:01 -10:30am","Watching TV/listening to radio/reading","","No",
"77-20-39-35",2,"10:31 - 11:00am","Watching TV/listening to radio/reading","","No",
"77-20-39-35",2,"11:01 - 11:30am","Watching TV/listening to radio/reading","","No",
"77-20-39-35",2,"11:31 - 12:00pm","Watching TV/listening to radio/reading","","No",
"77-20-39-35",2,"12:01 - 12:30pm","Cooking","","No",
"77-20-39-35",2,"12:31 - 1:00pm","Cooking","","No",
"77-20-39-35",2,"1:01 - 1:30pm","Cooking","","No",
"77-20-39-35",2,"1:31 - 2:00pm","Cooking","","No",
"77-20-39-35",2,"2:01 - 2:30pm","Own business work","","No",
"77-20-39-35",2,"2:31 - 3:00pm","Own business work","","No",
"77-20-39-35",2,"3:00 - 3:30pm","Own business work","","No",
"77-20-39-35",2,"3:31 - 4:00pm","Own business work","","No",
"77-20-39-35",2,"4:01 - 4:30pm","Own business work","","No",
"77-20-39-35",2,"4:31 - 5:00pm","Own business work","","No",
"77-20-39-35",2,"5:01 - 5:30pm","Own business work","","No",
"77-20-39-35",2,"5:31 - 6:00pm","Own business work","","No",
"77-20-39-35",2,"6:01 - 6:30pm","Own business work","","No",
"77-20-39-35",2,"6:31 - 7:00pm","Own business work","","Yes","Care for children"
"77-20-39-35",2,"7:01 - 7:30pm","Own business work","","No",
"77-20-39-35",2,"7:31 - 8:00pm","Own business work","","No",
"77-20-39-35",2,"8:01 - 8:30pm","Own business work","","No",
"77-20-39-35",2,"8:31 - 9:00pm","Own business work","","No",
"77-20-39-35",2,"9:01 - 9:30pm","Own business work","","No",
"77-20-39-35",2,"9:31 - 10:00pm","Own business work","","No",
"77-20-39-35",2,"10:01 - 10:30pm","Own business work","","No",
"77-20-39-35",2,"10:31 - 11:00pm","Own business work","","No",
"77-20-39-35",2,"11:01 - 11:30pm","Sleeping and resting","","No",
"77-20-39-35",2,"11:31 - 12:00am","Sleeping and resting","","No",
"77-20-39-35",2,"12:01 - 12:30pm","Sleeping and resting","","No",
"77-20-39-35",2,"12:31 - 1:00am","Sleeping and resting","","No",
"77-20-39-35",2,"1:01 - 1:30am","Sleeping and resting","","No",
"77-20-39-35",2,"1:31 - 2:00am","Sleeping and resting","","No",
"77-20-39-35",2,"2:01 - 2:30am","School (also homework)","","No",
"77-20-39-35",2,"2:31 - 3:00am","Sleeping and resting","","No",
"71-78-53-70",1,"3:00 - 3:30am","Sleeping and resting","","No",
"71-78-53-70",1,"3:31 - 4:00am","Sleeping and resting","","No",
"71-78-53-70",1,"4:01 - 4:30am","Sleeping and resting","","No",
"71-78-53-70",1,"4:31 - 5:00am","Sleeping and resting","","No",
"71-78-53-70",1,"5:01 - 5:30am","Sleeping and resting","","No",
"71-78-53-70",1,"5:31 - 6:00am","Sleeping and resting","","No",
"71-78-53-70",1,"6:01 - 6:30am","Sleeping and resting","","No",
"71-78-53-70",1,"6:31 - 7:00am","Sleeping and resting","","No",
"71-78-53-70",1,"7:01 - 7:30am","Sleeping and resting","","No",
"71-78-53-70",1,"7:31 - 8:00am","Sleeping and resting","","No",
"71-78-53-70",1,"8:01 - 8:30am","Sleeping and resting","","No",
"71-78-53-70",1,"8:31 - 9:00am","Sleeping and resting","","No",
"71-78-53-70",1,"9:01 - 9:30am","Sleeping and resting","","No",
"71-78-53-70",1,"9:31 - 10:00am","Other➡️specify…","Working in the garden","No",
"71-78-53-70",1,"10:01 -10:30am","Other➡️specify…","Working in the garden","No",
"71-78-53-70",1,"10:31 - 11:00am","Other➡️specify…","Working in the garden","No",
"71-78-53-70",1,"11:01 - 11:30am","Cooking","","No",
"71-78-53-70",1,"11:31 - 12:00pm","Cooking","","No",
"71-78-53-70",1,"12:01 - 12:30pm","Cooking","","No",
"71-78-53-70",1,"12:31 - 1:00pm","Cooking","","No",
"71-78-53-70",1,"1:01 - 1:30pm","Other➡️specify…","Reading","No",
"71-78-53-70",1,"1:31 - 2:00pm","Other➡️specify…","Reading","No",
"71-78-53-70",1,"2:01 - 2:30pm","Other➡️specify…","Reading","No",
"71-78-53-70",1,"2:31 - 3:00pm","Other➡️specify…","Reading","No",
"71-78-53-70",1,"3:00 - 3:30pm","Sleeping and resting","","No",
"71-78-53-70",1,"3:31 - 4:00pm","Sleeping and resting","","No",
"71-78-53-70",1,"4:01 - 4:30pm","Exercising","","No",
"71-78-53-70",1,"4:31 - 5:00pm","Exercising","","No",
"71-78-53-70",1,"5:01 - 5:30pm","Exercising","","No",
"71-78-53-70",1,"5:31 - 6:00pm","Personal care","","No",
"71-78-53-70",1,"6:01 - 6:30pm","Personal care","","No",
"71-78-53-70",1,"6:31 - 7:00pm","Personal care","","No",
"71-78-53-70",1,"7:01 - 7:30pm","Cooking","","No",
"71-78-53-70",1,"7:31 - 8:00pm","Cooking","","No",
"71-78-53-70",1,"8:01 - 8:30pm","Cooking","","No",
"71-78-53-70",1,"8:31 - 9:00pm","Eating and drinking","","No",
"71-78-53-70",1,"9:01 - 9:30pm","Sleeping and resting","","No",
