interview__key,r_buyers__id,sl_amt
"15-76-60-42","Direct buyers /open-air market","21-40%"
"15-76-60-42","Brokers/ middleman","61-80%"
"31-41-38-46","Direct buyers /open-air market","61-80%"
"01-03-25-84","Direct buyers /open-air market","61-80%"
"49-33-75-72","Direct buyers /open-air market","More than 80%"
"86-17-23-69","Direct buyers /open-air market","less than 20%"
"35-55-11-33","Direct buyers /open-air market","less than 20%"
"74-41-75-97","Direct buyers /open-air market","less than 20%"
"29-06-99-56","Brokers/ middleman","More than 80%"
"86-92-94-72","Direct buyers /open-air market","21-40%"
"95-96-07-01","Direct buyers /open-air market","More than 80%"
"56-10-42-62","Brokers/ middleman","21-40%"
"39-85-42-75","Others ➡️ Specify","less than 20%"
"51-15-10-63","Direct buyers /open-air market","less than 20%"
"51-15-10-63","Brokers/ middleman","61-80%"
"81-75-45-31","Direct buyers /open-air market","More than 80%"
"57-29-61-37","Direct buyers /open-air market","61-80%"
"92-19-38-79","Brokers/ middleman","More than 80%"
"51-61-36-83","Brokers/ middleman","More than 80%"
"26-90-05-49","Brokers/ middleman","More than 80%"
"66-97-67-27","Brokers/ middleman","More than 80%"
"98-05-66-83","Brokers/ middleman","61-80%"
"78-17-71-31","Direct buyers /open-air market","41-60%"
"35-97-55-04","Brokers/ middleman","More than 80%"
"01-00-08-00","Direct buyers /open-air market","61-80%"
"01-00-08-00","Brokers/ middleman","More than 80%"
"23-16-40-98","Direct buyers /open-air market","More than 80%"
"23-16-40-98","Brokers/ middleman","21-40%"
"83-29-00-04","Brokers/ middleman","More than 80%"
"83-88-85-49","Brokers/ middleman","less than 20%"
"86-33-34-77","Direct buyers /open-air market","41-60%"
"85-40-54-06","Direct buyers /open-air market","41-60%"
"84-47-44-08","Brokers/ middleman","More than 80%"
"95-71-45-18","Direct buyers /open-air market","61-80%"
"95-71-45-18","Brokers/ middleman","21-40%"
"43-23-29-59","Direct buyers /open-air market","61-80%"
"43-23-29-59","Brokers/ middleman","21-40%"
"65-07-52-31","Direct buyers /open-air market","61-80%"
"65-07-52-31","Brokers/ middleman","21-40%"
"27-52-71-52","Brokers/ middleman","More than 80%"
"21-67-72-81","Direct buyers /open-air market","21-40%"
"21-67-72-81","Brokers/ middleman","61-80%"
"40-09-03-46","Direct buyers /open-air market","less than 20%"
"40-09-03-46","Brokers/ middleman","21-40%"
"07-13-49-69","Direct buyers /open-air market","61-80%"
"07-13-49-69","Brokers/ middleman","More than 80%"
"02-58-47-09","Brokers/ middleman","More than 80%"
"22-68-37-41","Direct buyers /open-air market","less than 20%"
"04-02-68-66","Brokers/ middleman","More than 80%"
"02-25-96-16","Brokers/ middleman","21-40%"
"48-71-75-24","Direct buyers /open-air market","More than 80%"
"81-80-02-23","Direct buyers /open-air market","More than 80%"
"42-14-73-23","Brokers/ middleman","More than 80%"
"95-12-78-81","Direct buyers /open-air market","More than 80%"
"20-49-21-26","Direct buyers /open-air market","21-40%"
"93-19-03-86","Direct buyers /open-air market","61-80%"
"93-19-03-86","Brokers/ middleman","61-80%"
"96-79-62-23","Brokers/ middleman","More than 80%"
"64-36-21-26","Brokers/ middleman","More than 80%"
"78-84-99-05","Direct buyers /open-air market","less than 20%"
"78-84-99-05","Brokers/ middleman","41-60%"
"52-54-55-08","Direct buyers /open-air market","61-80%"
"32-13-89-08","Brokers/ middleman","less than 20%"
"85-25-22-09","Direct buyers /open-air market","21-40%"
"36-18-65-12","Brokers/ middleman","41-60%"
"42-45-66-86","Brokers/ middleman","less than 20%"
"44-14-86-31","Direct buyers /open-air market","less than 20%"
"84-19-29-35","Brokers/ middleman","41-60%"
"39-19-67-67","Brokers/ middleman","More than 80%"
"43-82-97-85","Brokers/ middleman","More than 80%"
"91-14-48-53","Brokers/ middleman","More than 80%"
"23-89-23-81","Brokers/ middleman","More than 80%"
"52-40-25-11","Brokers/ middleman","61-80%"
"58-44-00-29","Direct buyers /open-air market","41-60%"
"58-44-00-29","Brokers/ middleman","21-40%"
"94-81-60-01","Brokers/ middleman","More than 80%"
"00-76-76-29","Direct buyers /open-air market","More than 80%"
"62-55-13-64","Brokers/ middleman","More than 80%"
"42-85-64-91","Brokers/ middleman","More than 80%"
"90-50-65-07","Direct buyers /open-air market","61-80%"
"90-50-65-07","Brokers/ middleman","less than 20%"
"54-70-24-21","Brokers/ middleman","More than 80%"
"38-66-21-90","Brokers/ middleman","More than 80%"
"32-53-90-85","Direct buyers /open-air market","less than 20%"
"67-43-43-96","Brokers/ middleman","More than 80%"
"30-12-86-30","Brokers/ middleman","less than 20%"
"18-64-04-51","Brokers/ middleman","More than 80%"
"49-30-59-44","Brokers/ middleman","21-40%"
"03-68-26-31","Brokers/ middleman","More than 80%"
"76-88-86-20","Direct buyers /open-air market","61-80%"
"76-88-86-20","Brokers/ middleman","less than 20%"
"41-48-09-97","Brokers/ middleman","41-60%"
"21-76-07-53","Brokers/ middleman","More than 80%"
"01-41-01-54","Brokers/ middleman","More than 80%"
"13-11-49-85","Brokers/ middleman","More than 80%"
"92-03-64-77","Direct buyers /open-air market","More than 80%"
"33-40-16-02","Brokers/ middleman","61-80%"
"55-06-75-57","Direct buyers /open-air market","61-80%"
"55-06-75-57","Brokers/ middleman","less than 20%"
"01-05-06-43","Direct buyers /open-air market","21-40%"
