interview__key,r_members__id,r_child__id,ed03asp,asocp01,youth_child_tofarm
"15-76-60-42",1,3,"College","Businessman","Unlikely"
"15-76-60-42",1,4,"College","Teacher","Unlikely"
"15-76-60-42",2,3,,"##N/a##",
"15-76-60-42",2,4,,"##N/a##",
"31-41-38-46",1,7,,"##N/a##",
"31-41-38-46",1,8,,"##N/a##",
"31-41-38-46",2,7,"Form 6","Teacher","Likely"
"31-41-38-46",2,8,"Form 6","Teacher","Likely"
"49-33-75-72",1,4,"University level","Nurse","Unlikely"
"49-33-75-72",2,4,"University level","Nurse","Very unlikely"
"86-17-23-69",1,4,"University level","A teacher","Very likely"
"86-17-23-69",2,4,"University level","A doctor","Very likely"
"35-55-11-33",1,4,"University level","A teacher","Very likely"
"35-55-11-33",1,5,"University level","Soldier","Very likely"
"75-64-48-24",1,6,"University level","Medical doctor","Unlikely"
"75-64-48-24",2,6,"University level","Teacher","Likely"
"46-90-31-29",1,5,"Form 4","Medical doctors","Maybe, maybe not"
"32-45-37-94",1,2,"University level","Teacher","Likely"
"95-96-07-01",1,3,"Form 6","Police","Very unlikely"
"95-96-07-01",1,4,"Form 6","Teacher","Very unlikely"
"95-96-07-01",2,3,"University level","Police officer","Unlikely"
"95-96-07-01",2,4,"University level","Nurse","Unlikely"
"56-10-42-62",1,3,"University level","Teacher","Unlikely"
"56-10-42-62",2,3,"University level","Teacher","Maybe, maybe not"
"39-85-42-75",1,5,"University level","Teacher","Likely"
"39-85-42-75",1,6,"University level","Nurse","Very likely"
"39-85-42-75",2,5,"University level","Teacher/doctor","Likely"
"39-85-42-75",2,6,"University level","Nurse","Very unlikely"
"51-15-10-63",1,5,"University level","Teacher","Very likely"
"51-15-10-63",2,5,"College","Doctor","Very likely"
"81-75-45-31",1,5,"University level","Military  pollice","Likely"
"81-75-45-31",1,6,"University level","Doctor","Likely"
"81-75-45-31",1,7,"University level","Teacher","Likely"
"81-75-45-31",2,5,"University level","Driver","Very likely"
"81-75-45-31",2,6,"University level","Doctor","Likely"
"81-75-45-31",2,7,"University level","Bussinessman","Likely"
"51-61-36-83",1,4,"Form 6","Doctor","Unlikely"
"51-61-36-83",1,5,"College","Agricultural experts","Very likely"
"51-61-36-83",1,6,"Form 6","Nurse","Likely"
"51-61-36-83",2,4,"University level","Doctor","Very unlikely"
"51-61-36-83",2,5,"University level","Teacher","Likely"
"51-61-36-83",2,6,"College","Nurse","Very likely"
"26-90-05-49",1,5,"University level","Doctor","Very unlikely"
"26-90-05-49",1,6,"University level","Nurse","Maybe, maybe not"
"26-90-05-49",4,5,"University level","Teacher","Very unlikely"
"26-90-05-49",4,6,"College","Teacher","Very unlikely"
"78-48-49-89",1,6,"University level","Doctor","Unlikely"
"78-48-49-89",2,6,"University level","Teacher","Likely"
"78-17-71-31",1,3,"University level","Nurse","Likely"
"78-17-71-31",1,4,"University level","Nurse","Likely"
"01-00-08-00",1,2,"University level","Police","Unlikely"
"23-16-40-98",1,5,"College","Doctor","Unlikely"
"23-16-40-98",1,8,"College","Teacher","Unlikely"
"23-16-40-98",1,9,"College","Engineering","Unlikely"
"23-16-40-98",1,10,"College","Doctor","Very unlikely"
"23-16-40-98",2,5,"University level","Teacher","Very unlikely"
"23-16-40-98",2,8,"University level","Lawyer","Very unlikely"
"23-16-40-98",2,9,"University level","Teacher","Very unlikely"
"23-16-40-98",2,10,"University level","Teacher","Very unlikely"
"83-29-00-04",1,3,"University level","Medical doctor","Very unlikely"
"83-29-00-04",1,4,"University level","Medical doctor","Very likely"
"83-29-00-04",2,3,"University level","Engineering","Likely"
"83-29-00-04",2,4,"University level","Teacher","Likely"
"83-88-85-49",1,5,"University level","Teacher","Unlikely"
"99-20-43-65",1,4,"Standard 4","Driver","Very likely"
"84-47-44-08",1,4,"University level","Nurse","Likely"
"84-47-44-08",1,5,"University level","Soldier","Likely"
"84-47-44-08",1,6,"University level","Nurse","Likely"
"95-71-45-18",2,5,"Form 6","Teacher","Unlikely"
"24-72-94-40",1,3,"University level","Teacher","Unlikely"
"24-72-94-40",1,4,"University level","Doctor","Unlikely"
"24-72-94-40",2,3,"University level","Doctor","Likely"
"24-72-94-40",2,4,"University level","Teacher","Likely"
"27-52-71-52",2,6,"University level","Nurse","Maybe, maybe not"
"27-52-71-52",2,7,"University level","Veterinary","Very likely"
"21-67-72-81",2,6,"University level","Doctor","Likely"
"21-67-72-81",3,6,"University level","Doctor","Likely"
"40-08-15-69",1,4,"University level","Government leader","Unlikely"
"40-08-15-69",2,4,"University level","Police","Unlikely"
"88-78-79-65",1,3,"University level","Teacher","Unlikely"
"88-78-79-65",1,4,"University level","Doctor","Unlikely"
"88-78-79-65",2,3,"University level","Teacher","Maybe, maybe not"
