interview__key,consev_hh,consev_name,consev_typ__1,consev_typ__2,consev_typ__3,consev_typ__4,consev_typ__5,consev_meb,consev_exphh,consev_expcom,consev_cash,consev_fd,consev_fdamt,consev_adben,consev_ad,consev_ben,consev_mt,wld_conft,wld_confl_frequ,wld_dmg__1,wld_dmg__2,wld_dmg__3,wld_dmg__96,wld_dmgcomp,comp_amt
"15-76-60-42","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"31-41-38-46","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"01-03-25-84","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"31-13-18-39","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"49-33-75-72","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"72-79-79-86","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"86-17-23-69","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"35-55-11-33","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"74-41-75-97","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"75-64-48-24","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"46-90-31-29","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"32-45-37-94","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"29-06-99-56","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"86-92-94-72","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"95-96-07-01","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"56-10-42-62","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"39-85-42-75","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"51-15-10-63","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"81-75-45-31","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"57-29-61-37","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"92-19-38-79","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"51-61-36-83","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"26-90-05-49","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"66-97-67-27","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"78-48-49-89","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"98-05-66-83","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"78-17-71-31","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"35-97-55-04","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"01-00-08-00","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"23-16-40-98","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"33-60-15-24","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"83-29-00-04","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"39-46-43-34","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"83-88-85-49","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"86-33-34-77","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"85-40-54-06","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"99-20-43-65","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"84-47-44-08","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"95-71-45-18","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"43-23-29-59","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"65-07-52-31","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"24-72-94-40","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"27-52-71-52","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"21-67-72-81","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"40-08-15-69","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"40-09-03-46","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"88-78-79-65","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"72-36-26-24","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"07-13-49-69","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"02-58-47-09","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"22-68-37-41","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"75-57-77-41","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"04-02-68-66","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"02-25-96-16","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"48-71-75-24","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"81-80-02-23","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"42-14-73-23","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"76-93-41-01","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"95-12-78-81","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"20-49-21-26","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"93-19-03-86","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"83-16-53-05","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"96-79-62-23","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"45-89-04-52","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"12-50-51-44","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"64-36-21-26","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"78-84-99-05","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"37-66-37-12","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"52-54-55-08","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"32-13-89-08","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"85-25-22-09","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"72-82-24-11","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"36-18-65-12","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"42-45-66-86","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"44-14-86-31","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"84-19-29-35","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"39-19-67-67","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"43-82-97-85","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"91-14-48-53","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"20-26-28-94","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"23-89-23-81","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"52-40-25-11","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"58-44-00-29","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"94-81-60-01","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"00-76-76-29","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"30-24-92-73","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"23-53-41-46","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"62-55-13-64","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"42-85-64-91","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"90-50-65-07","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"54-70-24-21","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"38-66-21-90","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"32-53-90-85","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"67-43-43-96","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"30-12-86-30","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"18-64-04-51","Yes","kissing lugalo forest","No","No","Yes","No","No","No","Neutral (or no effect)","Positive effect",,,,,"",,,"No",,,,,,,
"44-00-42-23","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"49-30-59-44","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"08-14-33-80","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"03-68-26-31","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"76-88-86-20","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"41-48-09-97","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
