interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"15-76-60-42","Firewood",144,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increase of agriculture activities,infrastructure"
"15-76-60-42","Timber or poles",500,"Numbers","","No",,,"",,,"Yes",200000,"Massive decrease","Massive decrease","","increase of infrastructure"
"31-41-38-46","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","cutting of trees."
"01-03-25-84","Wood for charcoal production",2,"100 kg bag","","No",,,"",,,"Yes",25000,"The same","The same","",""
"31-13-18-39","Firewood",108,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"31-13-18-39","Wood for charcoal production",60,"Debe","","No",,,"",,,"Yes",120000,"Slight decrease","Massive decrease","","deforestation"
"49-33-75-72","Firewood",12,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","there is a shortage of trees due to land clearance"
"49-33-75-72","Wood for charcoal production",80,"Debe","","Yes",80,"Debe","","Yes",10000,"No",,"Slight decrease","Massive decrease","","lack of trees due to deforestation"
"49-33-75-72","Tea leaves",1,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Slight increase","","it will increase since there is an increase of tea leaves farms"
"72-79-79-86","Firewood",50,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","alot of people cuts trees for the charcoal purpose"
"86-17-23-69","Firewood",60,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","DEFORESTATON"
"35-55-11-33","Firewood",50,"Bunches","","Yes",10,"Bunches","","No",2000,"No",,"Slight decrease","Massive decrease","","INCREASE NUMBER OF PEOPLE"
"74-41-75-97","Firewood",48,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Due to coal and timber production"
"74-41-75-97","Wild fruits",10,"Liters","","No",,,"",,,"No",,"Slight increase","Slight increase","They randomly grow on the farms we have planted trees",""
"74-41-75-97","Mushrooms",3,"Kilograms","","Yes",2,"Kilograms","","No",2500,"No",,"Slight decrease","Massive decrease","","Lack of rainfall"
"75-64-48-24","Firewood",108,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","cutting down trees"
"75-64-48-24","Timber or poles",10,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","cutting down trees"
"46-90-31-29","Firewood",270,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","deforestation"
"32-45-37-94","Firewood",2,"Wheelbarrow","","No",,,"",,,"Yes",30000,"Slight increase","Slight decrease","In the time there was no deforestation",""
"29-06-99-56","Firewood",100,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","increase of population and deforestation"
"86-92-94-72","Firewood",480,"Kilograms","","No",,,"",,,"No",,"Slight increase","Slight decrease","Deforestation was at a low rate back then",""
"86-92-94-72","Timber or poles",40,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"86-92-94-72","Wild fruits",5,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"95-96-07-01","Firewood",162,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","cutting trees"
"95-96-07-01","Wood for charcoal production",4,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","cutting trees"
"95-96-07-01","Timber or poles",20,"Numbers","","No",,,"",,,"No",,"Slight increase","Slight increase","we have planted trees",""
"56-10-42-62","Firewood",30,"Bunches","","No",,,"",,,"No",,"The same","Slight increase","",""
"56-10-42-62","Tea leaves",25,"Grams","","No",,,"",,,"No",,"The same","Slight increase","",""
"56-10-42-62","Mushrooms",2,"Liters","","No",,,"",,,"No",,"The same","Massive decrease","",""
"39-85-42-75","Firewood",1,"Canter","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Cutting down of trees"
"39-85-42-75","Medicinal plants",1,"Liters","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Due to coal production"
"51-15-10-63","Firewood",135,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Timber production in huge amount"
"51-15-10-63","Wood for charcoal production",12,"Debe","","Yes",70,"Debe","","Yes",1500,"Yes",50000,"Slight decrease","Slight decrease","","Deforestation and timber production"
"51-15-10-63","Wild fruits",1,"Debe","","No",,,"",,,"No",,"The same","Slight decrease","",""
"51-15-10-63","Medicinal plants",1,"Kilograms","","No",,,"",,,"No",,"The same","Slight decrease","",""
"51-15-10-63","Tea leaves",2,"Kilograms","","No",,,"",,,"No",,"The same","Slight decrease","",""
"81-75-45-31","Firewood",260,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Globalisation  and deforestation"
