interview__key,lvexp01_11,lvexp02_12,lvexp03_13,lvexp04_14,lvexp05_15,lvexp06_16
"15-76-60-42",600000,0,20000,0,0,"36000"
"31-41-38-46",160000,0,0,0,0,"24000"
"01-03-25-84",0,0,7000,0,0,"0"
"31-13-18-39",,,,,,""
"49-33-75-72",,,,,,""
"72-79-79-86",,,,,,""
"86-17-23-69",0,0,0,0,0,"0"
"35-55-11-33",,,,,,""
"74-41-75-97",,,,,,""
"75-64-48-24",,,,,,""
"46-90-31-29",,,,,,""
"32-45-37-94",,,,,,""
"29-06-99-56",100000,0,40000,0,0,"0"
"86-92-94-72",0,0,6000,0,0,"0"
"95-96-07-01",108000,0,0,0,0,"0"
"56-10-42-62",12000,0,4000,0,0,"8000"
"39-85-42-75",0,0,1500,0,0,"0"
"51-15-10-63",,,,,,""
"81-75-45-31",0,0,0,0,0,"0"
"57-29-61-37",0,0,1600,0,0,"0"
"92-19-38-79",450000,0,50000,0,0,"0"
"51-61-36-83",20000,0,70000,0,0,"0"
"26-90-05-49",,,,,,""
"66-97-67-27",0,0,30000,18000,0,"0"
"78-48-49-89",200000,0,30000,4000,0,"0"
"98-05-66-83",240000,0,45000,8000,5000,"0"
"78-17-71-31",0,0,0,0,0,"0"
"35-97-55-04",0,0,370000,0,0,"0"
"01-00-08-00",0,0,3000,0,0,"0"
"23-16-40-98",15000,0,13000,20000,0,"5000"
"33-60-15-24",,,,,,""
"83-29-00-04",0,0,85500,0,0,"0"
"39-46-43-34",0,0,0,0,0,"0"
"83-88-85-49",0,0,0,0,0,"0"
"86-33-34-77",0,0,6000,0,0,"0"
"85-40-54-06",,,,,,""
"99-20-43-65",150000,0,15000,10000,0,"0"
"84-47-44-08",60000,0,50000,0,0,"0"
"95-71-45-18",0,0,2000,0,0,"1500"
"43-23-29-59",0,0,20000,0,0,"0"
"65-07-52-31",0,0,15000,0,0,"0"
"24-72-94-40",0,0,0,0,0,"0"
"27-52-71-52",0,0,6000,0,360000,"0"
"21-67-72-81",300000,0,200000,0,0,"15000"
"40-08-15-69",,,,,,""
"40-09-03-46",,,,,,""
"88-78-79-65",0,0,0,0,0,"10000"
"72-36-26-24",10000,0,10000,0,0,"0"
"07-13-49-69",0,0,0,0,0,"0"
"02-58-47-09",356000,0,24000,0,0,"0"
"22-68-37-41",160000,0,80000,10000,0,"0"
"75-57-77-41",,,,,,""
"04-02-68-66",0,0,40000,0,0,"0"
"02-25-96-16",0,0,0,0,0,"0"
"48-71-75-24",0,0,10000,0,0,"0"
"81-80-02-23",,,,,,""
"42-14-73-23",32000,0,22000,30000,0,"0"
"76-93-41-01",,,,,,""
"95-12-78-81",0,0,150000,0,0,"0"
"20-49-21-26",80000,0,9000,6000,0,"0"
"93-19-03-86",,,,,,""
"83-16-53-05",12000,0,0,0,0,"0"
"96-79-62-23",0,0,2000,0,0,"0"
"45-89-04-52",10000,0,5000,0,0,"0"
"12-50-51-44",0,0,0,0,0,"0"
"64-36-21-26",,,,,,""
"78-84-99-05",16000,0,15000,0,0,"0"
"37-66-37-12",432000,0,12000,0,0,"0"
"52-54-55-08",100000,0,36000,0,0,"20000"
"32-13-89-08",0,0,8000,0,0,"0"
"85-25-22-09",10000,0,0,0,0,"0"
"72-82-24-11",20000,0,10000,0,0,"0"
"36-18-65-12",,,,,,""
"42-45-66-86",0,0,5000,0,0,"0"
"44-14-86-31",0,0,8000,0,0,"6000"
"84-19-29-35",0,0,0,0,0,"0"
"39-19-67-67",150000,0,7500,22000,0,"12000"
"43-82-97-85",12000,0,1000,0,0,"0"
"91-14-48-53",0,0,0,0,0,"0"
"20-26-28-94",0,0,2000,0,0,"0"
"23-89-23-81",50000,0,8000,0,0,"2000"
"52-40-25-11",0,0,0,0,0,"0"
"58-44-00-29",0,0,0,0,0,"0"
"94-81-60-01",0,0,8000,0,0,"0"
"00-76-76-29",50000,0,10000,0,0,"0"
"30-24-92-73",40000,0,8000,16000,0,"0"
"23-53-41-46",0,0,0,0,0,"0"
"62-55-13-64",6000,0,3000,0,0,"0"
"42-85-64-91",1800000,0,50000,0,0,"0"
"90-50-65-07",,,,,,""
"54-70-24-21",0,0,0,0,0,"0"
"38-66-21-90",20000,15000,16000,0,0,"0"
"32-53-90-85",72000,0,0,0,0,"0"
"67-43-43-96",,,,,,""
"30-12-86-30",40000,0,10000,5000,0,"0"
"18-64-04-51",120000,0,35000,3500,0,"60000"
"44-00-42-23",,,,,,""
"49-30-59-44",100000,0,20000,0,0,"0"
"08-14-33-80",,,,,,""
"03-68-26-31",,,,,,""
"76-88-86-20",1620000,0,40000,0,0,"648000"
"41-48-09-97",0,0,27000,0,0,"0"
"21-76-07-53",6000,0,0,0,0,"0"
"01-41-01-54",500000,0,100000,0,0,"0"
"13-11-49-85",20000,0,18000,0,0,"0"
"72-37-75-96",0,0,3000,0,0,"0"
"71-85-96-60",,,,,,""
"92-03-64-77",60000,0,10000,0,0,"0"
"33-40-16-02",,,,,,""
"55-06-75-57",150000,0,48000,5000,0,"0"
"01-05-06-43",0,0,40000,0,0,"15000"
"12-46-80-99",,,,,,""
"34-76-42-19",,,,,,""
"62-44-56-00",222000,0,50000,0,0,"0"
"35-05-05-79",200000,0,100000,0,0,"0"
"00-88-32-67",,,,,,""
"65-77-01-81",50000,0,0,0,0,"0"
"68-46-66-56",60000,0,30000,0,0,"0"
"30-46-23-21",,,,,,""
"13-17-41-36",,,,,,""
"99-55-34-47",15000,0,7500,0,0,"0"
"82-90-83-43",,,,,,""
"98-51-51-03",,,,,,""
"10-71-84-42",250000,0,8000,15000,0,"0"
"49-18-02-61",,,,,,""
"58-97-08-64",15000,0,0,0,0,"0"
"61-93-54-26",120000,0,4000,0,0,"2000"
"51-95-58-91",2304000,0,28000,1000000,0,"0"
"32-49-75-13",0,0,0,0,0,"2000"
"68-39-51-63",,,,,,""
"46-13-75-58",0,0,0,12000,0,"0"
"40-78-00-02",,,,,,""
"69-63-50-52",20000,0,10000,0,0,"0"
"20-96-52-92",40000,0,0,0,0,"0"
"37-33-23-29",600840,0,300000,0,0,"0"
"55-09-60-79",0,0,12000,0,0,"0"
"13-88-02-80",0,0,0,0,0,"0"
"50-55-09-07",,,,,,""
"85-93-95-50",,,,,,""
"97-19-27-00",0,0,12000,0,0,"0"
"60-48-30-05",,,,,,""
"80-01-40-08",0,0,0,0,0,"0"
"29-52-09-79",0,0,0,0,0,"0"
"07-76-06-35",0,0,60000,0,0,"0"
"73-75-27-37",,,,,,""
"99-26-76-45",,,,,,""
"91-46-41-86",0,0,0,0,0,"0"
"67-86-22-06",,,,,,""
"98-64-51-77",,,,,,""
"83-59-27-80",0,0,0,0,0,"0"
"12-54-62-85",,,,,,""
"47-32-93-31",0,0,2000,0,0,"0"
"45-06-90-36",0,0,48000,0,0,"0"
"24-42-82-26",80000,0,40000,0,0,"0"
"22-27-70-86",0,0,100000,0,0,"0"
"04-24-78-04",0,0,0,0,0,"0"
"83-44-01-42",40000,0,0,0,0,"0"
"55-32-62-10",400000,0,70000,90000,480000,"12000"
"16-97-28-87",0,0,0,0,0,"0"
"79-79-53-26",0,0,7000,0,0,"0"
"86-05-40-89",,,,,,""
"06-02-25-50",,,,,,""
"07-64-12-97",0,0,0,0,0,"0"
"67-73-53-75",,,,,,""
"96-07-74-28",,,,,,""
"13-42-68-56",,,,,,""
"78-89-03-74",36000,0,20000,0,0,"0"
"29-15-86-87",0,0,3000,0,0,"0"
"83-15-50-69",,,,,,""
"96-73-61-56",,,,,,""
"68-46-53-43",0,0,0,0,0,"0"
"65-84-91-55",,,,,,""
"79-25-63-35",96000,0,18000,0,0,"0"
"80-29-04-22",,,,,,""
"15-34-92-71",,,,,,""
"28-29-76-59",0,0,14000,0,0,"0"
"26-01-09-21",,,,,,""
"29-37-06-51",216000,0,0,0,0,"0"
"81-06-47-80",0,0,5000,0,0,"0"
"65-79-07-96",,,,,,""
"10-31-70-66",300000,0,15000,0,0,"0"
"32-61-55-41",0,0,2000,0,0,"0"
"33-65-05-28",0,0,2000,0,0,"0"
"37-31-29-27",30000,0,18000,0,0,"0"
"13-98-20-22",720000,0,25000,0,600000,"10000"
"04-80-94-39",50000,0,30000,0,0,"5000"
"28-75-01-80",25000,0,0,0,0,"0"
"30-19-51-31",60000,0,0,0,0,"0"
"29-29-81-12",8,0,0,0,0,"0"
"83-66-69-06",,,,,,""
"26-43-59-91",70000,0,15000,0,0,"0"
"97-96-91-38",,,,,,""
"27-34-90-31",0,0,0,0,0,"0"
"23-72-17-40",0,0,30000,0,20000,"0"
"39-58-22-39",0,0,0,0,0,"0"
"97-79-33-71",50000,0,1000000,0,0,"0"
"69-57-31-01",70000,0,20000,0,0,"0"
"60-54-64-58",0,0,50000,0,320000,"0"
"89-99-48-67",30000,0,22000,0,0,"0"
"44-61-50-65",,,,,,""
"12-80-78-48",0,0,0,0,0,"0"
"28-02-97-48",,,,,,""
"70-19-76-68",0,0,30000,0,0,"0"
"46-78-87-50",0,0,5000,0,0,"0"
"18-43-40-98",,,,,,""
"50-39-55-52",30000,0,0,0,0,"0"
"82-64-50-66",0,0,5000,0,0,"0"
"46-02-32-25",,,,,,""
"51-99-40-78",,,,,,""
"45-83-32-93",0,0,4000,0,0,"0"
"33-22-63-71",0,0,8000,0,30000,"0"
"95-96-92-75",480000,0,30000,0,0,"0"
"19-37-18-76",0,0,2500,0,0,"0"
"74-28-59-17",0,0,30000,0,0,"0"
"48-48-94-57",15000,0,10000,0,0,"0"
"03-43-60-42",30000,0,5000,0,0,"0"
"58-75-54-61",210000,0,170000,0,0,"0"
"49-89-37-09",0,0,0,0,0,"0"
"76-49-10-53",,,,,,""
"76-59-40-83",,,,,,""
