interview__key,s9_respondent,food_security__1,food_security__2,food_security__3,food_security__4,food_security__5,food_security__6,food_security__7,food_security__8,food_sufficent,food_sufficent2,food_sufficent3,food_sufficent4__1,food_sufficent4__2,food_sufficent4__3,food_sufficent4__4,food_sufficent4__5,food_sufficent4__6,food_sufficent4__7,food_sufficent4__8,food_sufficent4__9,food_sufficent4__10,food_sufficent4__11,food_sufficent4__12
"15-76-60-42",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"31-41-38-46",2,"Yes","Yes","Yes","Yes","No","Yes","No","No",6,3,3,2,3,0,0,0,0,0,0,0,0,0,1
"01-03-25-84",1,"No","Yes","No","No","No","No","No","No",10,4,0,,,,,,,,,,,,
"31-13-18-39",1,"No","No","Yes","No","Yes","No","No","No",0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
"49-33-75-72",2,"No","No","No","No","No","No","No","No",0,12,0,,,,,,,,,,,,
"72-79-79-86",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",6,6,4,0,1,2,3,4,0,0,0,0,0,0,0
"86-17-23-69",2,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"35-55-11-33",1,"Yes","Yes","No","No","No","No","No","No",8,8,4,0,1,2,4,3,0,0,0,0,0,0,0
"74-41-75-97",1,"Yes","Yes","Yes","Yes","Yes","No","Yes","No",10,10,2,0,0,0,0,0,0,0,0,1,2,0,0
"75-64-48-24",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",6,12,3,0,1,2,3,0,0,0,0,0,0,0,0
"46-90-31-29",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,5,4,0,1,2,3,4,0,0,0,0,0,0,0
"32-45-37-94",1,"Yes","Yes","Yes","Yes","Yes","No","Yes","No",0,12,0,,,,,,,,,,,,
"29-06-99-56",2,"Yes","No","No","Yes","Yes","Yes","No","No",10,10,2,0,1,2,0,0,0,0,0,0,0,0,0
"86-92-94-72",1,"Yes","Yes","Yes","Yes","Yes","No","No","No",10,12,0,,,,,,,,,,,,
"95-96-07-01",2,"No","No","No","No","No","No","No","No",11,12,0,,,,,,,,,,,,
"56-10-42-62",2,"No","Yes","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"39-85-42-75",2,"Yes","Yes","Yes","Yes","Yes","No","No","No",8,7,4,0,1,2,3,4,0,0,0,0,0,0,0
"51-15-10-63",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",3,9,3,0,1,2,0,3,0,0,0,0,0,0,0
"81-75-45-31",2,"Yes","No","Yes","No","No","Yes","No","No",0,12,0,,,,,,,,,,,,
"57-29-61-37",1,"No","No","Yes","Yes","No","No","No","No",9,12,0,,,,,,,,,,,,
"92-19-38-79",2,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"51-61-36-83",2,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"26-90-05-49",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"66-97-67-27",2,"No","No","Yes","Yes","Yes","No","Yes","No",8,12,0,,,,,,,,,,,,
"78-48-49-89",2,"No","Yes","Yes","Yes","No","No","No","No",6,12,0,,,,,,,,,,,,
"98-05-66-83",2,"No","No","No","No","No","No","No","No",12,12,2,1,2,0,0,0,0,0,0,0,0,0,0
"78-17-71-31",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"35-97-55-04",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"01-00-08-00",1,"No","No","Yes","No","No","No","No","No",8,12,0,,,,,,,,,,,,
"23-16-40-98",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"33-60-15-24",1,"No","No","No","No","No","No","No","No",12,0,0,,,,,,,,,,,,
"83-29-00-04",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"39-46-43-34",1,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",5,5,7,0,1,2,3,4,5,6,7,0,0,0,0
"83-88-85-49",1,"Yes","No","Yes","Yes","Yes","Yes","Yes","No",4,6,3,1,2,3,0,0,0,0,0,0,0,0,0
"86-33-34-77",1,"No","No","No","No","No","No","No","No",9,12,0,,,,,,,,,,,,
"85-40-54-06",1,"No","No","Yes","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"99-20-43-65",1,"No","No","Yes","No","No","No","No","No",9,9,3,0,1,2,3,0,0,0,0,0,0,0,0
"84-47-44-08",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"95-71-45-18",2,"No","No","Yes","Yes","No","No","No","No",12,12,1,0,0,0,1,0,0,0,0,0,0,0,0
"43-23-29-59",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,4,2,0,0,1,2,0,0,0,0,0,0,0,0
"65-07-52-31",2,"Yes","Yes","Yes","Yes","Yes","No","No","No",12,12,0,,,,,,,,,,,,
"24-72-94-40",2,"Yes","Yes","Yes","No","Yes","Yes","Yes","No",1,11,0,,,,,,,,,,,,
"27-52-71-52",2,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"21-67-72-81",2,"Yes","Yes","No","Yes","Yes","Yes","No","No",4,5,1,0,0,0,0,0,0,0,0,0,0,1,0
"40-08-15-69",2,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"40-09-03-46",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"88-78-79-65",2,"Yes","Yes","Yes","No","Yes","No","Yes","No",0,9,3,3,1,2,0,0,0,0,0,0,0,0,0
"72-36-26-24",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",6,11,1,0,0,0,0,0,0,1,0,0,0,0,0
"07-13-49-69",2,"No","Yes","Yes","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"02-58-47-09",2,"Yes","Yes","Yes","No","No","No","No","No",9,9,3,2,1,3,0,0,0,0,0,0,0,0,0
"22-68-37-41",2,"Yes","No","No","No","No","No","No","No",9,9,3,0,1,2,3,0,0,0,0,0,0,0,0
"75-57-77-41",2,"No","No","No","No","No","No","No","No",12,12,1,0,1,0,0,0,0,0,0,0,0,0,0
"04-02-68-66",2,"Yes","No","No","No","No","No","No","No",11,11,1,0,0,1,0,0,0,0,0,0,0,0,0
"02-25-96-16",2,"No","No","No","No","No","No","No","No",12,12,2,0,0,1,2,0,0,0,0,0,0,0,0
"48-71-75-24",2,"No","No","No","Yes","Yes","Yes","No","No",11,7,1,0,0,1,0,0,0,0,0,0,0,0,0
"81-80-02-23",2,"No","No","Yes","Yes","Yes","No","No","No",12,2,0,,,,,,,,,,,,
"42-14-73-23",2,"Yes","No","Yes","No","No","Yes","No","No",5,7,7,1,2,7,3,4,5,6,0,0,0,0,0
"76-93-41-01",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",9,9,3,0,0,0,0,1,2,3,0,0,0,0,0
"95-12-78-81",2,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"20-49-21-26",2,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"93-19-03-86",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"83-16-53-05",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"96-79-62-23",1,"Yes","Yes","Yes","No","No","Yes","No","No",5,7,3,1,2,3,0,0,0,0,0,0,0,0,0
"45-89-04-52",2,"No","No","Yes","Yes","No","No","Yes","No",6,6,3,0,0,0,1,2,3,0,0,0,0,0,0
"12-50-51-44",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",5,12,0,,,,,,,,,,,,
"64-36-21-26",3,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"78-84-99-05",1,"Yes","No","Yes","No","No","Yes","Yes","No",12,12,2,0,0,2,1,0,0,0,0,0,0,0,0
"37-66-37-12",1,"Yes","Yes","Yes","No","No","No","No","No",5,6,1,1,0,0,0,0,0,0,0,0,0,0,0
"52-54-55-08",2,"No","Yes","Yes","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"32-13-89-08",2,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"85-25-22-09",2,"No","Yes","Yes","Yes","Yes","No","No","No",12,0,0,,,,,,,,,,,,
"72-82-24-11",2,"No","Yes","Yes","Yes","Yes","No","No","No",11,12,0,,,,,,,,,,,,
"36-18-65-12",1,"No","No","No","No","Yes","No","No","Yes",5,7,0,,,,,,,,,,,,
"42-45-66-86",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"44-14-86-31",2,"Yes","Yes","Yes","Yes","Yes","No","Yes","No",6,3,6,0,1,2,3,4,5,6,0,0,0,0,0
"84-19-29-35",1,"Yes","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"39-19-67-67",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"43-82-97-85",2,"No","Yes","Yes","Yes","Yes","Yes","No","No",8,4,0,,,,,,,,,,,,
"91-14-48-53",2,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"20-26-28-94",2,"Yes","Yes","Yes","No","Yes","No","Yes","No",5,10,2,0,1,2,0,0,0,0,0,0,0,0,0
"23-89-23-81",2,"Yes","Yes","Yes","Yes","No","No","No","No",8,4,1,0,1,0,0,0,0,0,0,0,0,0,0
"52-40-25-11",2,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"58-44-00-29",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",12,4,0,,,,,,,,,,,,
"94-81-60-01",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"00-76-76-29",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"30-24-92-73",4,"Yes","Yes","No","Yes","No","No","No","No",9,9,3,0,0,1,2,3,0,0,0,0,0,0,0
