interview__key,contact_ref_1_rel,contact_ref_2_rel
"15-76-60-42","Friend","Friend"
"31-41-38-46","Brother In Law","Friends"
"01-03-25-84","Sister","Sister"
"31-13-18-39","Child","Child"
"49-33-75-72","Uncle","Friend"
"72-79-79-86","Neighbour","Friend"
"86-17-23-69","Neighbour","Neighbour"
"35-55-11-33","Child","Child"
"74-41-75-97","Neighbour","Chairperson"
"75-64-48-24","Friend","Friend"
"46-90-31-29","Neighbours","Neighbours"
"32-45-37-94","Daughter","Daughter"
"29-06-99-56","Neighbour","Father In Law"
"86-92-94-72","Neighbour","Child"
"95-96-07-01","Friend","Mother Inlaw"
"56-10-42-62","Neighbour","Neighbour"
"39-85-42-75","Relative","Relative"
"51-15-10-63","Neighbour","Neighbour"
"81-75-45-31","Neighbour","Neighbour"
"57-29-61-37","Neighbour","Sister"
"92-19-38-79","Child","Child"
"51-61-36-83","Neighbour","Child"
"26-90-05-49","Son","Brother's  Wife"
"66-97-67-27","Daughter","Neighbour"
"78-48-49-89","Neighbour","Brother"
"98-05-66-83","Child","Cousin"
"78-17-71-31","Brother","Neighbour"
"35-97-55-04","Neighbour","Neighbour"
"01-00-08-00","Sister","Daughter"
"23-16-40-98","Brother","Brother"
"33-60-15-24","Child","Child"
"83-29-00-04","Father","Father"
"39-46-43-34","Sister In Law","Friend"
"83-88-85-49","Friend","Friend"
"86-33-34-77","Child","Grandchild"
"85-40-54-06","Friend","Neighbour"
"99-20-43-65","Neighbour","Neighbour"
"84-47-44-08","Mother","Friend"
"95-71-45-18","Mother","Mother"
"43-23-29-59","Child","Inlaw"
"65-07-52-31","Son","Son"
"24-72-94-40","Son","Neighbour"
"27-52-71-52","Neighbour","Neighbour"
"21-67-72-81","Inlaw","Inlaw"
"40-08-15-69","Balozi","Brother"
"40-09-03-46","Neighbour","Neighbour"
"88-78-79-65","Mother","Head Of The Village"
"72-36-26-24","Friend","Neighbour"
"07-13-49-69","Leader","Sister"
"02-58-47-09","Child","Sister"
"22-68-37-41","Neighbour","Neighbour"
"75-57-77-41","Neighbour","Neighbour"
"04-02-68-66","Head Of Village (Chairman)","Friend"
"02-25-96-16","Child","Child"
"48-71-75-24","Neighbour","Relative"
"81-80-02-23","Neighbour","Friend"
"42-14-73-23","Head Of Village","Neighbour"
"76-93-41-01","Son","Daughter"
"95-12-78-81","Neighbour","Neighbour"
"20-49-21-26","Relative","Relative"
"93-19-03-86","Sister","Village Chairperson"
"83-16-53-05","Child","Sister"
"96-79-62-23","Brother","Brother"
"45-89-04-52","Relative","Neighbour"
"12-50-51-44","Neighbour","Neighbour"
"64-36-21-26","Brother","Brother"
"78-84-99-05","Relative","Relative"
"37-66-37-12","Village Chairpersons Mwanzi","Child"
"52-54-55-08","Sister In Law","Sister"
"32-13-89-08","Neighbour","Relative"
"85-25-22-09","Neighbour","Neighbour"
"72-82-24-11","Neighbour","Relative"
"36-18-65-12","Village Leader","Wife"
"42-45-66-86","Child","Child"
"44-14-86-31","Relative(Father In Law)","Relative"
"84-19-29-35","Child","Relative"
"39-19-67-67","Brother","Friend"
"43-82-97-85","Relative","Neighbour"
"91-14-48-53","Neighbour","Relative"
"20-26-28-94","Aunt","Neighbour"
"23-89-23-81","Friend","Friend"
"52-40-25-11","Brother","Brother"
"58-44-00-29","Relative","Relative"
"94-81-60-01","Son","Son"
"00-76-76-29","Village Chairperson","Mwenyekiti Kitongoji"
"30-24-92-73","Relative","Relative"
"23-53-41-46","##N/A##","##N/A##"
"62-55-13-64","Neighbour","Neighbour"
"42-85-64-91","Friend","Relative"
"90-50-65-07","Relative","Relative"
"54-70-24-21","Mother","Brother"
"38-66-21-90","Mother","Father"
"32-53-90-85","Relative","Relative"
"67-43-43-96","Neighbour","Neighbour"
"30-12-86-30","Neighbour","Relative"
"18-64-04-51","Brother","Brother"
"44-00-42-23","Relative","Neigbour"
"49-30-59-44","Relative","Relative"
"08-14-33-80","Child","Relative"
"03-68-26-31","Neighbour","Daughter"
"76-88-86-20","Relative","Neighbour"
"41-48-09-97","Neighbour","Relative"
"21-76-07-53","Son","Village Chairman"
"01-41-01-54","Sister","Parent"
"13-11-49-85","Neighbour","Neighbour"
"72-37-75-96","Village Head","Child"
"71-85-96-60","Neighbour","Sister"
"92-03-64-77","Village Chairperson","Mwenyekiti Wa Kitongoji"
"33-40-16-02","Child","Sister"
"55-06-75-57","Relative","Relative"
"01-05-06-43","Chairman","Relative"
"12-46-80-99","Second Wife","Close Friend"
"34-76-42-19","Sister","Sister"
"62-44-56-00","Neighbour","Neighbour"
"35-05-05-79","Neighbour","Relative"
"00-88-32-67","Relative","Relative"
"65-77-01-81","Father","Brother"
"68-46-66-56","Village Chairperson","Mother"
"30-46-23-21","Village Chairperson","Neighbours"
"13-17-41-36","Neighbour","Friend"
"99-55-34-47","Neighbour","Relative"
"82-90-83-43","Neighbour","Neighbour"
"98-51-51-03","Relative","Relative"
"10-71-84-42","Relative","Relative"
"49-18-02-61","Neighbour","Relative"
"58-97-08-64","Neighbour","Neighbour"
"61-93-54-26","Friend","Friend"
"51-95-58-91","Relative","Relative"
"32-49-75-13","Friend","Neighbour"
"68-39-51-63","Relative","Relative"
"46-13-75-58","Neighbour","Neighbour"
"40-78-00-02","Sister","Sister In Law"
"69-63-50-52","Sister","Neighbour"
"20-96-52-92","Friend","Brother"
"37-33-23-29","Father Inlaw","Friend"
"55-09-60-79","Sister","Sister"
"13-88-02-80","Relative","Neighbour"
"50-55-09-07","Child","Child"
"85-93-95-50","Neighbour","Pastor"
"97-19-27-00","Neighbour","Brother"
"60-48-30-05","Leader","Leader"
"80-01-40-08","Neighbour","Relative"
"29-52-09-79","Father In Law","Mwenyekiti Wa Kitongoji"
"07-76-06-35","Nephew","Nephew"
"73-75-27-37","Father","Friend"
"99-26-76-45","Relative","Relative"
"91-46-41-86","Relative","Neighbour"
"67-86-22-06","Neighbour","Leader"
"98-64-51-77","Neighbour","Neighbour"
"83-59-27-80","Neighbour","Son"
"12-54-62-85","Neighbour","Neighbour"
"47-32-93-31","Neighbour","Neighbour"
"45-06-90-36","Child","Relative"
"24-42-82-26","Mother","Brother"
"22-27-70-86","Friend","Neighbour"
"04-24-78-04","Child","Child"
