interview__key,r_members__id,memeber_isphone
"15-76-60-42",1,"Yes"
"15-76-60-42",2,"Yes"
"31-41-38-46",2,"Yes"
"31-41-38-46",3,"Yes"
"01-03-25-84",1,"Yes"
"31-13-18-39",1,"Yes"
"49-33-75-72",1,"Yes"
"49-33-75-72",2,"Yes"
"72-79-79-86",1,"Yes"
"35-55-11-33",1,"Yes"
"75-64-48-24",1,"Yes"
"32-45-37-94",1,"Yes"
"29-06-99-56",1,"Yes"
"29-06-99-56",2,"Yes"
"86-92-94-72",1,"Yes"
"95-96-07-01",1,"Yes"
"95-96-07-01",2,"Yes"
"56-10-42-62",1,"Yes"
"39-85-42-75",2,"Yes"
"51-15-10-63",1,"Yes"
"51-15-10-63",2,"Yes"
"81-75-45-31",1,"Yes"
"81-75-45-31",2,"Yes"
"57-29-61-37",1,"Yes"
"57-29-61-37",2,"Yes"
"57-29-61-37",3,"Yes"
"57-29-61-37",4,"Yes"
"92-19-38-79",1,"Yes"
"92-19-38-79",2,"Yes"
"92-19-38-79",3,"Yes"
"51-61-36-83",1,"Yes"
"51-61-36-83",2,"Yes"
"51-61-36-83",3,"Yes"
"26-90-05-49",1,"Yes"
"26-90-05-49",3,"Yes"
"66-97-67-27",1,"Yes"
"66-97-67-27",2,"Yes"
"78-48-49-89",1,"Yes"
"98-05-66-83",1,"Yes"
"78-17-71-31",1,"Yes"
"35-97-55-04",2,"Yes"
"01-00-08-00",1,"Yes"
"23-16-40-98",1,"Yes"
"23-16-40-98",2,"Yes"
"23-16-40-98",3,"Yes"
"23-16-40-98",4,"Yes"
"83-29-00-04",1,"Yes"
"83-29-00-04",2,"Yes"
"83-88-85-49",1,"Yes"
"86-33-34-77",1,"Yes"
"85-40-54-06",1,"Yes"
"99-20-43-65",1,"Yes"
"84-47-44-08",1,"Yes"
"84-47-44-08",2,"Yes"
"84-47-44-08",8,"Yes"
"43-23-29-59",1,"Yes"
"65-07-52-31",1,"Yes"
"65-07-52-31",2,"Yes"
"24-72-94-40",1,"Yes"
"24-72-94-40",2,"Yes"
"27-52-71-52",1,"Yes"
"27-52-71-52",2,"Yes"
"21-67-72-81",1,"Yes"
"21-67-72-81",2,"Yes"
"21-67-72-81",3,"Yes"
"40-08-15-69",1,"Yes"
"40-08-15-69",2,"Yes"
"40-08-15-69",3,"Yes"
"88-78-79-65",1,"Yes"
"88-78-79-65",2,"Yes"
"72-36-26-24",1,"Yes"
"07-13-49-69",1,"Yes"
"07-13-49-69",2,"Yes"
"02-58-47-09",1,"Yes"
"22-68-37-41",1,"Yes"
"75-57-77-41",2,"Yes"
"04-02-68-66",2,"Yes"
"02-25-96-16",5,"Yes"
"02-25-96-16",6,"Yes"
"48-71-75-24",1,"Yes"
"48-71-75-24",2,"Yes"
"81-80-02-23",1,"Yes"
"81-80-02-23",2,"Yes"
"42-14-73-23",1,"Yes"
"76-93-41-01",1,"Yes"
"95-12-78-81",1,"Yes"
"95-12-78-81",7,"Yes"
"95-12-78-81",8,"Yes"
"20-49-21-26",1,"Yes"
"20-49-21-26",2,"Yes"
"83-16-53-05",2,"Yes"
"96-79-62-23",1,"Yes"
"45-89-04-52",1,"Yes"
"45-89-04-52",2,"Yes"
"12-50-51-44",1,"Yes"
"64-36-21-26",1,"Yes"
"64-36-21-26",2,"Yes"
"64-36-21-26",3,"Yes"
"64-36-21-26",4,"Yes"
"64-36-21-26",9,"Yes"
"78-84-99-05",1,"Yes"
"78-84-99-05",2,"Yes"
"37-66-37-12",2,"Yes"
"52-54-55-08",1,"Yes"
"52-54-55-08",2,"Yes"
"52-54-55-08",3,"Yes"
"32-13-89-08",1,"Yes"
"32-13-89-08",2,"Yes"
"85-25-22-09",1,"Yes"
"72-82-24-11",1,"Yes"
"72-82-24-11",2,"Yes"
"72-82-24-11",3,"Yes"
"36-18-65-12",1,"Yes"
"36-18-65-12",2,"Yes"
"44-14-86-31",1,"Yes"
"84-19-29-35",1,"Yes"
"39-19-67-67",1,"Yes"
"39-19-67-67",2,"Yes"
"39-19-67-67",3,"Yes"
"43-82-97-85",1,"Yes"
"43-82-97-85",2,"Yes"
"91-14-48-53",1,"Yes"
"91-14-48-53",2,"Yes"
"91-14-48-53",3,"Yes"
"20-26-28-94",1,"Yes"
"20-26-28-94",2,"Yes"
"20-26-28-94",3,"Yes"
"23-89-23-81",1,"Yes"
"23-89-23-81",4,"Yes"
"23-89-23-81",5,"Yes"
"23-89-23-81",10,"Yes"
"52-40-25-11",1,"Yes"
"52-40-25-11",2,"Yes"
"52-40-25-11",3,"Yes"
"52-40-25-11",4,"Yes"
"58-44-00-29",1,"Yes"
"58-44-00-29",2,"Yes"
"58-44-00-29",3,"Yes"
"94-81-60-01",1,"Yes"
"00-76-76-29",1,"Yes"
"00-76-76-29",2,"Yes"
"30-24-92-73",2,"Yes"
"30-24-92-73",3,"Yes"
"30-24-92-73",4,"Yes"
"62-55-13-64",1,"Yes"
"62-55-13-64",2,"Yes"
"42-85-64-91",1,"Yes"
"42-85-64-91",2,"Yes"
"90-50-65-07",1,"Yes"
"90-50-65-07",2,"Yes"
"54-70-24-21",1,"Yes"
"38-66-21-90",1,"Yes"
"32-53-90-85",3,"Yes"
"67-43-43-96",1,"Yes"
"67-43-43-96",2,"Yes"
"30-12-86-30",1,"Yes"
"30-12-86-30",2,"Yes"
"18-64-04-51",1,"Yes"
"18-64-04-51",2,"Yes"
"18-64-04-51",3,"Yes"
"18-64-04-51",5,"Yes"
"44-00-42-23",1,"Yes"
"44-00-42-23",2,"Yes"
"44-00-42-23",3,"Yes"
"49-30-59-44",1,"Yes"
"49-30-59-44",2,"Yes"
"08-14-33-80",1,"Yes"
"08-14-33-80",2,"Yes"
"76-88-86-20",1,"Yes"
"76-88-86-20",2,"Yes"
"41-48-09-97",1,"Yes"
"41-48-09-97",2,"Yes"
"21-76-07-53",2,"Yes"
"01-41-01-54",1,"Yes"
"01-41-01-54",2,"Yes"
"01-41-01-54",4,"Yes"
"13-11-49-85",1,"Yes"
"13-11-49-85",2,"Yes"
"13-11-49-85",3,"Yes"
"13-11-49-85",4,"Yes"
"72-37-75-96",1,"Yes"
"72-37-75-96",2,"Yes"
"71-85-96-60",2,"Yes"
"92-03-64-77",1,"Yes"
"92-03-64-77",2,"Yes"
"33-40-16-02",2,"Yes"
"55-06-75-57",1,"Yes"
"55-06-75-57",2,"Yes"
"01-05-06-43",1,"Yes"
"12-46-80-99",1,"Yes"
"12-46-80-99",2,"Yes"
"34-76-42-19",2,"Yes"
"62-44-56-00",1,"Yes"
"62-44-56-00",3,"Yes"
"35-05-05-79",1,"Yes"
"35-05-05-79",2,"Yes"
"00-88-32-67",1,"Yes"
"65-77-01-81",1,"Yes"
"65-77-01-81",2,"Yes"
"68-46-66-56",1,"Yes"
"68-46-66-56",2,"Yes"
"13-17-41-36",1,"Yes"
"13-17-41-36",2,"Yes"
"13-17-41-36",3,"Yes"
"13-17-41-36",4,"Yes"
"99-55-34-47",1,"Yes"
"99-55-34-47",2,"Yes"
"98-51-51-03",1,"Yes"
"98-51-51-03",2,"Yes"
"10-71-84-42",1,"Yes"
"49-18-02-61",1,"Yes"
"58-97-08-64",1,"Yes"
"58-97-08-64",2,"Yes"
"61-93-54-26",1,"Yes"
"61-93-54-26",2,"Yes"
"61-93-54-26",3,"Yes"
"51-95-58-91",1,"Yes"
"51-95-58-91",2,"Yes"
"32-49-75-13",1,"Yes"
"32-49-75-13",2,"Yes"
"46-13-75-58",1,"Yes"
"46-13-75-58",2,"Yes"
"40-78-00-02",1,"Yes"
"40-78-00-02",2,"Yes"
"69-63-50-52",1,"Yes"
"20-96-52-92",1,"Yes"
"37-33-23-29",1,"Yes"
"37-33-23-29",2,"Yes"
"55-09-60-79",1,"Yes"
"55-09-60-79",2,"Yes"
"13-88-02-80",1,"Yes"
"50-55-09-07",1,"Yes"
"85-93-95-50",1,"Yes"
"85-93-95-50",2,"Yes"
"97-19-27-00",1,"Yes"
"97-19-27-00",2,"Yes"
"60-48-30-05",1,"Yes"
"80-01-40-08",1,"Yes"
"29-52-09-79",1,"Yes"
"29-52-09-79",5,"Yes"
"07-76-06-35",1,"Yes"
"07-76-06-35",2,"Yes"
"07-76-06-35",3,"Yes"
"73-75-27-37",1,"Yes"
"73-75-27-37",2,"Yes"
"91-46-41-86",2,"Yes"
"91-46-41-86",4,"Yes"
"98-64-51-77",1,"Yes"
"12-54-62-85",2,"Yes"
"45-06-90-36",2,"Yes"
"24-42-82-26",1,"Yes"
"24-42-82-26",2,"Yes"
"22-27-70-86",1,"Yes"
"22-27-70-86",2,"Yes"
"22-27-70-86",3,"Yes"
"04-24-78-04",2,"Yes"
"83-44-01-42",1,"Yes"
"83-44-01-42",2,"Yes"
"55-32-62-10",1,"Yes"
"55-32-62-10",2,"Yes"
"55-32-62-10",3,"Yes"
"79-79-53-26",1,"Yes"
"86-05-40-89",1,"Yes"
"06-02-25-50",1,"Yes"
"96-07-74-28",2,"Yes"
"78-89-03-74",1,"Yes"
"29-15-86-87",1,"Yes"
"29-15-86-87",2,"Yes"
"83-15-50-69",2,"Yes"
"96-73-61-56",1,"Yes"
"96-73-61-56",2,"Yes"
"68-46-53-43",1,"Yes"
"68-46-53-43",2,"Yes"
"79-25-63-35",1,"Yes"
"80-29-04-22",2,"Yes"
"28-29-76-59",1,"Yes"
"28-29-76-59",2,"Yes"
"26-01-09-21",2,"Yes"
"29-37-06-51",2,"Yes"
"81-06-47-80",1,"Yes"
"65-79-07-96",2,"Yes"
"10-31-70-66",1,"Yes"
"32-61-55-41",2,"Yes"
"32-61-55-41",3,"Yes"
"32-61-55-41",4,"Yes"
"33-65-05-28",1,"Yes"
"33-65-05-28",2,"Yes"
"37-31-29-27",1,"Yes"
"13-98-20-22",1,"Yes"
"13-98-20-22",2,"Yes"
"04-80-94-39",1,"Yes"
"04-80-94-39",2,"Yes"
"04-80-94-39",3,"Yes"
"28-75-01-80",1,"Yes"
"28-75-01-80",2,"Yes"
"30-19-51-31",1,"Yes"
"30-19-51-31",2,"Yes"
"83-66-69-06",2,"Yes"
"26-43-59-91",1,"Yes"
"97-96-91-38",2,"Yes"
"27-34-90-31",1,"Yes"
"23-72-17-40",1,"Yes"
"23-72-17-40",2,"Yes"
"23-72-17-40",3,"Yes"
"39-58-22-39",1,"Yes"
"39-58-22-39",2,"Yes"
"97-79-33-71",1,"Yes"
"60-54-64-58",1,"Yes"
"89-99-48-67",1,"Yes"
"44-61-50-65",1,"Yes"
"12-80-78-48",1,"Yes"
"12-80-78-48",2,"Yes"
"28-02-97-48",1,"Yes"
"28-02-97-48",2,"Yes"
"28-02-97-48",3,"Yes"
"70-19-76-68",1,"Yes"
"70-19-76-68",2,"Yes"
"46-78-87-50",1,"Yes"
"46-78-87-50",2,"Yes"
"18-43-40-98",1,"Yes"
"50-39-55-52",1,"Yes"
"82-64-50-66",1,"Yes"
"82-64-50-66",2,"Yes"
"46-02-32-25",1,"Yes"
"33-22-63-71",1,"Yes"
"33-22-63-71",2,"Yes"
"95-96-92-75",1,"Yes"
"19-37-18-76",1,"Yes"
"19-37-18-76",2,"Yes"
"48-48-94-57",1,"Yes"
"48-48-94-57",2,"Yes"
"48-48-94-57",3,"Yes"
"03-43-60-42",1,"Yes"
"58-75-54-61",1,"Yes"
"58-75-54-61",2,"Yes"
"58-75-54-61",3,"Yes"
"58-75-54-61",4,"Yes"
"49-89-37-09",1,"Yes"
"76-49-10-53",1,"Yes"
"76-49-10-53",2,"Yes"
"76-59-40-83",1,"Yes"
"76-59-40-83",2,"Yes"
"32-82-77-77",1,"Yes"
"32-82-77-77",2,"Yes"
"83-91-87-26",1,"Yes"
"29-06-51-62",1,"Yes"
"47-99-10-89",1,"Yes"
"81-41-75-01",1,"Yes"
"81-41-75-01",3,"Yes"
"81-41-75-01",4,"Yes"
"76-68-21-05",1,"Yes"
"47-73-43-68",1,"Yes"
"47-73-43-68",2,"Yes"
"47-73-43-68",3,"Yes"
"47-73-43-68",4,"Yes"
"51-60-71-39",1,"Yes"
"51-60-71-39",2,"Yes"
"51-60-71-39",3,"Yes"
"51-60-71-39",5,"Yes"
"10-22-07-48",1,"Yes"
"36-41-17-07",1,"Yes"
"36-41-17-07",2,"Yes"
"52-56-02-56",1,"Yes"
"32-96-32-91",1,"Yes"
"32-96-32-91",2,"Yes"
"32-96-32-91",6,"Yes"
"54-77-99-69",1,"Yes"
"10-69-04-21",1,"Yes"
"10-69-04-21",2,"Yes"
"10-69-04-21",3,"Yes"
"10-69-04-21",4,"Yes"
"25-34-66-08",1,"Yes"
"25-34-66-08",2,"Yes"
"29-70-97-81",1,"Yes"
"29-70-97-81",2,"Yes"
"16-38-85-69",1,"Yes"
"16-38-85-69",2,"Yes"
"16-38-85-69",3,"Yes"
"34-85-34-32",3,"Yes"
"87-75-27-62",2,"Yes"
"03-56-68-20",1,"Yes"
"03-56-68-20",4,"Yes"
"96-99-31-77",1,"Yes"
"96-99-31-77",2,"Yes"
"43-76-23-18",1,"Yes"
"43-76-23-18",2,"Yes"
"47-55-12-39",1,"Yes"
"47-55-12-39",3,"Yes"
"47-55-12-39",7,"Yes"
"26-14-45-15",1,"Yes"
"26-14-45-15",2,"Yes"
"92-21-19-80",1,"Yes"
"92-21-19-80",2,"Yes"
"69-22-78-98",1,"Yes"
"69-22-78-98",2,"Yes"
"72-81-88-52",1,"Yes"
"99-60-35-75",1,"Yes"
"99-60-35-75",2,"Yes"
"22-09-50-57",1,"Yes"
"22-09-50-57",2,"Yes"
"22-09-50-57",3,"Yes"
"22-09-50-57",4,"Yes"
"88-99-86-73",1,"Yes"
"71-42-32-14",1,"Yes"
"71-42-32-14",2,"Yes"
"30-04-61-14",1,"Yes"
"67-60-72-31",1,"Yes"
"32-10-01-18",1,"Yes"
"32-10-01-18",2,"Yes"
"22-48-15-22",1,"Yes"
"22-48-15-22",2,"Yes"
"06-04-90-02",1,"Yes"
"06-04-90-02",2,"Yes"
"89-93-26-33",1,"Yes"
"89-93-26-33",2,"Yes"
"16-51-24-24",1,"Yes"
"85-00-63-86",1,"Yes"
"85-00-63-86",2,"Yes"
"24-74-06-95",2,"Yes"
"24-74-06-95",3,"Yes"
"76-24-30-21",1,"Yes"
"76-24-30-21",2,"Yes"
"27-56-82-36",2,"Yes"
"98-24-74-63",1,"Yes"
"98-24-74-63",2,"Yes"
"98-24-74-63",3,"Yes"
"33-63-66-85",1,"Yes"
"33-63-66-85",2,"Yes"
"36-81-79-37",1,"Yes"
"36-81-79-37",2,"Yes"
"98-23-40-44",1,"Yes"
"98-23-40-44",2,"Yes"
"37-22-37-99",1,"Yes"
"00-67-21-61",1,"Yes"
"00-67-21-61",2,"Yes"
"00-67-21-61",3,"Yes"
"00-67-21-61",4,"Yes"
"00-01-36-74",1,"Yes"
"07-23-47-52",1,"Yes"
"07-23-47-52",2,"Yes"
"07-42-94-81",1,"Yes"
"23-53-17-58",1,"Yes"
"23-53-17-58",2,"Yes"
"23-53-17-58",3,"Yes"
"23-53-17-58",7,"Yes"
"23-53-17-58",8,"Yes"
"36-44-48-22",1,"Yes"
"66-23-65-75",1,"Yes"
"94-52-36-12",1,"Yes"
"94-52-36-12",2,"Yes"
"34-33-60-75",1,"Yes"
"94-14-40-52",1,"Yes"
"94-14-40-52",2,"Yes"
"85-43-64-12",1,"Yes"
"85-43-64-12",2,"Yes"
"95-30-04-02",1,"Yes"
"95-30-04-02",2,"Yes"
"92-70-85-41",1,"Yes"
"92-70-85-41",3,"Yes"
"48-49-97-86",1,"Yes"
"84-79-52-42",1,"Yes"
"49-71-84-27",1,"Yes"
"49-71-84-27",2,"Yes"
"62-50-68-38",1,"Yes"
"62-50-68-38",2,"Yes"
"27-08-48-72",1,"Yes"
"27-08-48-72",2,"Yes"
"27-08-48-72",3,"Yes"
"77-27-65-41",1,"Yes"
"77-27-65-41",2,"Yes"
"70-31-22-22",1,"Yes"
"44-03-12-81",1,"Yes"
"44-03-12-81",2,"Yes"
"02-54-15-71",1,"Yes"
"02-54-15-71",2,"Yes"
"62-99-04-33",1,"Yes"
"62-99-04-33",2,"Yes"
"42-85-59-02",1,"Yes"
"42-85-59-02",4,"Yes"
"02-53-80-77",1,"Yes"
"02-53-80-77",2,"Yes"
"02-53-80-77",3,"Yes"
"50-80-96-28",1,"Yes"
"50-80-96-28",2,"Yes"
"11-91-04-75",2,"Yes"
"11-91-04-75",3,"Yes"
"25-18-28-61",1,"Yes"
"25-18-28-61",2,"Yes"
"59-58-64-54",1,"Yes"
"68-47-48-14",1,"Yes"
"68-47-48-14",2,"Yes"
"64-84-94-47",1,"Yes"
"47-86-51-93",1,"Yes"
"89-64-71-91",1,"Yes"
"89-64-71-91",2,"Yes"
"89-64-71-91",3,"Yes"
"32-24-09-18",1,"Yes"
"32-24-09-18",2,"Yes"
"54-13-98-82",1,"Yes"
"54-13-98-82",2,"Yes"
"21-11-21-29",1,"Yes"
"81-55-77-74",1,"Yes"
"81-55-77-74",2,"Yes"
"23-00-40-40",2,"Yes"
"17-59-86-59",1,"Yes"
"89-73-28-02",2,"Yes"
"89-73-28-02",3,"Yes"
"14-55-50-79",1,"Yes"
"14-55-50-79",2,"Yes"
"60-36-21-40",1,"Yes"
"60-36-21-40",2,"Yes"
"57-25-85-63",1,"Yes"
"57-25-85-63",2,"Yes"
"57-25-85-63",3,"Yes"
"80-36-08-51",2,"Yes"
"73-98-72-78",1,"Yes"
"73-98-72-78",2,"Yes"
"73-98-72-78",3,"Yes"
"48-58-14-95",1,"Yes"
"48-58-14-95",3,"Yes"
"08-00-46-02",1,"Yes"
"45-96-62-88",1,"Yes"
"58-44-41-63",2,"Yes"
"58-44-41-63",3,"Yes"
"36-02-91-03",1,"Yes"
"29-24-40-33",1,"Yes"
"29-24-40-33",2,"Yes"
"64-42-73-18",1,"Yes"
"56-97-76-00",1,"Yes"
"56-97-76-00",2,"Yes"
"56-97-76-00",3,"Yes"
"37-93-28-73",1,"Yes"
"37-93-28-73",2,"Yes"
"03-58-95-42",1,"Yes"
"15-23-04-89",2,"Yes"
"51-35-95-32",1,"Yes"
"51-35-95-32",2,"Yes"
"51-35-95-32",3,"Yes"
"32-54-58-03",1,"Yes"
"32-54-58-03",2,"Yes"
"45-15-07-99",1,"Yes"
"45-15-07-99",2,"Yes"
"59-16-11-16",1,"Yes"
"78-92-27-80",1,"Yes"
"24-78-22-03",1,"Yes"
"24-78-22-03",2,"Yes"
"61-90-23-18",1,"Yes"
"61-90-23-18",2,"Yes"
"36-41-14-75",1,"Yes"
"15-24-20-62",1,"Yes"
"15-24-20-62",2,"Yes"
"13-30-97-65",1,"Yes"
"13-30-97-65",2,"Yes"
"62-39-49-91",1,"Yes"
"37-93-31-47",1,"Yes"
"37-93-31-47",2,"Yes"
"37-93-31-47",3,"Yes"
"41-29-34-43",1,"Yes"
"41-29-34-43",2,"Yes"
"24-91-36-31",1,"Yes"
"85-94-51-81",1,"Yes"
"85-94-51-81",2,"Yes"
"85-94-51-81",5,"Yes"
"05-53-82-60",1,"Yes"
"05-53-82-60",2,"Yes"
"79-66-45-07",1,"Yes"
"53-49-72-57",4,"Yes"
"53-49-72-57",5,"Yes"
"66-30-66-08",1,"Yes"
"36-62-86-65",1,"Yes"
"36-62-86-65",2,"Yes"
"64-59-07-31",1,"Yes"
"64-59-07-31",2,"Yes"
"14-20-80-15",1,"Yes"
"14-20-80-15",3,"Yes"
"78-03-04-37",1,"Yes"
"56-24-05-48",1,"Yes"
"56-24-05-48",3,"Yes"
"53-23-20-20",1,"Yes"
"53-23-20-20",2,"Yes"
"67-64-28-49",1,"Yes"
"75-72-38-92",1,"Yes"
"75-72-38-92",2,"Yes"
"37-95-25-26",1,"Yes"
"37-95-25-26",2,"Yes"
"16-25-25-05",1,"Yes"
"61-27-42-98",1,"Yes"
"61-27-42-98",2,"Yes"
"47-23-15-41",1,"Yes"
"47-23-15-41",2,"Yes"
"47-23-15-41",3,"Yes"
"47-23-15-41",4,"Yes"
"19-28-77-73",1,"Yes"
"68-18-94-35",1,"Yes"
"68-18-94-35",2,"Yes"
"93-76-84-35",1,"Yes"
"44-86-19-68",1,"Yes"
"44-86-19-68",2,"Yes"
"99-24-36-43",1,"Yes"
