interview__key,ctry,region,dist,ward,village,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"15-76-60-42","Tanzania","Iringa","Kilolo","Mlafu","luwindo","Mjimwema","20005536","No","Yes","Household not found","","Yes","Yes",,,,
"31-41-38-46","Tanzania","Iringa","Kilolo","Mlafu","luhindu","Mjimwema","20005540","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"01-03-25-84","Tanzania","Iringa","Kilolo","Mlafu","luhindo","Mjimwema","20005534","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"31-13-18-39","Tanzania","Iringa","Kilolo","Dabaga","ilamba","Mkulima","20004736","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"49-33-75-72","Tanzania","Iringa","Kilolo","Dabaga","Ilamba","Mkulima","20004741","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"72-79-79-86","Tanzania","Iringa","Kilolo","Mlafu","luhindo","Mjimwema","20005537","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"86-17-23-69","Tanzania","Iringa","Kilolo","Mlafu","Luhindu","Mjimwema","20005535","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"35-55-11-33","Tanzania","Iringa","Kilolo","Mlafu","Luhindo","Mjimwema","20005531","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"74-41-75-97","Tanzania","Iringa","Kilolo","Dabaga","Ilamba","Mkulima","20004738","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"75-64-48-24","Tanzania","Iringa","Kilolo","Mlafu","luhindo","Mjimwema","20005533","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"46-90-31-29","Tanzania","Iringa","Kilolo","Dabaga","Ilamba","Mkulima","20004735","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"32-45-37-94","Tanzania","Iringa","Kilolo","Mlafu","Luhindo","Mjimwema","20005541","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"29-06-99-56","Tanzania","Iringa","Kilolo","Dabaga","Ilamba","Mkulima","20004742","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"86-92-94-72","Tanzania","Iringa","Kilolo","Mlafu","Luhindo","Mjimwema","20005538","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"95-96-07-01","Tanzania","Iringa","Kilolo","Mlafu","luhindo","Mjimwema","20005532","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"56-10-42-62","Tanzania","Iringa","Kilolo","Dabaga","Ilamba","Mkulima","20004737","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"39-85-42-75","Tanzania","Iringa","Kilolo","Ng'uruhe","Lukani","Isengavakiva","20005838","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"51-15-10-63","Tanzania","Iringa","Kilolo","Ng'uruhe","Lukani","Isengavakiva","20005841","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"81-75-45-31","Tanzania","Iringa","Kilolo","Dabaga","Ilamba","Mkulima","20004740","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"57-29-61-37","Tanzania","Iringa","Kilolo","Mlafu","Luhindo","Mjimwema","20005542","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"92-19-38-79","Tanzania","Iringa","Kilolo","Dabaga","Ilamba","Mkulima","20004743","Yes",,,"",,"No",1,"Head of the household",,"Yes"
