interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"15-76-60-42","No",,,,,,,,,,,"",,.25,,"No"
"31-41-38-46","No",,,,,,,,,,,"",,1,,"No"
"01-03-25-84","No",,,,,,,,,,,"",,1,,"No"
"31-13-18-39",,,,,,,,,,,,"",,,,
"49-33-75-72",,,,,,,,,,,,"",,,,
"72-79-79-86",,,,,,,,,,,,"",,,,
"86-17-23-69","No",,,,,,,,,,,"",,2,,"No"
"35-55-11-33",,,,,,,,,,,,"",,,,
"74-41-75-97",,,,,,,,,,,,"",,,,
"75-64-48-24",,,,,,,,,,,,"",,,,
"46-90-31-29",,,,,,,,,,,,"",,,,
"32-45-37-94",,,,,,,,,,,,"",,,,
"29-06-99-56","No",,,,,,,,,,,"",,18,,"No"
"86-92-94-72","No",,,,,,,,,,,"",,.5,,"No"
"95-96-07-01","No",,,,,,,,,,,"",,3,,"No"
"56-10-42-62","No",,,,,,,,,,,"",,7,,"No"
"39-85-42-75","No",,,,,,,,,,,"",,11,,"No"
"51-15-10-63",,,,,,,,,,,,"",,,,
"81-75-45-31","No",,,,,,,,,,,"",,55,,"No"
"57-29-61-37","No",,,,,,,,,,,"",,.25,,"No"
"92-19-38-79","No",,,,,,,,,,,"",,18,,"No"
"51-61-36-83","No",,,,,,,,,,,"",,15,,"No"
"26-90-05-49",,,,,,,,,,,,"",,,,
"66-97-67-27","No",,,,,,,,,,,"",,6,,"No"
"78-48-49-89","No",,,,,,,,,,,"",,6,,"No"
"98-05-66-83","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the farm",2,12000,"No"
"78-17-71-31","No",,,,,,,,,,,"",,5,,"No"
"35-97-55-04","No",,,,,,,,,,,"",,38,,"No"
"01-00-08-00","No",,,,,,,,,,,"",,1,,"No"
"23-16-40-98","No",,,,,,,,,,,"",,3,,"No"
"33-60-15-24",,,,,,,,,,,,"",,,,
"83-29-00-04","No",,,,,,,,,,,"",,.1,,"No"
"39-46-43-34","No",,,,,,,,,,,"",,1,,"No"
"83-88-85-49","No",,,,,,,,,,,"",,30,,"No"
"86-33-34-77","No",,,,,,,,,,,"",,20,,"No"
"85-40-54-06",,,,,,,,,,,,"",,,,
"99-20-43-65","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Market in this village",5,38000,"No"
"84-47-44-08","No",,,,,,,,,,,"",,6,,"No"
"95-71-45-18","No",,,,,,,,,,,"",,.25,,"No"
"43-23-29-59","No",,,,,,,,,,,"",,6,,"No"
"65-07-52-31","No",,,,,,,,,,,"",,10,,"No"
"24-72-94-40","No",,,,,,,,,,,"",,10,,"No"
"27-52-71-52","Yes","No","Yes","No","Yes","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",.5,360000,"No"
"21-67-72-81","No",,,,,,,,,,,"",,7,,"No"
"40-08-15-69",,,,,,,,,,,,"",,,,
"40-09-03-46",,,,,,,,,,,,"",,,,
"88-78-79-65","No",,,,,,,,,,,"",,1,,"No"
"72-36-26-24","No",,,,,,,,,,,"",,5,,"No"
"07-13-49-69","No",,,,,,,,,,,"",,1,,"No"
"02-58-47-09","No",,,,,,,,,,,"",,15,,"No"
"22-68-37-41","No",,,,,,,,,,,"",,5,,"No"
"75-57-77-41",,,,,,,,,,,,"",,,,
"04-02-68-66","No",,,,,,,,,,,"",,50,,"No"
"02-25-96-16","No",,,,,,,,,,,"",,1,,"No"
"48-71-75-24","No",,,,,,,,,,,"",,30,,"No"
"81-80-02-23",,,,,,,,,,,,"",,,,
