interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"15-76-60-42",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",10,10
"15-76-60-42",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",6,6
"15-76-60-42",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 20s",9,9
"31-41-38-46",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Hehe","","In their 50s",20,10
"31-41-38-46",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Hehe","","In their 50s",20,10
"31-41-38-46",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Hehe","","In their 50s",20,10
"01-03-25-84",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",7,0
"01-03-25-84",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Hehe","","In their 30s",15,7
"01-03-25-84",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",4,0
"31-13-18-39",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Other, Specify","mkinga","In their 40s",3,0
"31-13-18-39",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Other, Specify","mkinga","In their 60s",2,0
"31-13-18-39",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",1,0
"49-33-75-72",1,"No","No","No","No","Yes","Yes","No","No","No","No","No","No",,"Men","Other, Specify","Mwanji","In their 40s",5,5
"49-33-75-72",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Mwanji","In their 40s",7,3
"49-33-75-72",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Other, Specify","Mwanji","In their 30s",10,10
"72-79-79-86",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",5,0
"72-79-79-86",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Hehe","","In their 40s",0,0
"72-79-79-86",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Hehe","","In their 30s",20,0
"86-17-23-69",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 30s",3,2
"86-17-23-69",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 60s",3,3
"86-17-23-69",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Hehe","","&gt;70",2,3
"35-55-11-33",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Hehe","","In their 30s",2,3
"35-55-11-33",2,"No","No","No","No","Yes","No","No","No","Yes","No","No","No",,"Men","Hehe","","In their 20s",5,30
