interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"15-76-60-42","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,8000,,,,,,,,,,
"31-41-38-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-03-25-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-13-18-39","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-33-75-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-79-79-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-17-23-69","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-55-11-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-41-75-97","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-64-48-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-90-31-29","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"32-45-37-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-06-99-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-92-94-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"95-96-07-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-10-42-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-85-42-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"51-15-10-63","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"81-75-45-31","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No",,8000,,,,,,,,,,
"57-29-61-37","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No",,10000,,,,,,,,,,
"92-19-38-79","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"51-61-36-83","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-90-05-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-97-67-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-48-49-89","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-05-66-83","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-17-71-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-97-55-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-00-08-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"23-16-40-98","Yes","No","100-500 m","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,6000,,,,,,,,,,
"33-60-15-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-29-00-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-46-43-34","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-88-85-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-33-34-77","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-40-54-06","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
