interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"15-76-60-42","Acres","",4,3,5,0,.5,0,0,"Private owned with no land title","Private owned with no land title","Private owned with no land title",,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No",,"No",,,,,,,2000,"Slight decrease","Massive decrease","No",,,"",4,"Yes","for agriculture activities"
"31-41-38-46","Acres","",2,0,.5,0,.25,0,0,"Private owned with land title",,"Private owned with no land title",,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",3,"Yes","to expand agriculture activities"
"01-03-25-84","Acres","",2,1,0,0,0,0,0,"State owned","State owned",,,,,,"Yes","Within family","","Nowhere","","Yes","unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,600,"Slight increase","Slight increase","No",,,"",3,"Yes","for farming purpose"
"31-13-18-39","Hectares","",1,0,0,0,1,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",1,"No","too old to work on farming activities"
"49-33-75-72","Acres","",3,0,2,0,.75,0,0,"Leased/rented",,"Private owned with land title",,"Private owned with land title",,,"Yes","Other individuals","","Clan / Elder","","Yes","unlikely","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No",,"Yes",3,"Yes","No","No","No",,4500,"Massive decrease","Massive decrease","No",,,"",3,"Yes","I have much money compared to earlier I need to increase plots with that reason"
"72-79-79-86","Acres","",1,0,0,0,0,0,0,"State owned",,,,,,,"Yes","Within family","","Village headman / chairperson","","Yes","Maybe, maybe not","Yes","No","No","No","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","I don't have enough money to buy another plot"
"86-17-23-69","Acres","",4,0,0,0,.25,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"No","I AM ELDERY"
"35-55-11-33","Acres","",1,0,.5,0,1,0,0,"Leased/rented",,"State owned",,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","No","No","No","No","No","No","Yes","No","No",,"Yes",.5,"No","No","Yes","No",,0,"Slight decrease","Massive decrease","No",,,"",1,"No","No money to buy another plot"
"74-41-75-97","Acres","",3,2,1.5,0,1,0,0,"Private owned with no land title","Private owned with no land title","Private owned with no land title",,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No",,"No",,,,,,,1100,"Slight decrease","Massive decrease","No",,,"",1,"Yes","To increase productivity"
"75-64-48-24","Acres","",1,0,0,0,.25,0,0,"Leased/rented",,,,"Private owned with no land title",,,"No",,"",,"",,"Likely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",0,"Yes","securing land for children"
"46-90-31-29","Hectares","",4,0,0,0,.25,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",4,"No","I have enough  land now"
