interview__key,r_livestock__id,lv01,lv02,lv03,lv04,lv_inkind_pay,lv05,lv06,lv07,lv08
"15-76-60-42","Pigs - Boar/Sows/Piglets",6,2,4,0,0,0,0,0,350000
"15-76-60-42","Chicken - Hens/Layers",34,15,5,4,0,0,5,3,14000
"31-41-38-46","Pigs - Boar/Sows/Piglets",2,0,0,0,0,0,2,0,
"31-41-38-46","Chicken - Hens/Layers",20,10,0,2,0,0,0,8,
"01-03-25-84","Cows/Heifers",3,3,0,0,0,0,0,0,
"01-03-25-84","Chicken - Hens/Layers",22,13,3,6,0,0,9,0,15000
"86-17-23-69","Chicken - Cocks/Broilers",8,2,0,6,0,0,0,0,
"29-06-99-56","Pigs - Boar/Sows/Piglets",0,1,0,0,0,0,1,0,
"29-06-99-56","Chicken - Hens/Layers",5,4,4,0,0,0,0,0,10000
"86-92-94-72","Chicken - Cocks/Broilers",5,4,0,1,0,0,0,0,
"86-92-94-72","Chicken - Hens/Layers",6,4,0,2,0,0,0,0,
"95-96-07-01","Other➡️specify",30,15,0,15,0,0,0,0,
"56-10-42-62","Pigs - Boar/Sows/Piglets",1,1,0,0,0,0,0,0,
"39-85-42-75","Goats - He/She/Kids",5,10,0,0,0,0,0,0,
"39-85-42-75","Chicken - Cocks/Broilers",1,1,0,0,0,0,0,0,
"39-85-42-75","Chicken - Hens/Layers",11,2,9,0,0,0,0,0,5000
"81-75-45-31","Pigs - Boar/Sows/Piglets",2,1,0,0,0,0,2,0,
"81-75-45-31","Chicken - Hens/Layers",12,6,0,5,0,0,4,0,
"57-29-61-37","Chicken - Cocks/Broilers",0,4,0,0,0,0,0,0,
"57-29-61-37","Chicken - Hens/Layers",0,4,0,0,0,0,0,0,
"92-19-38-79","Pigs - Boar/Sows/Piglets",0,11,0,0,0,0,11,0,
"51-61-36-83","Pigs - Boar/Sows/Piglets",1,1,0,0,0,0,0,0,
"51-61-36-83","Chicken - Hens/Layers",70,34,14,12,0,0,18,8,15000
"66-97-67-27","Cows/Heifers",1,1,0,0,0,0,0,0,
"66-97-67-27","Calves - Males/Females",2,0,2,0,0,0,0,0,300000
"78-48-49-89","Pigs - Boar/Sows/Piglets",7,0,3,0,0,0,4,0,150000
"78-48-49-89","Other➡️specify",4,4,0,0,0,0,0,0,
"98-05-66-83","Cows/Heifers",2,4,3,0,0,0,1,0,600000
"98-05-66-83","Chicken - Cocks/Broilers",6,2,3,3,0,0,0,0,15000
"98-05-66-83","Chicken - Hens/Layers",10,4,6,2,0,1,0,0,9000
"78-17-71-31","Chicken - Cocks/Broilers",3,0,3,0,0,0,0,0,15000
"78-17-71-31","Chicken - Hens/Layers",12,0,7,2,0,0,3,0,10000
"35-97-55-04","Bulls/Oxen/Steers",4,5,0,0,0,0,0,0,
"35-97-55-04","Cows/Heifers",4,3,0,0,0,0,1,0,
"35-97-55-04","Calves - Males/Females",0,2,0,0,0,0,0,0,
"35-97-55-04","Chicken - Cocks/Broilers",0,11,0,0,0,0,0,0,
"35-97-55-04","Chicken - Hens/Layers",1,8,0,0,0,0,0,0,
"01-00-08-00","Chicken - Cocks/Broilers",3,1,2,0,0,0,0,0,15000
"01-00-08-00","Chicken - Hens/Layers",10,5,5,0,0,0,0,0,10000
"23-16-40-98","Pigs - Boar/Sows/Piglets",3,0,0,0,0,0,3,0,
"23-16-40-98","Chicken - Hens/Layers",15,10,0,7,0,0,7,5,
"83-29-00-04","Bulls/Oxen/Steers",6,4,2,0,0,0,0,0,650000
"83-29-00-04","Cows/Heifers",7,5,1,0,0,1,0,0,500000
"83-29-00-04","Calves - Males/Females",0,2,0,0,0,0,0,0,
"83-29-00-04","Chicken - Cocks/Broilers",20,28,0,0,0,0,0,0,
"83-29-00-04","Chicken - Hens/Layers",6,8,0,0,0,0,0,0,
"39-46-43-34","Chicken - Cocks/Broilers",2,1,1,0,0,0,0,0,19000
"39-46-43-34","Chicken - Hens/Layers",10,6,4,0,0,0,0,0,9000
"83-88-85-49","Chicken - Hens/Layers",10,4,4,2,0,0,0,0,12000
"83-88-85-49","Other➡️specify",22,13,9,0,0,0,0,0,1000
"86-33-34-77","Chicken - Cocks/Broilers",5,2,1,0,0,0,2,0,12000
"99-20-43-65","Pigs - Boar/Sows/Piglets",3,1,2,0,0,0,0,0,100000
"99-20-43-65","Chicken - Cocks/Broilers",3,1,0,2,0,0,0,0,
"99-20-43-65","Chicken - Hens/Layers",30,3,0,0,0,0,27,0,
"84-47-44-08","Chicken - Cocks/Broilers",40,30,20,5,0,2,30,15,15000
"95-71-45-18","Goats - He/She/Kids",1,3,0,0,0,0,0,0,
"95-71-45-18","Chicken - Hens/Layers",2,6,3,2,0,0,0,0,10000
"43-23-29-59","Bulls/Oxen/Steers",2,2,0,0,0,0,0,0,
"43-23-29-59","Goats - He/She/Kids",2,7,0,0,0,0,0,0,
"65-07-52-31","Goats - He/She/Kids",6,2,2,0,0,0,0,0,40000
"65-07-52-31","Other➡️specify",46,40,0,2,0,2,0,0,
"24-72-94-40","Chicken - Cocks/Broilers",2,1,1,0,0,0,0,0,10000
"24-72-94-40","Chicken - Hens/Layers",10,5,0,0,0,0,10,0,
"27-52-71-52","Cows/Heifers",9,12,0,0,0,0,0,0,
"27-52-71-52","Calves - Males/Females",3,3,0,0,0,0,0,0,
"27-52-71-52","Goats - He/She/Kids",6,5,0,1,0,0,0,0,
"27-52-71-52","Pigs - Boar/Sows/Piglets",9,0,6,0,0,0,3,0,360000
"27-52-71-52","Chicken - Cocks/Broilers",4,3,0,1,0,0,0,0,
"27-52-71-52","Chicken - Hens/Layers",13,9,0,4,0,0,0,0,
"21-67-72-81","Goats - He/She/Kids",10,5,5,1,0,0,0,0,70000
"21-67-72-81","Pigs - Boar/Sows/Piglets",3,1,2,0,0,0,0,0,250000
"21-67-72-81","Chicken - Hens/Layers",45,30,5,5,0,1,15,2,8000
"88-78-79-65","Chicken - Cocks/Broilers",15,5,2,3,0,0,5,0,15000
"88-78-79-65","Chicken - Hens/Layers",10,7,0,0,0,0,3,0,
"72-36-26-24","Chicken - Cocks/Broilers",2,1,0,0,0,0,1,0,
"72-36-26-24","Chicken - Hens/Layers",2,6,0,0,0,0,2,0,
"07-13-49-69","Pigs - Boar/Sows/Piglets",1,1,0,0,0,0,0,0,
"07-13-49-69","Chicken - Cocks/Broilers",6,2,0,0,0,0,4,0,
"07-13-49-69","Chicken - Hens/Layers",15,4,2,4,0,0,5,0,12000
"02-58-47-09","Pigs - Boar/Sows/Piglets",2,2,0,0,0,0,0,0,
"02-58-47-09","Chicken - Cocks/Broilers",1,1,0,0,0,0,1,0,
"02-58-47-09","Chicken - Hens/Layers",15,4,0,2,0,0,9,0,
"22-68-37-41","Goats - He/She/Kids",10,12,5,0,0,0,0,0,50000
"22-68-37-41","Chicken - Cocks/Broilers",5,3,2,0,0,0,1,0,16000
"22-68-37-41","Chicken - Hens/Layers",15,3,3,2,0,1,7,0,9000
"04-02-68-66","Cows/Heifers",4,4,0,0,0,0,0,0,
"02-25-96-16","Chicken - Hens/Layers",7,4,2,1,0,0,4,0,10000
"48-71-75-24","Chicken - Hens/Layers",20,2,4,2,0,0,8,3,7500
"42-14-73-23","Pigs - Boar/Sows/Piglets",1,1,0,0,0,0,0,0,
"42-14-73-23","Chicken - Cocks/Broilers",2,2,0,0,0,0,0,0,
"42-14-73-23","Chicken - Hens/Layers",20,6,0,0,0,0,14,0,
"95-12-78-81","Bulls/Oxen/Steers",8,8,0,0,0,0,0,0,
"95-12-78-81","Cows/Heifers",25,28,0,0,0,0,2,0,
"20-49-21-26","Goats - He/She/Kids",5,0,0,0,0,0,5,0,
"20-49-21-26","Pigs - Boar/Sows/Piglets",3,0,0,0,0,0,3,0,
"20-49-21-26","Chicken - Cocks/Broilers",1,0,0,0,0,0,1,0,
"20-49-21-26","Chicken - Hens/Layers",8,0,0,0,0,0,8,0,
"83-16-53-05","Pigs - Boar/Sows/Piglets",0,1,0,0,0,0,0,0,
"96-79-62-23","Chicken - Cocks/Broilers",4,1,1,0,0,0,2,0,12000
"96-79-62-23","Chicken - Hens/Layers",16,10,0,0,0,0,6,0,
"45-89-04-52","Chicken - Cocks/Broilers",3,1,0,0,0,0,2,0,
"45-89-04-52","Chicken - Hens/Layers",4,3,0,0,0,0,1,0,
"12-50-51-44","Chicken - Cocks/Broilers",1,1,0,0,0,0,0,0,
"12-50-51-44","Chicken - Hens/Layers",3,8,0,0,0,0,3,0,
"78-84-99-05","Chicken - Cocks/Broilers",2,0,2,0,0,0,0,0,12000
"78-84-99-05","Chicken - Hens/Layers",1,2,0,0,0,0,0,0,
"37-66-37-12","Pigs - Boar/Sows/Piglets",4,1,3,0,0,0,2,0,45000
"52-54-55-08","Pigs - Boar/Sows/Piglets",8,5,0,0,0,0,3,0,
"52-54-55-08","Chicken - Cocks/Broilers",16,2,14,0,0,0,0,0,12000
"52-54-55-08","Chicken - Hens/Layers",10,16,4,0,0,0,0,0,8000
"32-13-89-08","Pigs - Boar/Sows/Piglets",1,1,0,0,0,0,0,0,
"85-25-22-09","Chicken - Hens/Layers",47,11,0,0,0,0,36,0,
"72-82-24-11","Pigs - Boar/Sows/Piglets",4,1,0,0,0,0,3,0,
"72-82-24-11","Chicken - Hens/Layers",12,8,0,0,0,0,4,0,
"42-45-66-86","Chicken - Cocks/Broilers",8,4,6,1,0,1,0,0,7000
"42-45-66-86","Chicken - Hens/Layers",6,2,0,1,0,0,3,1,
"44-14-86-31","Chicken - Cocks/Broilers",4,0,0,0,0,0,4,0,
"44-14-86-31","Chicken - Hens/Layers",6,0,0,0,0,0,6,0,
"84-19-29-35","Chicken - Hens/Layers",20,2,0,0,0,0,12,6,
"39-19-67-67","Pigs - Boar/Sows/Piglets",10,6,6,0,0,0,0,0,150000
"39-19-67-67","Chicken - Hens/Layers",20,6,3,2,0,1,0,0,15000
"43-82-97-85","Chicken - Cocks/Broilers",3,3,0,0,0,0,1,0,
"43-82-97-85","Chicken - Hens/Layers",6,4,0,0,0,0,2,0,
"43-82-97-85","Other➡️specify",20,60,0,0,0,0,0,0,
"91-14-48-53","Chicken - Cocks/Broilers",4,0,0,2,0,0,0,2,
"91-14-48-53","Chicken - Hens/Layers",30,6,18,0,0,0,3,3,10000
"20-26-28-94","Pigs - Boar/Sows/Piglets",3,1,2,0,0,0,0,0,120000
"20-26-28-94","Chicken - Cocks/Broilers",2,0,2,0,0,0,0,0,12000
"20-26-28-94","Chicken - Hens/Layers",1,10,0,0,0,0,0,0,
"23-89-23-81","Pigs - Boar/Sows/Piglets",10,6,2,0,0,0,0,0,110000
"23-89-23-81","Chicken - Cocks/Broilers",8,11,0,6,0,1,5,0,
"52-40-25-11","Chicken - Hens/Layers",20,70,5,2,0,0,50,0,10000
"58-44-00-29","Chicken - Cocks/Broilers",10,3,2,2,0,0,5,10,9000
"94-81-60-01","Chicken - Cocks/Broilers",3,2,0,1,0,0,0,0,
"94-81-60-01","Chicken - Hens/Layers",17,8,0,0,0,0,9,0,
"00-76-76-29","Pigs - Boar/Sows/Piglets",1,1,1,0,0,0,0,0,200000
"00-76-76-29","Chicken - Cocks/Broilers",4,7,3,1,0,0,9,0,12000
"00-76-76-29","Chicken - Hens/Layers",8,5,0,1,0,0,4,2,
"30-24-92-73","Pigs - Boar/Sows/Piglets",3,0,0,0,0,0,3,0,
"30-24-92-73","Chicken - Cocks/Broilers",6,0,0,0,0,0,6,0,
"30-24-92-73","Chicken - Hens/Layers",10,0,0,0,0,0,10,0,
"23-53-41-46","Chicken - Cocks/Broilers",0,1,0,0,0,0,0,0,
"23-53-41-46","Chicken - Hens/Layers",0,2,0,0,0,0,0,0,
"62-55-13-64","Pigs - Boar/Sows/Piglets",1,1,0,0,0,0,1,0,
"62-55-13-64","Chicken - Cocks/Broilers",1,0,1,0,0,0,0,0,5000
"62-55-13-64","Chicken - Hens/Layers",8,6,0,0,0,0,2,0,
"62-55-13-64","Other➡️specify",0,3,0,0,0,0,0,0,
"42-85-64-91","Chicken - Hens/Layers",150,130,50,50,0,5,0,0,20000
"54-70-24-21","Chicken - Cocks/Broilers",4,4,0,0,0,0,0,0,
"54-70-24-21","Chicken - Hens/Layers",10,2,0,0,0,0,8,0,
"38-66-21-90","Pigs - Boar/Sows/Piglets",2,10,7,0,0,6,0,0,18000
"38-66-21-90","Chicken - Cocks/Broilers",1,6,7,8,0,0,0,0,12000
"38-66-21-90","Chicken - Hens/Layers",15,35,15,6,0,0,0,0,8000
"32-53-90-85","Chicken - Cocks/Broilers",3,1,2,0,0,0,0,0,13000
