interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"15-76-60-42",1,"No",,"Yes","No intention to migrate",,"",2020,2020,,,,
"15-76-60-42",2,"No",,"No","No intention to migrate",,"",,,,,,
"31-41-38-46",1,"Yes","No","Yes",,,"",2018,2022,,,,
"31-41-38-46",2,"No",,"No","No intention to migrate",,"",,,,,,
"31-41-38-46",3,"No",,"No","Don’t know",,"",,,,,,
"31-41-38-46",5,"No",,"No","No intention to migrate",,"",,,,,,
"01-03-25-84",1,"No",,"Yes","No intention to migrate",,"",1999,2023,,,,
"01-03-25-84",2,"Yes","Yes","No",,,"",2023,2023,4,2,0,
"01-03-25-84",3,"No",,"No","No intention to migrate",,"",,,,,,
"31-13-18-39",1,"No",,"No","No intention to migrate",,"",,,,,,
"31-13-18-39",2,"No",,"No","No intention to migrate",,"",,,,,,
"49-33-75-72",1,"No",,"No","No intention to migrate",,"",,,,,,
"49-33-75-72",2,"No",,"No","No intention to migrate",,"",,,,,,
"49-33-75-72",3,"No",,"No","No intention to migrate",,"",,,,,,
"72-79-79-86",1,"No",,"No","No intention to migrate",,"",,,,,,
"72-79-79-86",2,"No",,"No","No intention to migrate",,"",,,,,,
"86-17-23-69",1,"No",,"No","No intention to migrate",,"",,,,,,
"86-17-23-69",2,"No",,"No","No intention to migrate",,"",,,,,,
"35-55-11-33",1,"No",,"Yes","No intention to migrate",,"",2020,2020,,,,
"35-55-11-33",2,"No",,"No","No intention to migrate",,"",,,,,,
"74-41-75-97",1,"No",,"No","No intention to migrate",,"",,,,,,
"74-41-75-97",2,"No",,"No","No intention to migrate",,"",,,,,,
"75-64-48-24",1,"No",,"No","No intention to migrate",,"",,,,,,
"75-64-48-24",2,"No",,"No","No intention to migrate",,"",,,,,,
"75-64-48-24",4,"No",,"No","No intention to migrate",,"",,,,,,
"46-90-31-29",1,"No",,"No","No intention to migrate",,"",,,,,,
"46-90-31-29",2,"No",,"No","No intention to migrate",,"",,,,,,
"46-90-31-29",3,"No",,"No","No intention to migrate",,"",,,,,,
"46-90-31-29",4,"No",,"No","No intention to migrate",,"",,,,,,
"32-45-37-94",1,"No",,"No","No intention to migrate",,"",,,,,,
"29-06-99-56",1,"No",,"No","No intention to migrate",,"",,,,,,
"29-06-99-56",2,"No",,"No","No intention to migrate",,"",,,,,,
"29-06-99-56",3,"No",,"No","Yes permanently migrate","Town in region","",,,,,,
"29-06-99-56",4,"No",,"No","No intention to migrate",,"",,,,,,
"86-92-94-72",1,"No",,"No","No intention to migrate",,"",,,,,,
"95-96-07-01",1,"No",,"No","No intention to migrate",,"",,,,,,
"95-96-07-01",2,"No",,"No","No intention to migrate",,"",,,,,,
"56-10-42-62",1,"No",,"No","No intention to migrate",,"",,,,,,
"56-10-42-62",2,"No",,"No","No intention to migrate",,"",,,,,,
"39-85-42-75",1,"No",,"No","No intention to migrate",,"",,,,,,
"39-85-42-75",2,"No",,"No","No intention to migrate",,"",,,,,,
"39-85-42-75",3,"No",,"No","No intention to migrate",,"",,,,,,
"39-85-42-75",4,"No",,"No","No intention to migrate",,"",,,,,,
"51-15-10-63",1,"No",,"Yes","No intention to migrate",,"",2000,2023,,,,
"51-15-10-63",2,"No",,"No","No intention to migrate",,"",,,,,,
"51-15-10-63",3,"Yes","No","Yes",,,"",2022,2022,,,,
"81-75-45-31",1,"Yes","No","Yes",,,"",2022,2022,,,,
"81-75-45-31",2,"No",,"No","No intention to migrate",,"",,,,,,
"81-75-45-31",3,"Yes","Yes","No",,,"",2022,2022,10,2,0,
"81-75-45-31",4,"No",,"No","No intention to migrate",,"",,,,,,
"57-29-61-37",1,"No",,"No","No intention to migrate",,"",,,,,,
"57-29-61-37",2,"No",,"No","No intention to migrate",,"",,,,,,
"57-29-61-37",3,"No",,"No","No intention to migrate",,"",,,,,,
"57-29-61-37",4,"No",,"No","No intention to migrate",,"",,,,,,
"57-29-61-37",5,"No",,"No","No intention to migrate",,"",,,,,,
"57-29-61-37",6,"No",,"No","No intention to migrate",,"",,,,,,
"92-19-38-79",1,"No",,"No","No intention to migrate",,"",,,,,,
"92-19-38-79",2,"No",,"No","Yes permanently migrate","village outside region","",,,,,,
"92-19-38-79",3,"Yes","No","Yes",,,"",2018,2023,,,,
"51-61-36-83",1,"No",,"No","No intention to migrate",,"",,,,,,
"51-61-36-83",2,"No",,"No","No intention to migrate",,"",,,,,,
"51-61-36-83",3,"No",,"No","No intention to migrate",,"",,,,,,
"26-90-05-49",1,"No",,"No","No intention to migrate",,"",,,,,,
"26-90-05-49",2,"No",,"No","No intention to migrate",,"",,,,,,
"26-90-05-49",3,"No",,"No","No intention to migrate",,"",,,,,,
"26-90-05-49",4,"No",,"No","No intention to migrate",,"",,,,,,
"66-97-67-27",1,"No",,"No","No intention to migrate",,"",,,,,,
"66-97-67-27",2,"No",,"No","No intention to migrate",,"",,,,,,
"66-97-67-27",3,"No",,"No","No intention to migrate",,"",,,,,,
"78-48-49-89",1,"No",,"No","No intention to migrate",,"",,,,,,
"78-48-49-89",2,"No",,"No","No intention to migrate",,"",,,,,,
"78-48-49-89",3,"No",,"No","No intention to migrate",,"",,,,,,
"78-48-49-89",4,"No",,"No","No intention to migrate",,"",,,,,,
"78-48-49-89",5,"No",,"No","No intention to migrate",,"",,,,,,
"98-05-66-83",1,"No",,"No","No intention to migrate",,"",,,,,,
"98-05-66-83",2,"No",,"No","No intention to migrate",,"",,,,,,
"98-05-66-83",3,"No",,"No","No intention to migrate",,"",,,,,,
"78-17-71-31",1,"Yes","Yes","No",,,"",2023,2023,5,7,0,
"78-17-71-31",2,"No",,"No","No intention to migrate",,"",,,,,,
"35-97-55-04",1,"No",,"No","No intention to migrate",,"",,,,,,
"35-97-55-04",2,"No",,"No","No intention to migrate",,"",,,,,,
"01-00-08-00",1,"No",,"No","No intention to migrate",,"",,,,,,
"23-16-40-98",1,"No",,"No","No intention to migrate",,"",,,,,,
"23-16-40-98",2,"No",,"No","No intention to migrate",,"",,,,,,
"23-16-40-98",3,"No",,"No","No intention to migrate",,"",,,,,,
"23-16-40-98",4,"Yes","Yes","No",,,"",2023,2023,6,1,0,
"23-16-40-98",6,"No",,"No","No intention to migrate",,"",,,,,,
"23-16-40-98",7,"No",,"No","No intention to migrate",,"",,,,,,
"33-60-15-24",1,"No",,"No","No intention to migrate",,"",,,,,,
"83-29-00-04",1,"Yes","No","No",,,"",2022,2022,,,,
"83-29-00-04",2,"No",,"No","No intention to migrate",,"",,,,,,
"39-46-43-34",1,"No",,"Yes","No intention to migrate",,"",2022,2022,,,,
"39-46-43-34",2,"No",,"No","No intention to migrate",,"",,,,,,
"39-46-43-34",3,"No",,"No","No intention to migrate",,"",,,,,,
