interview__key,r_members__id,lbr3_1,lbr3_1_oth,emp_form,bus_yr,bus_dry,bus_rain,bus_days_wk,bus_hrs,bus_sales,bus_main_use__1,bus_main_use__2,bus_main_use__3,bus_main_use__4,bus_main_use__5,bus_main_use__6,bus_main_use__7,bus_main_use__96,bus_main_use__n888,bus_main_use_others,bus_input,bus_labor,bus_capital,bus_reg,bus_loc,bus_employe,tourism_motivate__1,tourism_motivate__2,tourism_motivate__3,tourism_motivate__4,tourism_motivate__5,tourism_motivate__6,tourism_motivate__7,tourism_motivate__8,tourism_motivate__96,tourism_motivate_oth,years_exp_agri,business_obstacle__1,business_obstacle__2,business_obstacle__3,business_obstacle__4,business_obstacle__5,business_obstacle__6,business_obstacle__7,business_obstacle__8,business_obstacle__9,business_obstacle__10,business_obstacle__11,business_obstacle__96,business_obstacle__n888,business_obstacle__n999,business_obs_oth,business_financing__1,business_financing__2,business_financing__3,business_financing__4,business_financing__5,business_financing__6,business_financing__7,business_financing__8,business_financing__9,business_financing__10,business_financing__11,business_financing__12,business_financing__96,business_financing__n888,business_financing__n999,business_financing_oth,business_finance__1,business_finance__2,business_finance__3,business_finance__4,business_finance__5,business_finance__6,business_finance__7,business_finance__8,business_finance__96,business_finance__n888,business_finance__n999,business_finance_oth,business_legal__1,business_legal__2,business_legal__3,business_legal__4,business_legal__5,business_legal__96,business_legal__n888,business_legal__n999,business_legal_oth,support_local_gov,support_local_kind__1,support_local_kind__2,support_local_kind__3,support_local_kind__4,support_local_kind__5,support_local_kind__6,support_local_kind__7,support_local_kind__8,support_local_kind__96,support_local_kind__n888,support_local_kind__n999,support_local_gov_oth,lbr3_2,lbr3_3,lbr3_4,lbr3_5,lbr3_5_1__1,lbr3_5_1__2,lbr3_5_1__3,lbr3_5_1__4,lbr3_5_1__5,lbr3_5_1__6,lbr3_5_1__7,lbr3_5_1__96,lbr3_5_1__n888,lbr3_5_1__n999,lbr3_5_1_oth,lbr3_6,lbr3_7,lbr3_8,lbr3_9,lbr3_9_1__1,lbr3_9_1__2,lbr3_9_1__3,lbr3_9_1__4,lbr3_9_1__5,lbr3_9_1__6,lbr3_9_1__7,lbr3_9_1__96,lbr3_9_1__n888,lbr3_9_1__n999,lbr3_9_1_oth,lbr3_10,lbr3_11,lbr3_12,lbr3_13,Ibr3_14__1,Ibr3_14__2,Ibr3_14__3,Ibr3_15,Ibr3_16,Ibr3_17,Ibr3_18,Ibr3_19,leave,sick_leave,lbr10,lbr10_1,job_search,job_search_oth,lbr09,emp_years,lbr11
"15-76-60-42",1,"Others, specify","Fundi Ujenzi","Self-employed/own business",144,3,1,6,8,2000000,0,3,2,4,1,0,0,0,0,"",200000,400000,0,"No","Village in region",0,"No","No","No","Yes","No","No","No","No","No",,"12","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","Yes",12,"Satisfied"
"31-41-38-46",1,"Small-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Mr kisoma","In other rural area within or outside this district","Seasonal",,,,,,,,,,,,"",,,"Per day",5000,0,1,2,3,0,0,0,0,0,0,"",6,3,6,8,"Yes","Yes","No","No","No","No","No","Yes","No","No","Daily wage labourer","","From neighbors or friends","","No",12,"dissatisfied"
"31-41-38-46",2,"Small-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Mr sanga","In this village","Seasonal",,,,,,,,,,,,"",,,"Per day",5000,0,1,2,3,0,0,0,0,0,0,"",7,2,6,8,"No","No","No","No","No","No","No","No","No","No","No contract (informal)","","From neighbors or friends","","No",30,"Very dissatisfied"
"75-64-48-24",1,"Others, specify","Splitting Woods","Self-employed/own business",24,5,7,4,11,200000,0,1,2,0,0,0,0,0,0,"",0,0,0,"No","Village in region",0,"No","No","Yes","No","No","No","No","No","No",,"2","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","on time payment by the customers",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","Yes","No","No",,"Yes","No","No","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",2,"Neither"
"75-64-48-24",2,"Beauty industry (hair, skin etc)","Weaving Baskets","Self-employed/own business",12,5,7,7,3,50000,0,1,0,0,0,0,0,2,0,"buying clothes",0,0,0,"No","Village in region",0,"No","No","Yes","No","No","No","No","Yes","No",,"18","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","no challenges in this busness",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","No","No","Yes","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",18,"Very dissatisfied"
"75-64-48-24",2,"Others, specify","Weaving Baskets","Self-employed/own business",36,5,7,5,7,100000,0,3,1,2,0,0,0,0,0,"",2000,0,0,"Yes","Village in region",0,"No","Yes","No","No","No","No","No","No","No",,"3","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","No","No","Yes","No","No",,"Yes",0,0,0,1,0,0,0,0,0,0,0,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","Yes",3,"Very dissatisfied"
"95-96-07-01",2,"Others, specify","Beverage Business","Self-employed/own business",24,4,6,7,8,150000,2,0,0,0,0,0,0,1,0,"agricultural inputs",75000,0,0,"No","Village in region",0,"No","No","Yes","No","No","No","No","No","No",,"2","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","","No","Yes","No","No",,"No","No","No","No","No","No","No","No","No","No",,"No","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","No","No","Yes","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",2,"Satisfied"
"51-15-10-63",1,"Food industry","","Self-employed/own business",12,5,7,1,6,80000,2,0,1,0,0,0,0,0,0,"",0,0,24000,"No","Village in region",0,"No","Yes","Yes","No","No","No","No","No","No",,"6","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","",,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No",,"No","No","No","Yes","No","No","No","No","No","No","No",,"No","Yes","Yes","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",6,"Satisfied"
"92-19-38-79",1,"Others, specify","Burning Charcoal","Self-employed/own business",3,2,1,6,7,600000,0,2,1,3,0,0,0,0,0,"",0,80000,0,"No","village outside region",2,"No","No","No","No","Yes","Yes","No","No","No",,"7","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","market",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",7,"Satisfied"
"92-19-38-79",3,"Transport","Bodaboda","Self-employed/own business",12,5,7,7,14,200000,2,1,0,3,0,0,0,0,0,"",0,0,32000,"No","Village in region",0,"No","Yes","No","No","Yes","Yes","No","No","No",,"3","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"Yes","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","Yes",3,"Satisfied"
"92-19-38-79",3,"Others, specify","Bodaboda","Self-employed/own business",36,5,7,7,13,200000,2,1,0,3,0,0,0,0,0,"",0,0,32000,"No","Village in region",0,"No","Yes","No","No","Yes","Yes","No","No","No",,"3","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"Yes","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",3,"Satisfied"
"78-48-49-89",1,"Hospitality (e.g., Accommodation &amp; Lodging )","","Self-employed/own business",3,5,0,4,8,70000,0,2,1,0,3,0,0,0,0,"",300000,0,0,"No","Town in region",0,"No","No","No","Yes","No","No","No","No","No",,"3","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","","No",,,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"No","Yes","No","No","No","No","No","No","No","No","No",,"No","No","No","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","Yes",3,"Satisfied"
"23-16-40-98",1,"Retail trade","","Self-employed/own business",48,1,1,7,12,0,,,,,,,,,,"",0,0,0,"No","Village in region",0,"No","No","No","No","Yes","No","No","No","No",,"4","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",48,"Neither"
"23-16-40-98",2,"Retail trade","","Self-employed/own business",360,4,0,6,12,30000,0,1,0,0,0,0,0,0,0,"",20000,0,0,"No","Village in region",0,"No","No","No","No","No","Yes","Yes","No","No",,"30","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",30,"Neither"
"23-16-40-98",3,"Retail trade","","Self-employed/own business",24,5,6,7,6,150000,1,0,2,0,0,0,0,0,0,"",60000,0,60000,"No","Village in region",0,"No","No","No","Yes","Yes","No","No","No","No",,"2","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",24,"Neither"
"83-88-85-49",1,"Others, specify","Local Alcohol Production","Self-employed/own business",24,0,2,3,3,20000,0,0,1,0,0,0,0,0,0,"",0,0,5000,"Yes","Village in region",0,"No","No","No","Yes","No","No","No","No","No",,"2","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","Yes",2,"Neither"
"84-47-44-08",1,"Retail trade","","Self-employed/own business",60,3,3,4,10,250000,0,2,3,0,1,0,0,0,0,"",250000,100000,0,"No","Village in region",2,"No","No","No","No","No","Yes","No","No","No",,"5","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","No","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","Yes",5,"Satisfied"
"65-07-52-31",1,"Retail trade","","Self-employed/own business",60,5,7,6,3,10000,0,1,0,0,0,0,0,0,0,"",0,0,0,"No","Village in region",0,"No","No","No","No","Yes","No","No","No","No",,"5","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","No","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",5,"Satisfied"
"27-52-71-52",1,"Other public sector","Fundi Seremala","Self-employed/own business",276,5,7,7,10,0,,,,,,,,,,"",0,0,0,"No","Village in region",3,"Yes","No","No","No","Yes","Yes","Yes","No","No",,"23","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","Yes","No","No","No","No","No","No","No","No","No",,"No","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","Yes",23,"Very satisfied"
"27-52-71-52",2,"Small-scale farm","","Self-employed/own business",1,5,0,7,5,60000,1,3,4,2,0,5,0,0,0,"",100000,0,0,"No","Village in region",1,"No","No","No","No","Yes","Yes","No","No","No",,"1","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","Yes","Yes","No","No","No","No","No","No","No","No",,"No","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",1,"Satisfied"
"27-52-71-52",2,"Domestic/household helper","","Self-employed/own business",12,5,7,7,3,60000,1,2,3,4,0,0,0,0,0,"",0,0,0,"No","Village in region",0,"No","No","No","No","Yes","Yes","Yes","No","No",,"1","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","","No","Yes","No","No","No",,"No","No","No","No","No","No","No","No","No",,"No","Yes","Yes","No","No","No","No","No","No","No","No",,"No","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",1,"Satisfied"
"27-52-71-52",5,"Domestic/household helper","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Onesmo Chavala","In this village","Permanent",30000,0,0,0,0,0,0,0,0,1,0,"",6,8,,,,,,,,,,,,,"",,,,,"Yes","Yes","No","No","No","No","No","No","No","No","No contract (informal)","","From family and relatives","","No",1,"Satisfied"
"21-67-72-81",2,"Retail trade","","Self-employed/own business",84,5,7,7,15,80000,0,2,1,3,0,0,0,0,0,"",100000,0,0,"Yes","Village in region",0,"No","No","No","No","Yes","No","No","No","No",,"7","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","",,"No","Yes","No","No","No","No","No","No","No","No",,"No","No","No",,"No","No","Yes","Yes","No","No","No","No","No","No","No",,"No","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",7,"Neither"
"21-67-72-81",3,"Others, specify","Fundi Ujenzi","Self-employed/own business",48,2,5,7,12,200000,0,0,0,0,1,0,0,0,0,"",0,0,0,"No","Village in region",0,"No","No","No","Yes","No","No","No","No","No",,"4","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","No","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","Yes",4,"Neither"
"40-08-15-69",1,"Education (teacher etc)","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","St felix school","In other rural area within or outside this district","Permanent",500000,0,1,0,2,0,3,0,0,0,0,"",5,9,,,,,,,,,,,,,"",,,,,"No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Fixed term permanent contract","","Private employment/recruitment agency","","Yes",46,"Satisfied"
"88-78-79-65",1,"Education (teacher etc)","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","ndundutawa primary school","Town or city within this district/region","Permanent",400000,0,2,3,1,0,4,0,0,0,0,"",5,9,,,,,,,,,,,,,"",,,,,"Yes","No","No","No","No","Yes","Yes","No","No","Yes","Long term permanent contract","","Public employment/recruitment agency","","Yes",3,"Satisfied"
"72-36-26-24",1,"Food industry","","Self-employed/own business",108,5,0,3,12,60000,0,1,0,0,0,0,0,0,0,"",50000,0,0,"No","Town in region",0,"No","No","No","Yes","Yes","No","No","No","No",,"10","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,"No","Yes","No","No","No","No","No","No","No","No","No",,"No","No","Yes","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",10,"Very satisfied"
"02-58-47-09",1,"Small-scale farm","","Self-employed/own business",20,5,7,7,1,15000,0,3,1,2,0,0,0,0,0,"",4000,0,0,"No","Village in region",0,"No","No","No","No","Yes","Yes","Yes","No","No",,"20","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","Yes","Yes","No","No","No","No","No","No","No","No",,"No","Yes","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",20,"Satisfied"
"02-58-47-09",2,"Small-scale farm","","Self-employed/own business",240,5,7,6,8,20000,0,1,2,3,0,0,0,0,0,"",4000,0,0,"No","Village in region",0,"No","No","No","No","Yes","Yes","Yes","No","No",,"20","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","Yes","Yes","No","No","No","No","No","No","No","No",,"Yes","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",20,"Satisfied"
"02-25-96-16",6,"Large-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Rutuba company","In this village","Seasonal",,,,,,,,,,,,"",,,"Per week",50000,0,1,0,0,0,0,0,0,0,0,"",0,0,,,"No",,"No","No","No","No","No","No","No","No","Daily wage labourer","","From neighbors or friends","","No",.5,"dissatisfied"
"48-71-75-24",1,"Large-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","12","In this village","Seasonal",,,,,,,,,,,,"",,,"Per week",80000,2,0,1,0,0,0,0,0,0,0,"",0,5,6,12,"No","No","No","No","No","No","Yes","Yes","No","No","Daily wage labourer","","From family and relatives","","No",7,"Satisfied"
"48-71-75-24",2,"Large-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Rutuba Farm","In this village","Seasonal",,,,,,,,,,,,"",,,"Per day",130000,2,3,1,0,0,0,0,0,0,0,"",5,5,6,8,"No","No","No","No","No","Yes","Yes","No","No","Yes","Daily wage labourer","","From neighbors or friends","","No",3,"Satisfied"
"81-80-02-23",1,"Large-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Rutuba Farm","In this village","Seasonal",,,,,,,,,,,,"",,,"Per month",8000,0,1,2,3,4,0,0,0,0,0,"",3,1,5,8,"No","No","No","No","No","No","No","No","No","No","Daily wage labourer","","From neighbors or friends","","Yes",1.5,"Satisfied"
"42-14-73-23",1,"Small-scale farm","","Self-employed/own business",240,5,7,2,3,20000,4,1,2,3,0,0,0,0,0,"",154000,0,0,"No","Village in region",0,"No","No","No","No","Yes","Yes","Yes","No","No",,"20","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","Yes","Yes","No","No","No","No","No","No","No","No",,"Yes","No","Yes","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",25,"Satisfied"
"83-16-53-05",2,"Small-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","small scale farms","In this village","Seasonal",,,,,,,,,,,,"",,,"Per day",5000,0,1,0,2,0,0,0,0,0,0,"",4,3,7,8,"No","No","No","No","No","No","No","No","No","No","Daily wage labourer","","Others, specify","from farmers in the village","No",5,"Neither"
"45-89-04-52",1,"Food industry","Own A Shop","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Rutuba","In this village","Permanent",280000,0,1,2,3,0,0,0,0,0,0,"",7,9,,,,,,,,,,,,,"",,,,,"No","No","No","Yes","No","Yes","No","No","Yes","Yes","Long term permanent contract","","From family and relatives","","No",7,"Satisfied"
"45-89-04-52",1,"Others, specify","Own A Shop","Self-employed/own business",2,5,6,7,2,400000,0,1,2,3,0,0,0,0,0,"",700000,0,0,"No","Town outside region",0,"No","No","No","Yes","No","No","No","No","No",,"2","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","Yes","No","No","No","No","No","No","No","No","No",,"No","No","Yes","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",2,"Satisfied"
"45-89-04-52",2,"Food industry","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Rutuba","In this village","Seasonal",,,,,,,,,,,,"",,,"Per day",8000,0,1,0,0,0,0,0,0,0,0,"",0,3,6,9,"No","No","No","No","No","No","No","No","No","No","Part-time contract","","From family and relatives","","No",.5,"Satisfied"
