interview__key,r_members__id,lbr13,Ibr13_1,Ibr13_2,Ibr13_3,Ibr13_4,Ibr13_5,Ibr13_6,Ibr13_8,Ibr13_9,years_exp_crp,Ibr13_10,Ibr13_11,Ibr13_12,Ibr13_13,years_exp_liv,onfarm_main_use__1,onfarm_main_use__2,onfarm_main_use__3,onfarm_main_use__4,onfarm_main_use__5,onfarm_main_use__6,onfarm_main_use__7,onfarm_main_use__96,onfarm_main_use_oth
"15-76-60-42",1,"Yes",3,3,6,8,3,3,6,8,8,7,5,7,2,4,0,1,3,0,2,0,0,0,""
"15-76-60-42",2,"Yes",7,5,6,10,7,5,6,10,8,7,5,7,2,4,0,3,2,0,1,0,0,0,""
"31-41-38-46",1,"Yes",0,0,,,0,0,,,30,0,0,,,30,0,1,2,3,0,0,0,0,""
"31-41-38-46",2,"Yes",6,4,6,8,6,4,6,8,30,6,5,7,2,30,0,1,2,3,0,0,0,0,""
"01-03-25-84",1,"Yes",5,1,6,6,5,1,6,6,24,5,5,7,3,3,1,2,3,0,0,0,0,0,""
"49-33-75-72",1,"Yes",7,5,4,10,7,0,6,10,30,0,0,,,0,0,1,0,0,2,0,0,0,""
"49-33-75-72",2,"Yes",3,0,7,8,3,0,7,8,20,7,5,7,2,20,2,1,0,0,0,0,0,0,""
"72-79-79-86",1,"Yes",4,2,6,7,4,2,6,7,32,0,0,,,0,0,1,0,2,0,0,0,0,""
"35-55-11-33",1,"Yes",6,6,6,6,3,3,6,5,34,0,0,,,0,0,2,1,3,0,0,0,0,""
"74-41-75-97",1,"Yes",6,5,6,6,6,5,6,8,20,0,0,,,14,0,1,0,2,0,0,0,0,""
"75-64-48-24",1,"Yes",0,0,,,6,2,4,10,28,0,0,,,0,0,1,0,0,0,0,0,0,""
"75-64-48-24",2,"Yes",0,0,,,7,5,4,8,19,0,0,,,0,0,1,0,0,0,0,0,0,""
"46-90-31-29",1,"Yes",7,5,0,,5,5,7,5,15,0,0,,,0,0,1,0,0,0,0,0,0,""
"46-90-31-29",2,"Yes",0,0,,,7,5,4,4,15,0,0,,,0,0,1,0,0,0,0,0,0,""
"32-45-37-94",1,"Yes",0,0,,,0,0,,,30,0,0,,,0,0,1,3,2,0,0,0,0,""
"29-06-99-56",1,"Yes",3,1,1,5,7,4,6,8,22,7,5,7,1,22,0,1,3,2,0,0,0,0,""
"29-06-99-56",2,"Yes",7,5,6,7,7,0,6,7,22,7,5,7,1,22,0,1,2,3,0,0,0,0,""
"29-06-99-56",3,"Yes",7,5,6,8,7,5,6,8,3,7,5,7,1,3,0,1,2,3,0,0,0,0,""
"86-92-94-72",1,"Yes",5,0,7,5,6,0,7,6,40,5,5,7,2,20,0,1,2,3,4,0,0,0,""
"95-96-07-01",1,"Yes",7,5,6,6,7,5,6,6,11,0,0,,,0,3,1,0,0,2,0,0,0,""
"95-96-07-01",2,"Yes",7,5,3,3,7,5,3,3,9,0,0,,,0,2,1,0,0,0,0,0,0,""
"56-10-42-62",1,"Yes",5,5,6,6,5,5,6,6,53,6,5,1,1,53,0,1,2,3,0,0,0,0,""
"56-10-42-62",2,"Yes",3,3,2,1,3,3,2,1,48,6,5,7,2,42,0,1,2,3,0,0,0,0,""
"39-85-42-75",1,"Yes",0,0,,,2,3,6,4,23,6,5,7,3,3,0,1,2,3,0,0,0,0,""
"39-85-42-75",2,"Yes",0,0,,,2,3,6,4,16,0,0,,,3,0,1,2,3,0,0,0,0,""
"51-15-10-63",1,"Yes",7,5,4,6,7,5,4,6,30,7,5,7,1,10,0,2,1,0,0,0,0,0,""
"51-15-10-63",2,"Yes",0,0,,,7,5,4,7,15,5,5,7,1,5,0,1,3,2,4,0,0,0,""
"81-75-45-31",1,"Yes",7,5,4,5,7,5,4,5,5,5,5,7,1,10,0,1,2,3,4,5,0,0,""
"81-75-45-31",2,"Yes",6,5,4,5,7,5,4,6,23,7,5,4,1,20,0,1,2,3,4,0,0,0,""
"57-29-61-37",1,"Yes",5,0,6,3,5,0,6,3,20,5,5,7,3,2,0,1,2,0,0,0,0,0,""
"57-29-61-37",2,"Yes",5,0,6,6,5,0,6,6,25,5,5,4,1,1,0,0,1,0,2,0,0,0,""
"57-29-61-37",3,"Yes",5,0,6,3,5,0,6,3,3,3,3,5,1,1,0,0,0,0,0,0,0,1,"Buying clothes for himself and his other necessities"
"92-19-38-79",1,"Yes",3,3,6,7,7,0,6,7,30,7,4,6,2,30,0,1,2,3,0,0,0,0,""
"92-19-38-79",3,"Yes",0,0,,,0,0,,,5,0,0,,,0,0,0,0,0,0,0,0,1,"nothing"
"51-61-36-83",1,"Yes",3,1,6,8,2,3,6,8,42,7,5,7,2,24,0,3,0,2,0,0,0,1,"buying agricultural  materials"
