interview__key,lndprep__1,lndprep__2,lndprep__3,lndprep__4,cp021__1,cp021__2,cp021__3,cp021_source__1,cp021_source__2,cp021_source__3,cp021_source__4,cp021_source__5,cp021_source__6,cp021_source__96,cp021_source_other,cp_plantdays,cp_weedays,cp_hvstdays,cp_lbrdays,irr_train,cp026__1,cp026__2,cp026__3,cp026__4,cp026__5,cp026__6,cp026__7,cp026__96,cp026_oth,cp028,cp028_inst__1,cp028_inst__2,cp028_inst__3,cp028_inst__4,cp028_inst__5,cp028_inst__6,cp028_inst__7,cp029,cp030,cp031,cp032,crop_residue__1,crop_residue__2,crop_residue__3,crop_residue__4,crop_residue__5,crop_residue__96
"15-76-60-42",0,1,0,0,"Yes","Yes","No",,,,,,,,,10,14,6,15,0,,,,,,,,,,,"No","No","No","No","No","No","Yes",,,,,0,1,0,1,0,0
"31-41-38-46",0,1,0,0,"Yes","No","No",,,,,,,,,6,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"01-03-25-84",0,1,0,0,"No","Yes","No",,,,,,,,,3,3,2,3,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"31-13-18-39",.a,.a,.a,.a,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,.a,.a,.a,.a,.a,.a
"49-33-75-72",0,0,1,0,"Yes","No","No",,,,,,,,,10,12,1,7,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"72-79-79-86",0,1,0,0,"Yes","No","No",,,,,,,,,2,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"86-17-23-69",0,1,0,0,"No","Yes","No",,,,,,,,,2,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"35-55-11-33",0,1,0,0,"Yes","No","No",,,,,,,,,7,14,7,7,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"74-41-75-97",0,0,0,1,"Yes","No","No",,,,,,,,,7,3,2,0,3,"Yes","Yes","Yes","No","No","No","No","No",,,,,,,,,,,,,,0,0,1,0,0,1
"75-64-48-24",0,1,0,0,"Yes","No","No",,,,,,,,,2,11,0,0,2,"No","Yes","No","No","No","No","No","No",,,,,,,,,,,,,,0,1,0,0,0,0
"46-90-31-29",0,1,0,0,"Yes","No","No",,,,,,,,,21,44,40,30,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"32-45-37-94",1,0,0,0,"Yes","No","No",,,,,,,,,1,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"29-06-99-56",0,1,0,0,"Yes","No","No",,,,,,,,,5,14,4,4,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"86-92-94-72",1,0,0,0,"Yes","No","No",,,,,,,,,1,14,5,6,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"95-96-07-01",0,1,0,0,"Yes","No","No",,,,,,,,,6,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"56-10-42-62",0,1,0,0,"Yes","No","No",,,,,,,,,7,14,3,21,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"39-85-42-75",0,1,0,0,"Yes","Yes","No",,,,,,,,,2,7,7,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"51-15-10-63",0,1,0,0,"Yes","No","No",,,,,,,,,2,3,1,0,3,"Yes","Yes","Yes","Yes","No","Yes","Yes","No",,,,,,,,,,,,,,0,0,0,1,0,0
"81-75-45-31",0,1,0,0,"Yes","No","No",,,,,,,,,21,14,7,10,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"57-29-61-37",0,1,0,0,"Yes","No","No",,,,,,,,,2,28,2,2,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
