interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"15-76-60-42","Yes","Yes","No","No","Yes",1500000,"Yes","Yes","Yes","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"31-41-38-46","No","Yes","No","Yes","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"01-03-25-84","Yes","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"31-13-18-39","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"49-33-75-72","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"72-79-79-86","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"86-17-23-69","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"35-55-11-33","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"74-41-75-97","No","No","No","No","Yes",50000,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"75-64-48-24","No","No","No","Yes","Yes",10000,"Yes","No","No","No","No","No","No","No","No","No",,"No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"46-90-31-29","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"32-45-37-94","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"29-06-99-56","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"86-92-94-72","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"95-96-07-01","No","Yes","No","No","Yes",100000,"No","No","No","No","No","No","No","No","No","Yes",,"No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"56-10-42-62","No","No","No","No","Yes",100000,"Yes","Yes","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"39-85-42-75","No","No","No","No","Yes",40000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"51-15-10-63","Yes","No","No","Yes","Yes",100000,"No","Yes","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"81-75-45-31","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"57-29-61-37","Yes","No","Yes","Yes","Yes",100000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No"
"92-19-38-79","Yes","Yes","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"51-61-36-83","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
