interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,who_other_income__2,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"15-76-60-42","Rental income, residential property (apartment, house)",120000,"Monthly",1,.a,.a,,"",,"",,"",0,2,3,0,1,0,0,0,""
"01-03-25-84","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",15000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"31-13-18-39","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",13500,"Every three months",1,.a,.a,"Others ➡️ Specify","received money from TASAF","NGO","","Cash","",0,1,0,2,0,0,0,0,""
"35-55-11-33","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"74-41-75-97","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",36000,"Every three months",1,.a,.a,"Older persons cash transfer","","Both national and local governments","","Cash","",0,2,0,0,1,0,0,0,""
"75-64-48-24","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"75-64-48-24","Savings, interest or other investment income",250000,"Monthly",2,.a,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"32-45-37-94","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Monthly",1,.a,.a,,"",,"",,"",0,1,3,2,0,0,0,0,""
"86-92-94-72","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,4,3,2,0,0,0,""
"56-10-42-62","Savings, interest or other investment income",100000,"Monthly",1,2,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"57-29-61-37","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,2,0,0,0,""
"92-19-38-79","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Monthly",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"51-61-36-83","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"66-97-67-27","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Monthly",2,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"78-48-49-89","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Monthly",1,.a,.a,,"",,"",,"",0,2,1,0,0,0,0,0,""
"98-05-66-83","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",20000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"78-17-71-31","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",80000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"for buying seed"
"35-97-55-04","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"purchasing seeds and chemical fertilizers"
"01-00-08-00","Savings, interest or other investment income",20000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"39-46-43-34","Savings, interest or other investment income",30000,"Monthly",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"83-88-85-49","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",7500,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"85-40-54-06","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"99-20-43-65","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Lump sum (single payment)",1,.a,.a,"Others ➡️ Specify","Gift from relative","Other➡️specify","Enterprenureship","Cash","",0,1,0,0,0,0,0,0,""
"99-20-43-65","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",54000,"Every three months",1,.a,.a,"Poverty reduction program","","Both national and local governments","","Cash","",0,2,1,0,0,0,0,0,""
"95-71-45-18","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",36000,"Every three months",1,3,4,,"",,"",,"",0,2,1,0,0,0,0,0,""
"43-23-29-59","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",15000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,0,1,0,0,0,""
"65-07-52-31","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every three months",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"65-07-52-31","Rental income, residential property (apartment, house)",50000,"Every 6 months",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"24-72-94-40","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",15000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"21-67-72-81","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every three months",7,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"40-08-15-69","Savings, interest or other investment income",50000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,2,0,0,""
"88-78-79-65","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"07-13-49-69","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Lump sum (single payment)",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"07-13-49-69","Savings, interest or other investment income",50000,"Every year",1,.a,.a,,"",,"",,"",0,2,0,1,0,0,0,0,""
"02-58-47-09","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",150000,"Every year",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"22-68-37-41","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",150000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"75-57-77-41","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",20000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"76-93-41-01","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
