interview__key,r_purpose_tr__id,road_4__1,road_4__2,road_4__3,road_4__4,road_4__5,road_4__6,road_4__7,road_4__8,road_4__96,road_5
"15-76-60-42","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"15-76-60-42","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"15-76-60-42","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"15-76-60-42","Got to workplace","No","No","No","No","Yes","No","No","No","No","Almost every week"
"31-41-38-46","Go to the market","No","No","No","Yes","Yes","No","No","No","No","Once or twice a month"
"31-41-38-46","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"31-41-38-46","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"31-41-38-46","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Almost every week"
"01-03-25-84","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"01-03-25-84","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"01-03-25-84","Access medical treatment","Yes","No","No","No","No","No","No","No","No","A few times a year"
"01-03-25-84","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"31-13-18-39","Go to the market","Yes","No","No","No","No","No","No","No","No","A few times a year"
"31-13-18-39","Access medical treatment","Yes","No","No","No","No","No","No","No","No","A few times a year"
"49-33-75-72","Go to the market","Yes","Yes","No","No","No","No","No","No","No","Once or twice a month"
"49-33-75-72","Access medical treatment","Yes","No","No","No","Yes","No","No","No","No","A few times a year"
"49-33-75-72","Got to workplace","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"49-33-75-72","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"49-33-75-72","Visit recreational places","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"49-33-75-72","Go to the field","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"72-79-79-86","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"72-79-79-86","Go to school","Yes","No","No","No","No","No","No","No","No","A few times a year"
"72-79-79-86","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"86-17-23-69","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"86-17-23-69","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"86-17-23-69","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"35-55-11-33","Go to the market","No","No","No","No","Yes","No","No","No","No","Once a week or more often"
"35-55-11-33","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"35-55-11-33","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"35-55-11-33","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"74-41-75-97","Access medical treatment","Yes","No","No","No","Yes","No","No","No","No","Once or twice a month"
"74-41-75-97","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"75-64-48-24","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"75-64-48-24","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"46-90-31-29","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"46-90-31-29","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"46-90-31-29","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
