interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"15-76-60-42","Murram/ gravel road","Well passable","Yes","Yes","Yes","Yes","No","No","No","No",,1,"Yes","No",,"No",,,,,,"No","Yes","No","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"31-41-38-46","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"01-03-25-84","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,10,"Yes","No",,"No",,,,,,"Yes","Yes","No","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"31-13-18-39","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"49-33-75-72","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","No","Yes","Yes","Yes","Yes","Yes","No",,3,"Yes","No",,"No",,,,,,"No","Yes","Yes","Yes","No","Yes","No","No",,"No","No","No","No","No","Yes","No",
"72-79-79-86","Murram/ gravel road","Well passable","Yes","Yes","No","No","Yes","No","No","No",,5,"Yes","No",,"No",,,,,,"Yes","No","Yes","No","No","No","No","No",,"Yes","No","Yes","No","No","No","No",
"86-17-23-69","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"35-55-11-33","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,3,"Yes","No",,"No",,,,,,"No","Yes","No","No","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"74-41-75-97","Murram/ gravel road","Very well passable, in both rainy and dry season","No","No","Yes","No","Yes","No","No","No",,20,"Yes","Yes","Yes","Yes","Yes","No","No","No",,"No","No","Yes","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"75-64-48-24","Murram/ gravel road","Well passable","Yes","No","Yes","No","No","No","No","No",,20,"Yes","No",,"No",,,,,,"No","No","No","No","No","No","Yes","No",,,"Yes","No","No","No","No","No",
