interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"15-76-60-42","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","indifferent","indifferent","indifferent","indifferent","indifferent","Slightly worried","Slightly worried","Slightly worried","Very worried","Slightly worried","Slightly worried","Worried","Worried","Worried","Worried"
"31-41-38-46","Agree","Agree","Agree","Indifferent (neither nor)","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Agree","Agree","Disagree","Indifferent (neither nor)","Disagree","distrust","distrust","distrust","trust","distrust","Not at all worried","Slightly worried","Worried","Worried","Worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"01-03-25-84","Strongly agree","Strongly agree","Indifferent (neither nor)","Agree","Agree","Strongly agree","Indifferent (neither nor)","Strongly disagree","Indifferent (neither nor)","Agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","distrust","trust","strongly distrust","Not at all worried","Worried","Not at all worried","Not at all worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Not at all worried","Not at all worried"
"31-13-18-39","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Disagree","Agree","Agree","Strongly disagree","strongly trust","strongly trust","indifferent","indifferent","indifferent","Not at all worried","Worried","Extremely worried","Worried","Not at all worried","Not at all worried","Slightly worried","Not at all worried","Worried","Not at all worried"
"49-33-75-72","Indifferent (neither nor)","Agree","Disagree","Agree","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","indifferent","trust","trust","trust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"72-79-79-86","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","indifferent","trust","distrust","Slightly worried","Worried","Slightly worried","Not at all worried","Not at all worried","Worried","Not at all worried","Worried","Not at all worried","Not at all worried"
"86-17-23-69","Agree","Strongly disagree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","distrust","trust","trust","trust","distrust","Not at all worried","Not at all worried","Not at all worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"35-55-11-33","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Slightly worried","Slightly worried","Extremely worried","Slightly worried","Not at all worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"74-41-75-97","Agree","Strongly agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Disagree","Agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree","strongly trust","trust","trust","indifferent","distrust","Extremely worried","Worried","Worried","Slightly worried","Slightly worried","Worried","Worried","Not at all worried","Extremely worried","Worried"
"75-64-48-24","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Indifferent (neither nor)","Disagree","trust","indifferent","trust","indifferent","indifferent","Slightly worried","Worried","Slightly worried","Not at all worried","Not at all worried","Slightly worried","Slightly worried","Slightly worried","Not at all worried","Not at all worried"
