interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4b_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"15-76-60-42",1.86,15.28954022988506,2.105,3.92,24.015,2.369262865090403,6.093055954088952,2.56,31.69,8.76,2.04,11.78,2.189914040114613,2.561504297994269,3.59,120.8232773871733,"00.02:54:16",174.2666666666667,"2023-06-24","12:51:31"
"31-41-38-46",5.145,15.28954022988506,.9398297872340425,5.34,19.44,2.369262865090403,9.184999999999999,4.85,38.71,6.042600574712644,1.21,21.38,3.6,3.21,6.42,143.1312334569221,"00.04:20:03",260.05,"2023-06-24","08:58:24"
"01-03-25-84",1.79,14.53,.9398297872340425,3.840975609756097,24.015,2.369262865090403,6.1,2.73,28.22,6.65,1.2,14.33,2.67,3.91,3.3,116.5950682620805,"00.02:22:14",142.2333333333333,"2023-06-24","09:24:44"
"31-13-18-39",1.26,15.28954022988506,1.78,3.67,11.88,.07,5.57,2.556551724137931,39.8,8.865,.9617211948790896,41.26,2.18,2.561504297994269,6.59,144.2943174468963,"00.02:42:57",162.95,"2023-06-24","11:27:45"
"49-33-75-72",5.145,13.34,.9398297872340425,3.840975609756097,15.18747126436782,.39,6.093055954088952,4.42,25.85136494252874,6.042600574712644,1.98,49.88,2.189914040114613,2.561504297994269,6.59,144.4517164707972,"00.03:44:15",224.25,"2023-06-24","08:39:30"
"72-79-79-86",2.62,10.02,1.18,3.96,10.72,.23,4.81,2.89,22.78,7.36,.99,11.55,2.189914040114613,4.800000000000001,3.2,89.29991404011461,"00.01:32:56",92.93333333333334,"2023-06-24","11:48:12"
"86-17-23-69",3.96,12.89,1.59,6.165,16.08,6.085,6.59,5.12,40.5,7.13,.5,27.02,1.38,2.72,3.737280575539568,141.4672805755396,"00.02:23:24",143.4,"2023-06-24","12:09:20"
"35-55-11-33",4.23,22.29,.9398297872340425,3.840975609756097,15.18747126436782,.14,7.73,4.66,32.56,8.865,.9617211948790896,16.6,2.189914040114613,1,5.36,126.5549118963517,"00.02:44:35",164.5833333333333,"2023-06-24","09:06:40"
"74-41-75-97",1.38,13.47,.88,3.840975609756097,15.18747126436782,.36,5.65,2.556551724137931,36.36,7.86,.9617211948790896,12.4,2.68,2.561504297994269,1.805,107.9532240911352,"00.03:22:25",202.4166666666667,"2023-06-24","12:37:43"
"75-64-48-24",4.45,15.28954022988506,2.05,5.09,19.06,.11,7.12,5.12,37.03,8.865,.9617211948790896,14.48,2.86,4.65,2.14,129.2762614247642,"00.03:56:38",236.6333333333333,"2023-06-24","09:18:37"
"46-90-31-29",1.99,18.09,.95,6.165,18.33,.15,6.58,4.05,35.87,8.17,.38,14.04,2.47,4.15,2.79,124.175,"00.03:17:23",197.3833333333333,"2023-06-24","08:23:20"
"32-45-37-94",3.71,9.19,1.99,3.840975609756097,9.19,.91,6.96,2.93,15.49,4.28,1.07,11.89,2.189914040114613,3.28,3.92,80.8408896498707,"00.01:47:02",107.0333333333333,"2023-06-24","13:46:05"
"29-06-99-56",3.34,26.31,.9398297872340425,3.840975609756097,15.18747126436782,6.085,9.08,2.556551724137931,41.17,7.24,.35,64.7,3.6,4.800000000000001,4.69,193.8898283854959,"00.03:17:12",197.2,"2023-06-24","12:50:02"
"86-92-94-72",4.18,7.994999999999999,1.5,3.840975609756097,20.94,5.31,7.71,2.556551724137931,29.16,7.51,1.55,7.95,3.2,2.561504297994269,4.41,110.3740316318883,"00.02:13:05",133.0833333333333,"2023-06-24","11:31:00"
