interview__key,buyers__1,buyers__2,buyers__3,buyers__4,buyers__5,buyers__6,buyers__7,buyers__96,sl_oth_1,cp03__1,cp03__2,cp03__3,cp03__4,cp03__5,cp03__6,cp03__7,cp03__8,cp03__9,cp03__10,cp03__11,cp03__12,cp02__1,cp02__2,cp02__3,cp02__96,cp0_other,markt_output_dist,markt_input_dist,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3
"15-76-60-42",1,1,0,0,0,0,0,0,"","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","",15,6,"No","","no",,,,,,,
"31-41-38-46",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"01-03-25-84",1,0,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","",5,1,"No","","yes","No","Yes","No","No","Yes","No","No"
"31-13-18-39",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","",10,10,"No","","no",,,,,,,
"49-33-75-72",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","at the farm place",55,7,"No","","no",,,,,,,
"72-79-79-86",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","",2,1,"No","","no",,,,,,,
"86-17-23-69",1,0,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","",2,2,"No","","no",,,,,,,
"35-55-11-33",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","",5,5,"No","","no",,,,,,,
"74-41-75-97",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"75-64-48-24",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","did not transport any, because has not yet harvested",3,3,"No","","no",,,,,,,
"46-90-31-29",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","no crop was sold",15,15,"No","","no",,,,,,,
"32-45-37-94",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","I did not sell the maize, all the maize I had I purchased it with money and it was used for consumption",.5,.5,"No","","no",,,,,,,
"29-06-99-56",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","",18,18,"No","","yes","No","Yes","No","No","Yes","No","No"
"86-92-94-72",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","They bought it from my household",.5,.25,"No","","no",,,,,,,
"95-96-07-01",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","Yes","No","",3,3,"No","","yes","No","Yes","No","No","Yes","No","No"
"56-10-42-62",0,1,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","Yes","No","Yes","No","No","No","",8,11,"No","","no",,,,,,,
"39-85-42-75",0,0,0,0,0,0,0,1,"They didn't sell but they took to the school as payments","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","",16,16,"No","","no",,,,,,,
"51-15-10-63",1,1,0,0,0,0,0,0,"","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","",2,8,"No","","no",,,,,,,
"81-75-45-31",1,0,0,0,0,0,0,0,"","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","",12,12,"No","","yes","No","Yes","No","No","No","No","Yes"
"57-29-61-37",1,0,0,0,0,0,0,0,"","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","",.25,.25,"No","","no",,,,,,,
"92-19-38-79",0,1,0,0,0,0,0,0,"","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","",18,18,"No","","yes","Yes","Yes","Yes","No","Yes","No","No"
"51-61-36-83",0,1,0,0,0,0,0,0,"","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","",70,70,"No","","no",,,,,,,
"26-90-05-49",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","",2,5,"No","","no",,,,,,,
"66-97-67-27",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","",6,10,"No","","yes","No","Yes","No","No","Yes","No","No"
"78-48-49-89",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","I did not sell the maize",4,20,"No","","yes","No","Yes","No","No","Yes","No","No"
