interview__key,r_members__id,as01,as02,as03,as04,as05,asst01,asst02,asast01,asast02,asp_livestock,asp_livestock_future,asinc01,asp_occup,ed01asp,ed02asp,asp_achieve_confi,life_satisfaction,aspire_cont_farm,non_agri_ventures__1,non_agri_ventures__2,non_agri_ventures__3,non_agri_ventures__4,non_agri_ventures__5,non_agri_ventures__6,non_agri_ventures__7,non_agri_ventures__8,non_agri_ventures__9,non_agri_ventures__10,non_agri_ventures__11,non_agri_ventures__96,non_agri_ventures_oth,agri_crop_aspir,yield_max,yield_min,yield_aspire,yield_aspir_opt__1,yield_aspir_opt__2,yield_aspir_opt__3,yield_aspir_opt__4,yield_aspir_opt__5,yield_aspir_opt__6,yield_aspir_opt__7,yield_aspir_opt__8,yield_aspir_opt__96,yield_aspir_opt_oth,agri_loan_aspire,agri_loan_prps__1,agri_loan_prps__2,agri_loan_prps__3,agri_loan_prps__4,agri_loan_prps__5,agri_loan_prps__6,agri_loan_prps__7,agri_loan_prps__96,agri_loan_prps__n888,agri_loan_aspire_oth,loan_purpose__1,loan_purpose__2,loan_purpose__3,loan_purpose__4,loan_purpose__5,loan_purpose__6,loan_purpose__7,loan_purpose__8,loan_purpose__9,loan_purpose__10,loan_purpose__11,loan_purpose__12,loan_purpose__13,loan_purpose__14,loan_purpose__15,loan_purpose__96,loan_purpose_oth,loan_amt_educ,loan_amt_agri,loan_amt_nonfarm,loan_amt_oth,agri_loan,agri_loan_lndr__1,agri_loan_lndr__2,agri_loan_lndr__3,agri_loan_lndr__4,agri_loan_lndr__5,agri_loan_lndr__96,agri_loan_lndr__n888,agri_loan_lndr__n999,agri_loan_lndr_oth,agri_loan_amt
"62-34-36-23",1,4,5,5,2,4,8,9,5,8,4,9,2000,"Both crop and livestock/fish farming","Grade 7","No formal education","Likely","Neither","Both",1,0,0,0,0,0,0,0,0,0,0,0,"",1080,20,20,25,0,0,0,0,1,0,0,0,0,"","No",,,,,,,,,,"",,"No","No",,"No","No",,"No","No","No","No","No","No","No","No","Yes",,2500,6000,2000,1000,"No",,,,,,,,,,
"54-21-12-64",2,0,4,9,0,7,10,10,1,10,0,2,800,"Crop farming/cultivation","I dont know","I dont know","Likely","dissatisfied","Continue to farming",,,,,,,,,,,,,"",1080,700,350,1400,0,2,0,0,0,1,0,3,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",,0,400,0,0,"No",,,,,,,,,,
"54-21-12-64",3,10,8,0,0,2,9,10,1,5,0,6,1000,"Livestock keeping/raising","I dont know","No formal education","Likely","dissatisfied","Not engaged in farming",,,,,,,,,,,,,"",1080,700,300,900,1,2,0,0,0,3,0,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",,0,0,0,0,"No",,,,,,,,,,
"56-96-68-33",1,3,10,2,0,5,5,9,3,7,0,9,5000,"Self-employed agribusiness/agrienterprise","Grade 8","No formal education","Likely","Very satisfied","Not engaged in farming",,,,,,,,,,,,,"",,,,,,,,,,,,,,"",,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,0,0,0,0,"No",,,,,,,,,,
"56-96-68-33",2,10,4,0,1,5,10,10,1,10,0,4,800,"Agricultural wage labour (hired agricultural labour)","I dont know","No formal education","Likely","dissatisfied","Not engaged in farming",,,,,,,,,,,,,"",,,,,,,,,,,,,,"",,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",,0,0,0,0,"No",,,,,,,,,,
"77-02-55-05",1,5,6,1,5,3,8,10,3,4,3,5,500,"Both crop and livestock/fish farming","Grade 8","Grade 4","Very likely","Very satisfied","Continue to farming",,,,,,,,,,,,,"",1080,70,3,700,1,0,2,0,0,0,0,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No",,"No","No","No","No","Yes","No","No","No","No",,10000,10000,0,0,"No",,,,,,,,,,
"77-02-55-05",3,4,6,4,4,2,4,6,3,6,3,7,10000,"Both crop and livestock/fish farming","No formal education","Grade 2","Very likely","Very satisfied","Both",0,0,0,0,0,0,0,0,0,0,0,1,"Selling poles",1080,49,6,100,1,0,2,0,0,0,0,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","Yes","No",,"No","No",,"No","No","No","No",,50000,10000,0,0,"No",,,,,,,,,,
"14-81-15-88",1,0,20,0,0,0,3,9,0,1,4,6,1000,"Both crop and livestock/fish farming","I dont know","No formal education","Likely","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,3500,350,500,0,3,0,0,0,2,0,1,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",,500,1000,0,0,"No",,,,,,,,,,
"96-74-08-90",3,6,4,4,3,3,5,9,7,9,6,8,5000,"None/No employment","Grade 9","Grade 8","Very unlikely","Neither","Both",1,0,0,0,0,0,0,0,0,0,0,0,"",1080,15,20,10,0,0,0,0,1,0,0,0,0,"","Yes",1,0,0,3,2,0,4,0,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,1000,10000,2000,1000,"No",,,,,,,,,,
"96-06-73-25",1,6,10,1,2,1,4,7,3,5,2,5,6000,"Teacher/education","I dont know","I dont know","Very likely","Satisfied","Both",0,1,0,0,0,0,0,0,0,0,0,0,"",1080,13,.5,10,0,2,0,0,0,1,0,0,0,"","No",,,,,,,,,,"","No","No","No","No","No",,,"No",,,,"Yes","No","No","No","No",,50000,15000,10000,5000,"No",,,,,,,,,,
"96-06-73-25",2,5,6,3,2,4,3,7,2,5,4,8,2000,"Crop farming/cultivation","Grade 12","Grade 7","Very likely","Neither","Both",0,1,0,0,0,0,0,0,0,0,0,0,"",1080,10,1,12,0,3,0,0,0,2,1,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No",,"No",,"No","No",,"No","No","Yes","No",,1500,3000,0,0,"No",,,,,,,,,,
"74-47-72-19",1,3,6,4,3,4,8,9,9,5,0,3,800,"Livestock keeping/raising","Grade 7","Grade 4","Likely","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,40,4,25,1,0,0,0,2,0,0,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",,1000,1000,0,0,"No",,,,,,,,,,
"74-26-40-66",1,0,0,5,5,10,9,9,8,9,8,9,9,"Crop farming/cultivation","No formal education","No formal education","Maybe, maybe not","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,25,20,150,0,0,0,0,0,2,0,1,0,"","No",,,,,,,,,,"","Yes",,,"No","No","No","No","No","No","No","No","No","No","No","No","No",,1000,5000,0,0,"No",,,,,,,,,,
"74-26-40-66",2,0,0,10,5,5,9,9,7,8,5,8,10,"Crop farming/cultivation","Grade 7","No formal education","Maybe, maybe not","Satisfied","Both",1,0,0,0,0,0,0,0,0,0,0,0,"",1080,20,20,200,0,0,0,0,0,2,0,1,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No",,"No","No",,"Yes","No","No","No",,2000,5000,0,0,"No",,,,,,,,,,
"14-99-63-02",1,3,5,4,4,4,5,9,4,10,3,8,20000,"Both crop and livestock/fish farming","Grade 3","Grade 4","Very likely","Satisfied","Both",0,0,0,0,0,0,0,0,0,0,0,1,"Carpentry Shop",1080,300,15,20,0,0,0,0,1,0,0,2,0,"","Yes",2,0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",,30000,30000,15000,15000,"No",,,,,,,,,,
"14-99-63-02",2,5,5,3,4,3,4,4,3,5,3,4,10000,"Livestock keeping/raising","University level","Grade 12","Likely","Satisfied","Both",1,0,0,0,0,0,0,0,0,0,0,0,"",1080,25,5,15,0,0,0,0,0,0,0,1,0,"","Yes",0,0,2,1,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","No",,10000,10000,5000,2000,"No",,,,,,,,,,
"19-21-27-06",2,4,3,5,4,4,4,7,2,10,4,8,3000,"Livestock keeping/raising","No formal education","I dont know","Very likely","Satisfied","Both",1,1,0,0,0,0,0,0,0,0,0,0,"",1080,105,4,15,1,0,2,0,3,0,0,0,0,"","No",,,,,,,,,,"","No","Yes","No","No","No","No",,"No",,"No","No","No","No","No","No","No",,0,0,0,0,"No",,,,,,,,,,
