interview__key,r_asset_own__id,ha0_1,ha0_2,ha0_3__0,ha0_3__1,ha0_4
"62-34-36-23","Building","1",1,"Yes",,"I don't know"
"62-34-36-23","Plastic chairs","3",3,"Yes",,"I don't know"
"62-34-36-23","Plough","1",1,"Yes",,"1500"
"54-21-12-64","Building","1",1,"Yes",,"I don't know"
"56-96-68-33","Simple Mobile Phone","2",3,"Yes",,"350"
"56-96-68-33","Building","2",2,"Yes",,"I don't know"
"56-96-68-33","Radio","1",1,"Yes",,"75"
"77-02-55-05","Simple Mobile Phone","1",1,"Yes",,"180"
"77-02-55-05","Building","1",1,,,"3000"
"77-02-55-05","Plastic chairs","3",5,,,"60"
"14-81-15-88","Simple Mobile Phone","1",1,"Yes",,"100"
"14-81-15-88","Building","2",2,"Yes",,"500"
"14-81-15-88","Plastic chairs","1",1,"Yes",,"50"
"14-81-15-88","Solar panel","1",1,"Yes",,"100"
"96-74-08-90","Simple Mobile Phone","1",2,"Yes",,"100"
"96-74-08-90","Building","2",2,"Yes",,"I don't know"
"96-74-08-90","Plastic chairs","4",4,"Yes",,"50"
"96-74-08-90","Plough","1",1,"Yes",,"2000"
"96-06-73-25","Simple Mobile Phone","4",2,,,"200"
"96-06-73-25","Smart Phone","1",1,"Yes",,"1500"
"96-06-73-25","Building","3",2,"Yes",,"1000"
"96-06-73-25","Radio","2",1,"Yes",,"200"
"96-06-73-25","Television","1",0,"Yes",,"500"
"96-06-73-25","Plastic chairs","4",6,"Yes",,"20"
"96-06-73-25","Plough","1",1,"Yes",,"800"
"96-06-73-25","Solar panel","1",1,"Yes",,"1500"
"96-06-73-25","Electric generator","1",1,"Yes",,"3500"
"96-06-73-25","Battery bank","1",0,"Yes",,"1200"
"74-47-72-19","Simple Mobile Phone","1",3,"Yes",,"30"
"74-47-72-19","Building","1",1,"Yes",,"3500"
"74-47-72-19","Living room furniture set","1",1,"Yes",,"500"
"74-47-72-19","Plastic chairs","3",3,"Yes",,"150"
"74-26-40-66","Simple Mobile Phone","2",1,"Yes",,"200"
"74-26-40-66","Living room furniture set","4",0,"Yes",,"I don't know"
"74-26-40-66","Plastic chairs","3",0,"Yes",,"I don't know"
"74-26-40-66","Plough","1",1,"Yes",,"I don't know"
"74-26-40-66","Solar panel","1",1,"Yes",,"I don't know"
"74-26-40-66","Battery bank","1",1,"Yes",,"500"
"14-99-63-02","Simple Mobile Phone","1",1,"Yes",,"100"
"14-99-63-02","Smart Phone","1",1,,,"600"
"14-99-63-02","Building","2",1,"Yes",,"540"
"14-99-63-02","Radio","1",1,"Yes",,"700"
"14-99-63-02","Television","1",1,"Yes",,"550"
"14-99-63-02","Living room furniture set","4",4,"Yes",,"4000"
"14-99-63-02","Solar panel","1",1,"Yes",,"1200"
"19-21-27-06","Bicycle","1",1,"Yes",,"1000"
"19-21-27-06","Building","2",1,"Yes",,"I don't know"
"19-21-27-06","Radio","3",1,"Yes",,"1000"
"19-21-27-06","Television","3",2,"Yes",,"1500"
"19-21-27-06","Living room furniture set","7",2,"Yes",,"I don't know"
"19-21-27-06","Plough","1",1,"Yes",,"700"
