interview__key,r_members__id,r_child__id,ed03asp,asocp01,youth_child_tofarm
"77-02-55-05",1,5,"University level","Teaching","Very likely"
"77-02-55-05",1,6,"University level","Journalist","Very likely"
"77-02-55-05",3,5,"University level","Teacher","Likely"
"77-02-55-05",3,6,"University level","Nurse","Likely"
"96-74-08-90",3,5,"Post graduate university level","Mechanics","Very unlikely"
"96-74-08-90",3,6,"Post graduate university level","Doctor","Very unlikely"
"96-74-08-90",3,7,"Post graduate university level","Nurse","Very unlikely"
"96-06-73-25",1,5,"Post graduate university level","Teacher","Likely"
"96-06-73-25",1,6,"University level","Doctor","Likely"
"96-06-73-25",1,7,"University level","Doctor","Very likely"
"96-06-73-25",2,5,"College","Nurse","Likely"
"96-06-73-25",2,6,"College","Teacher","Likely"
"96-06-73-25",2,7,"University level","Clinical officer","Likely"
"74-47-72-19",1,5,"University level","Nursing","Very likely"
"74-47-72-19",1,6,"University level","Police officer","Very likely"
"14-99-63-02",1,5,"University level","Teacher","Likely"
"14-99-63-02",1,6,"University level","Teacher","Likely"
"14-99-63-02",1,7,"University level","Teacher","Likely"
"14-99-63-02",2,5,"University level","Police officer","Very likely"
"14-99-63-02",2,6,"University level","Doctor","Very likely"
"14-99-63-02",2,7,"University level","Teacher","Very likely"
"19-21-27-06",2,3,"Grade 12","Teacher","Likely"
"19-21-27-06",2,4,"Grade 12","Nurse","Likely"
"16-65-20-98",1,7,"University level","Teacher","Very likely"
"39-03-54-61",2,4,"University level","Nursing","Very likely"
"39-03-54-61",2,5,"College","Teacher","Very likely"
"86-35-86-55",1,4,"Grade 4","Medical personnel","Likely"
"86-35-86-55",2,4,"University level","Medical personnel","Likely"
"93-61-35-58",2,5,"University level","Doctor","Likely"
"93-61-35-58",2,6,"University level","Police officer","Very likely"
"87-48-20-01",1,9,"University level","Nursing","Very likely"
"87-48-20-01",1,10,"University level","Police officer","Very likely"
"87-48-20-01",1,11,"University level","News reporter","Very likely"
"87-48-20-01",2,9,"University level","Teacher","Likely"
"87-48-20-01",2,10,"University level","Police officer","Very likely"
"87-48-20-01",2,11,"University level","News reporter","Likely"
"31-16-66-31",2,7,"Grade 1","Medical personnel","Likely"
"31-16-66-31",3,7,"Grade 1","Medical personnel","Very likely"
"68-61-83-10",1,4,"Post graduate university level","Nurse","Very likely"
"96-11-54-44",1,4,"University level","Doctor","Maybe, maybe not"
"96-11-54-44",1,5,"University level","Teacher","Very unlikely"
"96-11-54-44",2,4,"University level","Teacher","Maybe, maybe not"
"96-11-54-44",2,5,"University level","Police officer","Maybe, maybe not"
"70-22-33-16",1,3,"University level","Teacher","Very likely"
