interview__key,consev_hh,consev_name,consev_typ__1,consev_typ__2,consev_typ__3,consev_typ__4,consev_typ__5,consev_meb,consev_exphh,consev_expcom,consev_cash,consev_fd,consev_fdamt,consev_adben,consev_ad,consev_ben,consev_mt,wld_conft,wld_confl_frequ,wld_dmg__1,wld_dmg__2,wld_dmg__3,wld_dmg__96,wld_dmgcomp,comp_amt
"62-34-36-23","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"54-21-12-64","Yes","Game Management Area","No","No","No","No","Yes","No","Negative effect","Negative effect",,,,,"",,,"Yes",2,"Yes","No","No","No",,
"56-96-68-33","Yes","Game Management Area","No","No","No","No","Yes","No","Negative effect","Negative effect",,,,,"",,,"No",,,,,,,
"77-02-55-05","Yes","silolo conservancy","No","Yes","No","No","No","No","Positive effect","Positive effect",,,,,"",,,"No",,,,,,,
"14-81-15-88","Yes","-999","No","No","No","No","Yes","No","Very negative effect","Very negative effect",,,,,"",,,"Yes",1,"Yes","No","No","No",,
"96-74-08-90","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"96-06-73-25","Yes","Lower West Zambezi Game Management Area (GMA)","Yes","No","Yes","No","No","No","Positive effect","Positive effect",,,,,"",,,"Yes",3,"Yes","No","No","No",,
"74-47-72-19","No","",,,,,,,,,,,,,"",,,"Yes",1,"Yes","No","No","No",,
"74-26-40-66","No","",,,,,,,,,,,,,"",,,"Yes",3,"Yes","Yes","No","No",,
"14-99-63-02","Yes","Sioma National park","No","No","No","No","Yes","No","Very negative effect","Negative effect",,,,,"",,,"No",,,,,,,
"19-21-27-06","Yes","Sioma National Park","No","No","No","No","Yes","No","Negative effect","Negative effect",,,,,"",,,"No",,,,,,,
"37-56-42-12","Yes","-888","No","No","No","No","Yes","No","Positive effect","Positive effect",,,,,"",,,"Yes",3,"Yes","No","No","No",,
"16-65-20-98","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"09-74-03-14","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"39-03-54-61","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"86-35-86-55","Yes","sioma ngwei game management area","No","No","No","No","Yes","No","Positive effect","Positive effect",,,,,"",,,"Yes",5,"Yes","No","No","No",,
"88-11-61-94","Yes","Silolo conservancy","No","Yes","No","No","No","No","Positive effect","Positive effect",,,,,"",,,"No",,,,,,,
"93-61-35-58","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"87-48-20-01","No","",,,,,,,,,,,,,"",,,"Yes",1,"Yes","No","No","No",,
"66-77-51-72","Yes","Silolo conservancy","No","Yes","No","No","No","No","Positive effect","Positive effect",,,,,"",,,"No",,,,,,,
"31-16-66-31","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"88-03-82-39","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"59-90-45-51","Yes","Simalaha","Yes","No","No","No","Yes","No","Very negative effect","Very negative effect",,,,,"",,,"Yes",15,"Yes","No","No","No",,
"68-61-83-10","No","",,,,,,,,,,,,,"",,,"Yes",1,"Yes","No","No","No",,
"96-11-54-44","Yes","Simalaha","Yes","No","No","No","No","No","Negative effect","Negative effect",,,,,"",,,"Yes",2,"Yes","No","No","No",,
"70-22-33-16","No","",,,,,,,,,,,,,"",,,"Yes",3,"No","Yes","No","No",,
"12-54-99-38","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"39-44-22-57","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"11-92-45-50","No","",,,,,,,,,,,,,"",,,"Yes",1,"Yes","No","No","No",,
"73-14-88-64","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"59-60-22-11","No","",,,,,,,,,,,,,"",,,"Yes",2,"Yes","No","No","No",,
"63-18-15-01","Yes","Simalaha","Yes","No","No","No","Yes","No","Very negative effect","Very negative effect",,,,,"",,,"Yes",15,"Yes","No","No","No",,
"40-24-89-40","Yes","simalaha conservancy","No","No","No","No","Yes","Yes","Negative effect","Positive effect","No",0,,"No","","Neither","Never","No",,,,,,,
"26-37-34-30","Yes","Simahala conservancy","No","No","No","No","Yes","Yes","Neutral (or no effect)","Negative effect","No",0,,"No","","Neither","Never","No",,,,,,,
"57-72-53-25","Yes","Simahala","Yes","No","No","No","No","No","Negative effect","Negative effect",,,,,"",,,"Yes",2,"Yes","Yes","Yes","No",,
"15-31-68-47","Yes","Simalaha conservancy","No","No","Yes","No","No","Yes","Neutral (or no effect)","Neutral (or no effect)","No",0,,"No","","Neither","Never","No",,,,,,,
"54-23-26-42","Yes","Silowana conservancy","No","Yes","No","No","No","Yes","Neutral (or no effect)","Neutral (or no effect)","No",0,,"No","","Very dissatisfied","More than once per month","Yes",100,"Yes","No","No","No",,
"06-33-74-17","Yes","Mwandi conservancy","No","Yes","No","No","No","No","Positive effect","Positive effect",,,,,"",,,"No",,,,,,,
"09-17-76-18","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"91-72-91-72","Yes","Ngwezi","No","No","No","No","Yes","No","Negative effect","Negative effect",,,,,"",,,"Yes",4,"Yes","No","Yes","No",,
"07-58-36-50","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"27-63-39-98","Yes","mwandi conservancy","No","Yes","No","No","No","No","Positive effect","Positive effect",,,,,"",,,"No",,,,,,,
"31-14-07-01","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"96-79-76-17","Yes","Sioma ngweze national park","No","No","No","No","Yes","No","Very negative effect","Very negative effect",,,,,"",,,"Yes",1,"Yes","No","No","No",,
"23-90-90-29","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"99-47-47-96","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"48-69-67-88","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"93-76-93-98","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"02-49-04-36","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"97-96-55-67","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"55-00-90-34","Yes","Lower West Zambezi Game Management Area","Yes","No","Yes","No","No","No","Neutral (or no effect)","Neutral (or no effect)",,,,,"",,,"Yes",2,"Yes","No","No","No",,
"74-92-93-10","No","",,,,,,,,,,,,,"",,,"Yes",1,"Yes","No","No","No",,
"62-57-54-10","No","",,,,,,,,,,,,,"",,,"Yes",1,"Yes","No","No","No",,
"81-64-58-33","Yes","Simalaha Conservancy","No","No","No","No","Yes","No","Negative effect","Negative effect",,,,,"",,,"Yes",2,"Yes","No","No","No",,
"51-16-15-92","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"63-16-06-54","Yes","Lower West Zambezi Game Management Area","Yes","No","Yes","No","No","No","Neutral (or no effect)","Negative effect",,,,,"",,,"Yes",6,"Yes","No","No","No",,
"32-07-75-14","No","",,,,,,,,,,,,,"",,,"Yes",2,"Yes","No","No","No",,
"23-46-49-04","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"81-47-15-41","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"74-82-45-40","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"71-03-17-29","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"22-02-08-34","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"35-24-65-37","No","",,,,,,,,,,,,,"",,,"Yes",1,"Yes","No","No","No",,
"94-94-59-77","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"62-18-60-04","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"13-57-44-05","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"53-63-07-20","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"67-75-50-83","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"02-25-92-18","No","",,,,,,,,,,,,,"",,,"Yes",2,"Yes","No","No","No",,
"49-92-48-01","No","",,,,,,,,,,,,,"",,,"Yes",2,"Yes","No","No","No",,
"86-85-54-02","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"25-71-60-55","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"52-17-01-39","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"85-68-71-94","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"88-33-53-02","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"73-16-52-51","Yes","Ngweze national park","No","No","No","No","Yes","No","Very negative effect","Very negative effect",,,,,"",,,"Yes",1,"Yes","No","No","No",,
"29-32-71-31","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"08-80-55-70","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"58-68-82-05","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"40-89-66-86","Yes","Sioma Ngwezi National Park","No","No","No","No","Yes","No","Negative effect","Negative effect",,,,,"",,,"Yes",20,"Yes","No","No","No",,
"88-30-77-96","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"72-26-90-86","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"49-59-81-92","Yes","Sioma Ngwezi National Park","No","No","No","No","Yes","No","Negative effect","Negative effect",,,,,"",,,"Yes",5,"Yes","No","No","No",,
"21-01-20-88","Yes","Sioma ngweze national park","No","No","No","No","Yes","No","Very negative effect","Very negative effect",,,,,"",,,"Yes",2,"Yes","No","No","No",,
"79-70-14-90","No","",,,,,,,,,,,,,"",,,"Yes",1,"Yes","No","No","No",,
