interview__key,conseration_agri,practise_ca,future_like_ca,why_future_ca_1__1,why_future_ca_1__2,why_future_ca_1__3,why_future_ca_1__96,why_future_ca_1_other,why_future_ca_2__1,why_future_ca_2__2,why_future_ca_2__3,why_future_ca_2__4,why_future_ca_2__5,why_future_ca_2__96,why_future_ca_2_other
"62-34-36-23","Yes","No",,,,,,"",,,,,,,""
"54-21-12-64","No","No",,,,,,"",,,,,,,""
"56-96-68-33","Yes","No",,,,,,"",,,,,,,""
"77-02-55-05","No","No",,,,,,"",,,,,,,""
"14-81-15-88","No","No",,,,,,"",,,,,,,""
"96-74-08-90","Yes","No",,,,,,"",,,,,,,""
"96-06-73-25","Yes","Yes",,,,,,"",,,,,,,""
"74-47-72-19","Yes","No",,,,,,"",,,,,,,""
"74-26-40-66","Yes","Yes",,,,,,"",,,,,,,""
"14-99-63-02","No","No",,,,,,"",,,,,,,""
"19-21-27-06","No","No",,,,,,"",,,,,,,""
"37-56-42-12","No","No",,,,,,"",,,,,,,""
"16-65-20-98","Yes","Yes",,,,,,"",,,,,,,""
"09-74-03-14","No","No",,,,,,"",,,,,,,""
"39-03-54-61","Yes","No",,,,,,"",,,,,,,""
"86-35-86-55","No","No",,,,,,"",,,,,,,""
"88-11-61-94","Yes","No",,,,,,"",,,,,,,""
"93-61-35-58","Yes","No",,,,,,"",,,,,,,""
"87-48-20-01","Yes","No",,,,,,"",,,,,,,""
"66-77-51-72","Yes","No",,,,,,"",,,,,,,""
"31-16-66-31","No","No",,,,,,"",,,,,,,""
"88-03-82-39","Yes","Yes",,,,,,"",,,,,,,""
"59-90-45-51","Yes","Yes",,,,,,"",,,,,,,""
"68-61-83-10","Yes","Yes",,,,,,"",,,,,,,""
"96-11-54-44","Yes","Yes",,,,,,"",,,,,,,""
"70-22-33-16","Yes","No",,,,,,"",,,,,,,""
"12-54-99-38","Yes","No",,,,,,"",,,,,,,""
"39-44-22-57","Yes","No",,,,,,"",,,,,,,""
"11-92-45-50","Yes","Yes",,,,,,"",,,,,,,""
"73-14-88-64","No","No",,,,,,"",,,,,,,""
"59-60-22-11","Yes","No",,,,,,"",,,,,,,""
"63-18-15-01","Yes","Yes",,,,,,"",,,,,,,""
"40-24-89-40","Yes","Yes",,,,,,"",,,,,,,""
"26-37-34-30","Yes","Yes",,,,,,"",,,,,,,""
