interview__key,r_crop__id,crop_area,cp06,crop_harvest,crop_output,crop_unit,crop_unit_1,crop_sale,crop_saleamt,crop_slunits,crop_slunits_1,crop_price,crop_buyer__1,crop_buyer__2,crop_buyer__3,crop_buyer__4,crop_buyer__5,crop_buyer__6,crop_buyer__96,crop_buyer_oth,crop_buyer_where,crop_homecons,crop_clunits,crop_cunits_1,cp_stor,cpamt,cpunits2,cpunits2_oth,crop_inkind_pay,payment_unit,payment_unit_oth,crop_gifts,gift_unit,gift_unit_oth,crop_oth_uses,crop_ouse_oth,ouses_unit,ouses_unit_oth,crp_irrig,irrig__1,irrig__2,irrig__3,irrig__4,irrig__5,irrig__6,irrig__96,irrig__n888,irrig__n999,irrig_others,irrig_method__1,irrig_method__2,irrig_method__3,irrig_method__4,irrig_method__96,irrig_method__n888,irrig_method__n999,seed,var_trait_1__1,var_trait_1__2,var_trait_1__3,var_trait_1__4,var_trait_1__5,var_trait_1__6,var_trait_1__7,var_trait_1__8,var_trait_1__9,var_trait_1__10,var_trait_1__11,var_trait_1__12,var_trait_1__13,var_trait_1__14,var_trait_1__15,var_trait_1__16,var_trait_1__17,var_trait_1__18,var_trait_1__19,var_trait_1__20,var_trait_1__96,var_trait_1_other,reason_imp_seed__1,reason_imp_seed__2,reason_imp_seed__3,reason_imp_seed__4,reason_imp_seed__5,reason_imp_seed__6,reason_imp_seed__7,reason_imp_seed__96,reason_imp_seed_oth,seed_source_1,seed_source_oth_1,seed_amt_1,seed_amtunits,seed_amtunits_oth,seed_price_1,cp07,cp08,reason_fert__1,reason_fert__2,reason_fert__3,reason_fert__4,reason_fert__5,reason_fert__6,reason_fert__7,reason_fert__96,reason_fert_oth,cp09,cp11
"62-34-36-23","GROUND NUT/PEANUTS","1","No","Yes",5,"50 kg bag","","Yes",2,"50 kg bag","",200,"Yes","No","No","No","No","No","No",,,1,"50 kg bag","","Yes","2","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,"Yes",,"No","No","No","No","No","No",,,,,,,,"No","No","No","No","Yes","No","No","No","No","No",,"No","No"
"62-34-36-23","MAIZE","2","Yes","Yes",14,"50 kg bag","","No",,,"",,,,,,,,,,,7,"50 kg bag","","Yes","7","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No","No","No","No","No",,"No","No"
"54-21-12-64","BEANS/COWPEA","2","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,"Yes","No","No","No","No","No","No","No",,,,,,,,"No","No","Yes",,"No","No","No","No","No","No",,"No","No"
"54-21-12-64","GROUND NUT/PEANUTS","2","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","Yes","No",,"No","No","No","No","No","No","No","No","No","No",,"No","Yes","No","No","No","No","No","No",,,,,,,,"No","No",,"Yes","No","No","No","No","No","No",,"No","No"
"54-21-12-64","MAIZE","7","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No",,"Yes","No","No","No","No","No","No",,"No","No"
"77-02-55-05","MAIZE","15","No","Yes",7,"50 kg bag","","No",,,"",,,,,,,,,,,5,"50 kg bag","","Yes","2","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"Yes","No","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,"Yes",,,,"No","No","Yes","No","No","No","No","No","No",,,"No","No"
"14-81-15-88","OTHER SPECIFY","2","No","Yes",1,"Other (please specify)","one drum of groundnuts","No",,,"",,,,,,,,,,,1,"Other (please specify)","unshelled groundnuts","Yes","1","Other (please specify)","One drum full of groundnuts","0",,"",12,"Basins","","I don't know","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No",,"No",,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,"Yes","No","No","No","No","No","No","No",,,,"Yes",,,,"Yes","No","Yes","No","No","No","No",,"No","No",,"No","No"
"14-81-15-88","MAIZE","8","Yes","Yes",2,"Oxcart","","No",,,"",,,,,,,,,,,1,"Kilograms","","Yes","I don't know",,"","0",,"",2,"Other (please specify)","","0","",,"","No",,,,,,,,,,"",,,,,,,,,,"No","Yes","No","No","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No","No","Yes","No",,,"No","No"
"96-74-08-90","BEANS/COWPEA","8","Yes","Yes",3,"Basins","","No",,,"",,,,,,,,,,,0,,"","Yes","50","50 kg bag","","0",,"",3,"Kilograms","","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","Yes",,,,,,,,,,"No","No"
"96-74-08-90","MAIZE","8","Yes","Yes",2,"50 kg bag","","No",,,"",,,,,,,,,,,2,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,"No","No","No","Yes","No","No","No","No","No","No","No",,"No","No"
