interview__key,r_members__id,food_special,food_groups__1,food_groups__2,food_groups__3,food_groups__4,food_groups__5,food_groups__6,food_groups__7,food_groups__8,food_groups__9,food_groups__10,food_groups__11,food_groups__12,food_groups__13,food_groups__14,food_groups__15,food_groups__16
"62-34-36-23",1,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No"
"54-21-12-64",2,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"54-21-12-64",3,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"56-96-68-33",1,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"56-96-68-33",2,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"77-02-55-05",1,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"77-02-55-05",3,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"14-81-15-88",1,"Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No"
"96-74-08-90",3,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"96-06-73-25",1,"Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No"
"96-06-73-25",2,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No"
"74-47-72-19",1,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"74-26-40-66",1,"No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes","No","Yes","No","Yes","No"
"74-26-40-66",2,"No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes","No","Yes","No","Yes","No"
"14-99-63-02",1,"No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes"
"14-99-63-02",2,"No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes"
"19-21-27-06",2,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes"
"37-56-42-12",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"37-56-42-12",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"16-65-20-98",1,"Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No"
"09-74-03-14",1,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"39-03-54-61",2,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"86-35-86-55",1,"No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"86-35-86-55",2,"No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
