interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"62-34-36-23","Firewood",10,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Slight increase","","Deforestation"
"62-34-36-23","Sand, stone, mud",2,"Oxcart","","No",,,"",,,"No",,"Slight increase","Slight increase","Sand will definitely increase because of sil erosion",""
"54-21-12-64","Firewood",3,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"54-21-12-64","Timber or poles",10,"25kg bag","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"54-21-12-64","Sand, stone, mud",1,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"56-96-68-33","Firewood",300,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"77-02-55-05","Firewood",1,"Oxcart","","No",,,"",,,"Yes",50,"Slight decrease","Slight increase","","Deforestation"
"14-81-15-88","Firewood",36,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"14-81-15-88","Sand, stone, mud",250,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"96-74-08-90","Firewood",4,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"96-06-73-25","Firewood",24,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Indiscriminate harvest"
"96-06-73-25","Timber or poles",20,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","indiscriminate harvest"
"96-06-73-25","Wild fruits",5,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"96-06-73-25","Medicinal plants",6,"Basins","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Because of the unsustainable harvesting method"
"74-47-72-19","Firewood",5,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"74-47-72-19","Wild fruits",3,"Basins","","No",,,"",,,"No",,"The same","Massive decrease","",""
"74-26-40-66","Firewood",10,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","due to timber harvest"
"14-99-63-02","Firewood",1,"Oxcart","","No",,,"",,,"No",,"Massive increase","Massive increase","We have a lot of trees that have and are growing",""
"19-21-27-06","Firewood",1,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight increase","","Population increase"
