interview__key,lvexp01_11,lvexp02_12,lvexp03_13,lvexp04_14,lvexp05_15,lvexp06_16
"62-34-36-23",0,0,400,0,0,"0"
"54-21-12-64",,,,,,""
"56-96-68-33",,,,,,""
"77-02-55-05",,,,,,""
"14-81-15-88",0,0,0,0,0,"0"
"96-74-08-90",0,0,0,0,0,"0"
"96-06-73-25",0,0,1100,0,1000,"0"
"74-47-72-19",,,,,,""
"74-26-40-66",0,0,200,0,1200,"0"
"14-99-63-02",0,0,0,0,0,"0"
"19-21-27-06",0,0,85,0,0,"0"
"37-56-42-12",,,,,,""
"16-65-20-98",,,,,,""
"09-74-03-14",,,,,,""
"39-03-54-61",0,0,0,0,0,"0"
"86-35-86-55",0,0,1700,0,500,"0"
"88-11-61-94",0,0,110,0,150,"0"
"93-61-35-58",0,0,0,0,0,"0"
"87-48-20-01",0,0,0,0,0,"0"
"66-77-51-72",1000,0,0,0,0,"0"
"31-16-66-31",7500,0,1500,0,1200,"0"
"88-03-82-39",,,,,,""
"59-90-45-51",0,0,0,0,0,"0"
"68-61-83-10",500,0,230,0,0,"0"
"96-11-54-44",0,0,750,0,0,"0"
"70-22-33-16",0,0,400,0,0,"0"
"12-54-99-38",0,0,800,0,0,"0"
"39-44-22-57",,,,,,""
"11-92-45-50",0,0,0,0,0,"0"
"73-14-88-64",0,0,0,0,0,"0"
"59-60-22-11",,,,,,""
"63-18-15-01",500,0,200,0,0,"0"
"40-24-89-40",,,,,,""
"26-37-34-30",0,0,12000,0,0,"0"
"57-72-53-25",0,0,475,0,0,"0"
"15-31-68-47",0,0,765,0,0,"0"
"54-23-26-42",300,0,490,0,0,"0"
"06-33-74-17",,,,,,""
"09-17-76-18",,,,,,""
"91-72-91-72",0,0,600,100,0,"0"
"07-58-36-50",0,0,300,0,0,"0"
"27-63-39-98",,,,,,""
"31-14-07-01",0,0,500,0,0,"150"
"96-79-76-17",0,0,0,0,0,"0"
"23-90-90-29",,,,,,""
"99-47-47-96",0,0,1300,0,1200,"0"
"48-69-67-88",,,,,,""
"93-76-93-98",0,0,0,0,0,"0"
"02-49-04-36",0,0,500,0,0,"0"
"97-96-55-67",0,0,0,0,0,"0"
"55-00-90-34",,,,,,""
"74-92-93-10",40,0,700,0,350,"0"
"62-57-54-10",0,8,640,0,3600,"0"
"81-64-58-33",0,0,600,0,0,"0"
"51-16-15-92",,,,,,""
"63-16-06-54",0,0,500,0,0,"0"
"32-07-75-14",0,0,570,0,0,"0"
"23-46-49-04",0,0,0,0,0,"0"
"81-47-15-41",,,,,,""
"74-82-45-40",0,0,0,0,0,"0"
"71-03-17-29",,,,,,""
"22-02-08-34",0,0,0,0,0,"0"
"35-24-65-37",0,0,400,0,0,"0"
"94-94-59-77",0,0,200,0,0,"0"
"62-18-60-04",,,,,,""
"13-57-44-05",,,,,,""
"53-63-07-20",0,0,400,0,300,"20"
"67-75-50-83",0,0,0,0,0,"0"
"02-25-92-18",120,0,0,0,0,"0"
"49-92-48-01",0,0,360,0,0,"0"
"86-85-54-02",0,0,0,0,0,"0"
"25-71-60-55",0,0,0,0,0,"0"
"52-17-01-39",0,0,0,0,0,"0"
"85-68-71-94",,,,,,""
"88-33-53-02",0,0,2000,0,0,"0"
"73-16-52-51",0,0,0,0,0,"0"
"29-32-71-31",0,0,150,0,3000,"0"
"08-80-55-70",0,0,400,0,0,"0"
"58-68-82-05",0,0,0,0,0,"0"
"40-89-66-86",0,0,100,0,0,"0"
"88-30-77-96",0,0,200,0,0,"0"
"72-26-90-86",0,0,0,0,0,"0"
"49-59-81-92",0,0,100,0,0,"0"
"21-01-20-88",,,,,,""
"79-70-14-90",,,,,,""
"80-75-47-72",,,,,,""
"56-08-93-09",0,0,200,0,0,"0"
"17-42-48-26",,,,,,""
"48-20-15-07",0,0,0,0,0,"0"
"14-03-97-85",0,0,800,500,1000,"0"
"85-88-72-49",,,,,,""
"44-34-38-88",,,,,,""
"83-00-22-24",,,,,,""
"53-00-05-97",,,,,,""
"57-74-38-33",0,0,480,0,0,"0"
"65-24-72-96",0,0,700,0,0,"0"
"67-69-19-83",,,,,,""
"65-02-79-39",0,0,0,0,0,"0"
"36-55-19-74",,,,,,""
"02-47-11-50",,,,,,""
"34-55-62-08",0,0,0,0,0,"0"
"21-53-06-24",30,0,200,0,0,"0"
"54-20-19-80",0,0,500,0,400,"50"
"77-37-06-75",0,0,500,0,2400,"0"
"17-29-45-21",,,,,,""
"14-98-54-79",,,,,,""
"74-43-35-64",,,,,,""
"02-76-65-17",0,0,500,0,0,"0"
"91-57-65-34",0,0,0,0,0,"0"
"61-08-28-75",0,0,360,0,0,"0"
"08-98-76-07",0,0,400,0,0,"100"
"07-58-78-17",0,0,500,0,0,"0"
"50-08-29-58",0,0,60,0,0,"0"
"21-97-24-76",,,,,,""
"47-86-23-98",0,0,0,0,0,"0"
"58-41-17-07",0,0,0,0,0,"0"
"27-41-68-88",0,0,0,0,0,"0"
"36-57-67-99",0,0,700,0,0,"0"
"14-01-18-55",0,0,1000,0,0,"0"
"25-45-40-50",,,,,,""
"28-45-95-92",,,,,,""
"52-38-49-21",200,0,600,0,0,"0"
"59-05-06-39",0,0,1000,0,0,"0"
"07-23-34-26",0,0,500,0,0,"0"
"74-55-33-17",0,0,270,0,800,"0"
"63-06-38-69",0,0,1000,0,0,"0"
"05-74-67-92",0,0,2000,0,0,"0"
"98-46-70-51",0,0,1000,0,0,"0"
"36-97-15-03",0,0,1000,0,0,"0"
"31-20-72-58",0,0,0,0,0,"0"
"59-12-76-31",0,0,400,0,0,"0"
"07-54-13-18",0,0,600,0,0,"0"
"84-52-73-65",0,0,0,0,0,"0"
"85-09-03-91",0,0,700,0,0,"0"
"56-01-39-00",0,0,300,0,0,"0"
"69-33-88-72",0,0,600,0,0,"0"
"26-09-67-07",0,0,0,0,150,"0"
"69-39-81-14",0,0,0,0,0,"0"
"00-76-43-47",0,0,400,0,0,"0"
"29-40-24-48",0,0,0,0,0,"0"
"79-00-21-46",0,0,300,0,0,"0"
"46-34-68-84",0,0,0,0,0,"0"
"45-00-04-40",0,0,200,0,0,"0"
"22-15-19-43",,,,,,""
"09-01-21-24",,,,,,""
"28-05-99-59",,,,,,""
"78-33-63-09",0,0,300,0,0,"20"
"21-06-84-39",,,,,,""
"96-45-29-81",0,0,300,0,0,"0"
"82-78-33-54",,,,,,""
"01-53-98-85",0,0,0,0,0,"0"
"15-34-27-17",0,0,0,0,0,"0"
"84-32-88-02",,,,,,""
"02-43-89-26",0,0,1,0,0,"0"
"36-62-21-63",,,,,,""
"98-63-71-97",0,0,1800,0,0,"0"
"07-88-71-07",0,0,400,0,0,"0"
"18-07-56-01",0,0,500,0,0,"20"
"76-16-53-82",,,,,,""
"36-91-65-20",,,,,,""
"22-29-07-01",0,0,275,0,0,"0"
"53-93-66-67",,,,,,""
"37-39-06-63",0,0,0,0,0,"0"
"17-95-97-27",0,0,0,0,0,"0"
"92-61-03-62",0,0,0,0,0,"0"
"02-86-94-14",,,,,,""
"26-53-37-24",0,0,1000,0,3000,"200"
"73-57-99-74",1000,0,300,600,0,"0"
"49-29-23-58",0,0,400,0,0,"0"
"71-13-07-75",0,0,100,0,0,"0"
"19-53-43-56",,,,,,""
"57-61-80-20",,,,,,""
"66-47-36-80",0,0,0,0,0,"0"
"55-47-02-66",0,0,200,0,0,"100"
"69-74-76-81",0,0,800,0,0,"0"
"25-51-33-57",0,0,240,0,0,"0"
"99-83-71-81",,,,,,""
"30-46-44-49",300,0,120,0,0,"0"
"03-30-12-96",,,,,,""
"35-16-22-13",,,,,,""
"96-28-28-46",0,0,150,0,0,"0"
"10-32-26-69",0,0,300,0,1200,"0"
"68-75-69-07",0,0,0,0,0,"0"
"02-58-63-69",0,0,0,0,0,"0"
"58-12-98-10",0,0,0,0,0,"0"
"22-68-19-10",,,,,,""
"99-42-05-34",0,0,1000,0,0,"0"
"21-29-11-98",0,0,0,0,0,"0"
"06-11-50-44",0,0,500,0,0,"0"
"38-44-09-59",,,,,,""
"81-45-35-86",0,0,20,0,0,"0"
"83-11-66-41",0,0,300,0,0,"0"
"45-34-02-51",,,,,,""
"26-37-15-28",0,0,0,0,0,"0"
"73-50-61-74",0,0,500,0,0,"0"
"58-09-34-36",,,,,,""
"94-78-30-89",0,0,1050,0,3000,"300"
"97-62-61-29",0,0,0,0,0,"0"
"16-35-49-05",0,0,0,0,0,"0"
"18-48-69-27",0,0,1000,0,0,"0"
"30-61-23-28",0,0,0,0,0,"0"
"91-09-11-51",0,0,0,0,0,"0"
"03-15-59-01",0,0,0,0,0,"0"
"51-88-98-79",0,0,1200,0,6600,"0"
"38-99-58-33",0,0,120,0,0,"0"
"73-78-76-86",,,,,,""
"16-76-51-56",,,,,,""
"34-75-99-64",,,,,,""
"00-76-59-09",0,0,200,0,0,"0"
"03-36-35-32",0,0,0,0,0,"0"
"66-74-25-56",0,0,0,0,0,"0"
"80-48-62-68",,,,,,""
"67-59-61-49",0,0,0,0,0,"0"
"23-88-68-38",0,0,3000,0,0,"0"
"24-58-49-24",,,,,,""
"27-73-91-69",,,,,,""
"88-41-94-49",,,,,,""
"83-47-45-70",,,,,,""
"06-72-44-70",,,,,,""
"85-25-38-04",,,,,,""
"99-72-02-18",0,0,0,0,0,"0"
"76-93-76-77",,,,,,""
"25-81-57-24",,,,,,""
"18-66-56-26",0,0,200,0,0,"0"
"38-35-03-16",0,0,0,0,0,"0"
"87-43-13-02",,,,,,""
"06-72-27-90",0,0,500,0,500,"0"
"10-09-48-91",0,0,400,0,0,"0"
"89-20-17-64",0,0,250,0,0,"0"
"61-30-29-22",0,0,500,0,0,"0"
"32-64-82-60",0,0,0,0,0,"0"
"05-69-71-03",0,0,0,0,0,"0"
"62-54-48-69",0,0,0,0,0,"0"
"40-71-41-17",0,0,500,0,0,"0"
"59-04-18-69",0,0,500,0,0,"0"
"99-19-59-36",0,0,0,0,0,"0"
"66-80-07-88",0,0,2500,0,0,"0"
"33-91-72-59",0,0,0,0,0,"0"
"79-95-75-64",0,0,220,0,0,"0"
"36-27-38-94",0,0,300,0,0,"0"
"20-85-41-55",0,0,2000,0,0,"0"
"99-41-30-80",0,0,0,0,0,"0"
"71-06-23-24",0,9,0,0,0,"0"
"89-01-00-04",,,,,,""
"00-37-37-14",0,0,400,0,0,"0"
"74-41-47-70",,,,,,""
"52-43-66-41",0,0,0,0,0,"0"
"83-13-77-99",0,0,0,0,600,"0"
"61-91-44-04",0,0,0,0,0,"0"
"61-31-17-62",0,0,500,0,3600,"0"
"01-73-77-56",0,0,100,0,0,"50"
"47-87-04-23",0,0,300,0,0,"0"
"46-77-22-22",,,,,,""
"54-46-59-23",0,0,0,0,0,"0"
"47-72-11-03",0,0,0,0,0,"0"
"75-19-56-83",,,,,,""
"17-63-18-37",,,,,,""
"36-67-78-55",120,0,0,0,0,"0"
"57-94-56-04",0,0,0,0,0,"0"
"50-78-72-42",0,0,160,0,0,"0"
"39-32-15-43",0,0,0,0,0,"0"
"83-43-24-20",0,0,200,0,0,"0"
"86-15-33-66",0,0,140,40,0,"0"
"44-68-45-91",0,0,180,0,0,"0"
"92-79-83-19",,,,,,""
"84-11-52-01",0,0,0,0,0,"0"
"04-80-79-59",,,,,,""
"86-90-94-39",0,0,0,0,0,"0"
"60-18-28-01",0,0,0,0,0,"0"
"95-75-71-60",0,0,0,0,0,"0"
"92-06-91-29",0,0,300,0,0,"0"
"54-44-90-07",0,0,300,0,0,"0"
"03-23-51-60",0,0,500,0,0,"0"
"00-90-52-98",,,,,,""
"94-81-42-69",0,0,300,0,0,"0"
"93-63-81-71",0,0,50,0,0,"0"
"98-80-95-52",,,,,,""
"43-02-26-99",,,,,,""
"53-75-34-84",0,0,0,0,0,"0"
"27-49-80-27",0,0,0,0,0,"0"
"33-72-39-68",0,0,100,0,0,"0"
"17-79-25-12",,,,,,""
"74-51-58-80",,,,,,""
"22-03-45-06",,,,,,""
"29-14-83-70",,,,,,""
"54-67-39-05",0,0,0,0,0,"0"
"72-58-55-05",0,0,0,0,0,"0"
"04-15-15-88",,,,,,""
"27-95-56-36",0,0,750,0,0,"0"
"53-49-41-59",,,,,,""
"39-17-22-92",0,0,0,0,0,"12"
"74-39-55-58",0,0,120,0,0,"0"
"26-22-03-23",,,,,,""
"09-03-01-05",0,0,0,0,0,"0"
"15-07-16-66",0,0,600,0,0,"0"
"06-67-11-07",0,0,0,0,0,"0"
"66-85-51-19",,,,,,""
"62-23-34-43",0,0,200,0,0,"0"
"40-89-37-32",,,,,,""
"47-88-11-20",0,0,0,0,0,"0"
"92-32-27-35",0,0,65,0,0,"0"
"67-30-34-31",0,0,0,0,0,"0"
"41-24-19-16",0,0,0,0,600,"0"
"45-68-78-48",0,0,0,0,0,"0"
"02-28-32-41",0,0,0,0,0,"0"
"42-76-32-22",,,,,,""
"79-53-86-42",0,0,2000,0,0,"1000"
"27-88-22-86",0,0,0,0,0,"0"
