interview__key,s9_respondent,food_security__1,food_security__2,food_security__3,food_security__4,food_security__5,food_security__6,food_security__7,food_security__8,food_sufficent,food_sufficent2,food_sufficent3,food_sufficent4__1,food_sufficent4__2,food_sufficent4__3,food_sufficent4__4,food_sufficent4__5,food_sufficent4__6,food_sufficent4__7,food_sufficent4__8,food_sufficent4__9,food_sufficent4__10,food_sufficent4__11,food_sufficent4__12
"62-34-36-23",1,"No","Yes","Yes","No","No","No","No","No",6,6,3,0,0,0,0,0,0,0,0,0,1,2,3
"54-21-12-64",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,2,10,1,2,3,0,0,4,5,6,7,8,9,10
"56-96-68-33",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,7,8,9,10,11,12
"77-02-55-05",1,"No","Yes","Yes","Yes","Yes","Yes","No","No",6,4,2,2,0,0,0,0,0,0,0,0,0,0,1
"14-81-15-88",1,"Yes","No","No","Yes","Yes","No","Yes","Yes",4,5,7,6,7,0,0,0,0,0,1,5,2,3,4
"96-74-08-90",4,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",6,6,12,7,9,8,1,2,3,4,5,6,10,12,11
"96-06-73-25",1,"Yes","No","Yes","Yes","No","Yes","Yes","No",8,2,2,0,0,0,0,0,0,0,0,1,2,0,0
"74-47-72-19",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",2,6,4,3,4,0,0,0,0,0,0,0,0,1,2
"74-26-40-66",2,"Yes","Yes","Yes","Yes","No","Yes","No","No",9,9,3,1,0,0,0,0,0,0,0,0,0,2,3
"14-99-63-02",2,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3,9,3,3,0,0,0,0,0,0,0,0,0,1,2
"19-21-27-06",2,"Yes","Yes","Yes","No","Yes","No","Yes","No",1,11,0,,,,,,,,,,,,
"37-56-42-12",2,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,7,8,9,10,12,11
