interview__key,contact_ref_1_rel,contact_ref_2_rel
"62-34-36-23","Neighbor","Church Leader"
"54-21-12-64","Father","Sister In Law"
"56-96-68-33","Neighbour","Friend"
"77-02-55-05","Spouse","Brother Inlaw"
"14-81-15-88","Grand-Daughter","Great Grand Child"
"96-74-08-90","Brother","Sister"
"96-06-73-25","Father","Uncle"
"74-47-72-19","Sister","Child"
"74-26-40-66","Neighbor","Neighbor"
"14-99-63-02","Son","Inlaw"
"19-21-27-06","Self","Self"
"37-56-42-12","Child","Brother-Inlaw"
"16-65-20-98","Sister","Brother"
"09-74-03-14","Grandson","Grandson"
"39-03-54-61","Sister-In-Law","Neighbor"
"86-35-86-55","Work Met","Work Met"
"88-11-61-94","Neighbor","Daughter"
"93-61-35-58","Neighbor","Sister"
"87-48-20-01","Son","Brother In-Law"
"66-77-51-72","Neighbor","Son"
"31-16-66-31","Neice","Sister"
"88-03-82-39","Daughter","Granddaughter"
"59-90-45-51","Sister-In-Law","Child"
"68-61-83-10","Uncle","Uncle"
"96-11-54-44","Brother","Sister"
"70-22-33-16","Son","Son"
"12-54-99-38","Brother","Uncle"
"39-44-22-57","Son","Brother"
"11-92-45-50","In-Law","Niece"
"73-14-88-64","Brother","Parent"
"59-60-22-11","Brother","Daughter"
"63-18-15-01","Friend","Relative"
"40-24-89-40","Relative","Son"
"26-37-34-30","Village Headman","Son"
"57-72-53-25","Son","Son"
"15-31-68-47","Wife","Grandchild"
"54-23-26-42","Father","Father"
"06-33-74-17","Grandmother","Son"
"09-17-76-18","Neighbor","Neighbor"
"91-72-91-72","Sister","Brother"
"07-58-36-50","Father","Brother"
"27-63-39-98","Brother","Nephew"
"31-14-07-01","Daughter","Neighbour"
"96-79-76-17","Presiding Local Magistrate","Friend"
"23-90-90-29","Sister","Sister"
"99-47-47-96","Brother","Young Brother"
"48-69-67-88","Neighbor","Sister"
"93-76-93-98","Uncle","Brother"
"02-49-04-36","Neighbor","Nephew"
"97-96-55-67","Father","Brother"
"55-00-90-34","Friend","Friend"
"74-92-93-10","Brother In-Law","Relative"
"62-57-54-10","Son","Niece"
"81-64-58-33","Wife","Son"
"51-16-15-92","Neighbor","Brother"
"63-16-06-54","Elder Brother","Brother"
"32-07-75-14","Child","Child"
"23-46-49-04","Brother","Sister"
"81-47-15-41","Grandson","Grandson"
"74-82-45-40","Relative","Sister"
"71-03-17-29","Son","Neighbor"
"22-02-08-34","Neighbor","Neighbor"
"35-24-65-37","Brother","Sister"
"94-94-59-77","Grandson","Uncle"
"62-18-60-04","Neighbor","Neighbor"
"13-57-44-05","Daughter","Wife"
"53-63-07-20","Brother","Neighbor"
"67-75-50-83","Grandson","Grandson"
"02-25-92-18","Aunt","Uncle"
"49-92-48-01","Cousin","Uncle"
"86-85-54-02","Village Headman","Neighbor"
"25-71-60-55","Neighbor","Neighbor"
"52-17-01-39","Doughter","Doughter"
"85-68-71-94","Son","Son"
"88-33-53-02","Daughter In Law","Son"
"73-16-52-51","Children","Children"
"29-32-71-31","Grandson","Son"
"08-80-55-70","Neighbour","Neighbour"
"58-68-82-05","Brother","Village Headman"
"40-89-66-86","Grandchild","Neighbor"
"88-30-77-96","Neighbor","Neighbor"
"72-26-90-86","Brother","Brother"
"49-59-81-92","Father","Friend"
"21-01-20-88","Cousin","Cousin"
"79-70-14-90","Son-In-Law","Brother"
"80-75-47-72","Uncle","Headteacher"
"56-08-93-09","Sister-In-Law","Son"
"17-42-48-26","Neighbour","Neighbour"
"48-20-15-07","Uncle","Brother"
"14-03-97-85","Headteacher","Other Number"
"85-88-72-49","Relative","Relative"
"44-34-38-88","Grandchild","Grandchild"
"83-00-22-24","Granddaughter","Daughter"
"53-00-05-97","Daughter","Daughters"
"57-74-38-33","Friend","Brother"
"65-24-72-96","Neighbor","Neighbor"
"67-69-19-83","Brother","Grandmother"
"65-02-79-39","Neighbour","Neighbour"
"36-55-19-74","Sister","Brother"
"02-47-11-50","Neighbor","Neighbor"
"34-55-62-08","Father","Nephew"
"21-53-06-24","Granddaughter","Grandson"
"54-20-19-80","Daughter","Sister"
"77-37-06-75","Relative","Friend"
"17-29-45-21","Sister-In-Law","Brother"
"14-98-54-79","Sister","Friend"
"74-43-35-64","Son","Relative"
"02-76-65-17","Son","Brother Inlow"
"91-57-65-34","Daughter","Daughter"
"61-08-28-75","Grandmother","Uncle"
"08-98-76-07","Brother-In-Law","Area Headman"
"07-58-78-17","Son","Daughter"
"50-08-29-58","Sister","Son-In-Law"
"21-97-24-76","Brother","Brother"
"47-86-23-98","Brother-Inlaw","Area Councilor"
"58-41-17-07","Sister In Law","Brother"
"27-41-68-88","Son","Brother"
"36-57-67-99","Brother","Neighbor"
"14-01-18-55","Neighbor","Neighbor"
"25-45-40-50","Sister","Brother"
"28-45-95-92","Mother","Sister In Law"
"52-38-49-21","Friend","Friend"
"59-05-06-39","Child","Child"
"07-23-34-26","Brother","Son"
"74-55-33-17","Relative","Sister"
"63-06-38-69","Son","Daughter"
"05-74-67-92","Relative","Relative"
"98-46-70-51","Wife","Wife"
"36-97-15-03","Neighbor","Wife"
