interview__key,r_members__id,memeber_isphone
"56-96-68-33",1,"Yes"
"77-02-55-05",1,"Yes"
"14-81-15-88",1,"Yes"
"96-74-08-90",1,"Yes"
"96-74-08-90",3,"Yes"
"96-06-73-25",1,"Yes"
"96-06-73-25",2,"Yes"
"74-47-72-19",1,"Yes"
"74-47-72-19",2,"Yes"
"74-26-40-66",1,"Yes"
"74-26-40-66",2,"Yes"
"14-99-63-02",1,"Yes"
"14-99-63-02",2,"Yes"
"14-99-63-02",3,"Yes"
"19-21-27-06",1,"Yes"
"37-56-42-12",1,"Yes"
"16-65-20-98",2,"Yes"
"39-03-54-61",1,"Yes"
"39-03-54-61",2,"Yes"
"86-35-86-55",1,"Yes"
"86-35-86-55",2,"Yes"
"88-11-61-94",2,"Yes"
"93-61-35-58",2,"Yes"
"87-48-20-01",2,"Yes"
"87-48-20-01",4,"Yes"
"87-48-20-01",5,"Yes"
"66-77-51-72",1,"Yes"
"31-16-66-31",1,"Yes"
"31-16-66-31",2,"Yes"
"31-16-66-31",4,"Yes"
"88-03-82-39",1,"Yes"
"88-03-82-39",2,"Yes"
"59-90-45-51",1,"Yes"
"59-90-45-51",3,"Yes"
"68-61-83-10",1,"Yes"
"96-11-54-44",1,"Yes"
"96-11-54-44",2,"Yes"
"70-22-33-16",1,"Yes"
"70-22-33-16",2,"Yes"
"12-54-99-38",1,"Yes"
"12-54-99-38",2,"Yes"
"39-44-22-57",1,"Yes"
"11-92-45-50",1,"Yes"
"11-92-45-50",2,"Yes"
"73-14-88-64",6,"Yes"
"59-60-22-11",1,"Yes"
"63-18-15-01",1,"Yes"
"63-18-15-01",2,"Yes"
"40-24-89-40",1,"Yes"
"40-24-89-40",3,"Yes"
"57-72-53-25",1,"Yes"
"57-72-53-25",2,"Yes"
"15-31-68-47",1,"Yes"
"15-31-68-47",2,"Yes"
"15-31-68-47",3,"Yes"
"54-23-26-42",1,"Yes"
"54-23-26-42",3,"Yes"
"09-17-76-18",1,"Yes"
"91-72-91-72",1,"Yes"
"91-72-91-72",8,"Yes"
"07-58-36-50",1,"Yes"
"27-63-39-98",2,"Yes"
"31-14-07-01",1,"Yes"
"31-14-07-01",3,"Yes"
"96-79-76-17",1,"Yes"
"96-79-76-17",2,"Yes"
"96-79-76-17",3,"Yes"
"23-90-90-29",2,"Yes"
"99-47-47-96",1,"Yes"
"93-76-93-98",1,"Yes"
"02-49-04-36",1,"Yes"
"97-96-55-67",1,"Yes"
"97-96-55-67",2,"Yes"
"55-00-90-34",1,"Yes"
"55-00-90-34",2,"Yes"
"74-92-93-10",1,"Yes"
"74-92-93-10",2,"Yes"
"62-57-54-10",1,"Yes"
"62-57-54-10",2,"Yes"
"81-64-58-33",1,"Yes"
"51-16-15-92",2,"Yes"
"63-16-06-54",1,"Yes"
"63-16-06-54",2,"Yes"
"63-16-06-54",3,"Yes"
"23-46-49-04",1,"Yes"
"71-03-17-29",1,"Yes"
"22-02-08-34",2,"Yes"
"35-24-65-37",1,"Yes"
"94-94-59-77",1,"Yes"
"62-18-60-04",1,"Yes"
"13-57-44-05",1,"Yes"
"13-57-44-05",2,"Yes"
"53-63-07-20",1,"Yes"
"02-25-92-18",1,"Yes"
"02-25-92-18",2,"Yes"
"02-25-92-18",3,"Yes"
"49-92-48-01",1,"Yes"
"86-85-54-02",1,"Yes"
"52-17-01-39",1,"Yes"
"52-17-01-39",2,"Yes"
"85-68-71-94",1,"Yes"
"88-33-53-02",1,"Yes"
"73-16-52-51",1,"Yes"
"73-16-52-51",2,"Yes"
"29-32-71-31",1,"Yes"
"08-80-55-70",1,"Yes"
"40-89-66-86",1,"Yes"
"88-30-77-96",3,"Yes"
"72-26-90-86",1,"Yes"
"21-01-20-88",1,"Yes"
"56-08-93-09",1,"Yes"
"56-08-93-09",2,"Yes"
"48-20-15-07",1,"Yes"
"14-03-97-85",1,"Yes"
"14-03-97-85",2,"Yes"
"85-88-72-49",1,"Yes"
"44-34-38-88",1,"Yes"
"44-34-38-88",3,"Yes"
"83-00-22-24",1,"Yes"
"53-00-05-97",2,"Yes"
"57-74-38-33",1,"Yes"
"57-74-38-33",2,"Yes"
"57-74-38-33",8,"Yes"
"67-69-19-83",1,"Yes"
"36-55-19-74",2,"Yes"
"34-55-62-08",2,"Yes"
"77-37-06-75",1,"Yes"
"77-37-06-75",2,"Yes"
"17-29-45-21",1,"Yes"
"74-43-35-64",1,"Yes"
"02-76-65-17",3,"Yes"
"91-57-65-34",1,"Yes"
"61-08-28-75",1,"Yes"
"61-08-28-75",2,"Yes"
"08-98-76-07",1,"Yes"
"08-98-76-07",2,"Yes"
"07-58-78-17",1,"Yes"
"07-58-78-17",2,"Yes"
"07-58-78-17",3,"Yes"
"07-58-78-17",11,"Yes"
"50-08-29-58",1,"Yes"
"50-08-29-58",2,"Yes"
"50-08-29-58",4,"Yes"
"21-97-24-76",1,"Yes"
"21-97-24-76",2,"Yes"
"21-97-24-76",3,"Yes"
"58-41-17-07",1,"Yes"
"27-41-68-88",1,"Yes"
"27-41-68-88",2,"Yes"
"36-57-67-99",1,"Yes"
"14-01-18-55",6,"Yes"
"25-45-40-50",1,"Yes"
"52-38-49-21",1,"Yes"
"59-05-06-39",1,"Yes"
"59-05-06-39",2,"Yes"
"74-55-33-17",1,"Yes"
"74-55-33-17",2,"Yes"
"63-06-38-69",1,"Yes"
"63-06-38-69",2,"Yes"
"05-74-67-92",1,"Yes"
"98-46-70-51",1,"Yes"
"36-97-15-03",1,"Yes"
"59-12-76-31",1,"Yes"
"59-12-76-31",2,"Yes"
"07-54-13-18",2,"Yes"
"84-52-73-65",1,"Yes"
"85-09-03-91",1,"Yes"
"85-09-03-91",2,"Yes"
"26-09-67-07",1,"Yes"
"26-09-67-07",2,"Yes"
"69-39-81-14",1,"Yes"
"00-76-43-47",2,"Yes"
"29-40-24-48",1,"Yes"
"29-40-24-48",2,"Yes"
"79-00-21-46",1,"Yes"
"79-00-21-46",2,"Yes"
"28-05-99-59",1,"Yes"
"78-33-63-09",1,"Yes"
"78-33-63-09",2,"Yes"
"78-33-63-09",3,"Yes"
"78-33-63-09",4,"Yes"
"21-06-84-39",1,"Yes"
"96-45-29-81",2,"Yes"
"82-78-33-54",1,"Yes"
"01-53-98-85",1,"Yes"
"15-34-27-17",1,"Yes"
"15-34-27-17",2,"Yes"
"84-32-88-02",1,"Yes"
"02-43-89-26",1,"Yes"
"98-63-71-97",1,"Yes"
"98-63-71-97",2,"Yes"
"07-88-71-07",1,"Yes"
"18-07-56-01",3,"Yes"
"22-29-07-01",1,"Yes"
"37-39-06-63",1,"Yes"
"17-95-97-27",1,"Yes"
"17-95-97-27",2,"Yes"
"92-61-03-62",1,"Yes"
"02-86-94-14",1,"Yes"
"26-53-37-24",1,"Yes"
"26-53-37-24",2,"Yes"
"26-53-37-24",4,"Yes"
"73-57-99-74",1,"Yes"
"49-29-23-58",1,"Yes"
"49-29-23-58",3,"Yes"
"71-13-07-75",1,"Yes"
"71-13-07-75",2,"Yes"
"19-53-43-56",1,"Yes"
"57-61-80-20",1,"Yes"
"57-61-80-20",2,"Yes"
"66-47-36-80",1,"Yes"
"66-47-36-80",2,"Yes"
"55-47-02-66",1,"Yes"
"55-47-02-66",2,"Yes"
"69-74-76-81",1,"Yes"
"69-74-76-81",2,"Yes"
"25-51-33-57",1,"Yes"
"99-83-71-81",1,"Yes"
"30-46-44-49",1,"Yes"
"30-46-44-49",2,"Yes"
"03-30-12-96",2,"Yes"
"03-30-12-96",3,"Yes"
"35-16-22-13",1,"Yes"
"96-28-28-46",1,"Yes"
"96-28-28-46",2,"Yes"
"10-32-26-69",1,"Yes"
"10-32-26-69",2,"Yes"
"68-75-69-07",1,"Yes"
"58-12-98-10",1,"Yes"
"58-12-98-10",2,"Yes"
"22-68-19-10",1,"Yes"
"21-29-11-98",3,"Yes"
"06-11-50-44",1,"Yes"
"83-11-66-41",6,"Yes"
"73-50-61-74",3,"Yes"
"58-09-34-36",2,"Yes"
"94-78-30-89",1,"Yes"
"94-78-30-89",2,"Yes"
"94-78-30-89",3,"Yes"
"94-78-30-89",4,"Yes"
"97-62-61-29",1,"Yes"
"97-62-61-29",2,"Yes"
"16-35-49-05",4,"Yes"
"18-48-69-27",1,"Yes"
"30-61-23-28",1,"Yes"
"91-09-11-51",1,"Yes"
"03-15-59-01",1,"Yes"
"03-15-59-01",2,"Yes"
"51-88-98-79",1,"Yes"
"51-88-98-79",2,"Yes"
"38-99-58-33",1,"Yes"
"38-99-58-33",2,"Yes"
"73-78-76-86",1,"Yes"
"34-75-99-64",1,"Yes"
"03-36-35-32",1,"Yes"
"66-74-25-56",1,"Yes"
