interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"62-34-36-23",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"54-21-12-64",1,"Thatched grass","","Mud with poles","","Sand","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"56-96-68-33",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"77-02-55-05",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"14-81-15-88",2,"Iron sheets","","Mud with poles","","Sand","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"96-74-08-90",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"96-06-73-25",3,"Iron sheets","","Mud with poles","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"74-47-72-19",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"74-26-40-66",5,"Iron sheets","","Bricks with cement","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"14-99-63-02",2,"Iron sheets","","Mud with poles","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"19-21-27-06",2,"Iron sheets","","Mud with poles","","Cement screed","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"37-56-42-12",2,"Thatched grass","","Mud with poles","","Sand","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"16-65-20-98",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"09-74-03-14",1,"Iron sheets","","Mud with poles","","Sand","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"39-03-54-61",2,"Iron sheets","","Other➡️ Please specify","stones with cement","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"86-35-86-55",5,"Iron sheets","","Bricks with cement","","Cement screed","","Protected (borehole protected well public taps rain water)","","VIP latrine",""
"88-11-61-94",2,"Iron sheets","","Mud with poles","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"93-61-35-58",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"87-48-20-01",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"66-77-51-72",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"31-16-66-31",3,"Iron sheets","","Mud with poles","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"88-03-82-39",2,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"59-90-45-51",3,"Thatched grass","","Mud with poles","","Sand","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"68-61-83-10",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"96-11-54-44",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Other, Specify","well","Covered pit latrine without a slab",""
"70-22-33-16",3,"Iron sheets","","Mud with poles","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"12-54-99-38",1,"Iron sheets","","Mud with poles","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"39-44-22-57",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"11-92-45-50",4,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"73-14-88-64",1,"Iron sheets","","Concrete","","Cement screed","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
